aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-19T21:44:25.854030Z,,Palo Alto Networks Unit 42 is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,organization,,,,2026-01-19T21:44:25.854030Z,Palo Alto Networks Unit 42,,,2.1,,,identity,
,2026-01-19T21:44:25.854030Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-19T21:44:25.854030Z,TI Mindmap HUB,,,2.1,,,identity,
,2026-01-19T21:44:42.612466Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"In this campaign, the attacker initiated contact with multiple help desks (payroll, IT, HR shared services) by impersonating legitimate employees. Through repeated phone calls, the attacker probed for verification procedures and gathered information from social media platforms to successfully answer challenge/response authentication questions. This enabled them to manipulate help desk personnel into performing unauthorized password resets and re-enrolling multi-factor authentication (MFA) devices for accounts under their control. The attack bypassed technical controls by exploiting human trust and operational workflows, demonstrating a highly targeted and persistent social engineering approach.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1646/"", ""external_id"": ""T1646""}]",,attack-pattern--6321710b-d09c-dfb8-9fd4-48a7723a01a8,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:44:42.612466Z,Help Desk Social Engineering and Impersonation,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.612562Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"The attacker exploited help desk workflows to request and obtain password resets for targeted employee accounts. By circumventing standard authentication procedures through impersonation and leveraging publicly available information, the attacker convinced help desk staff to reset passwords, thereby gaining access to sensitive systems such as payroll. This technique allowed the attacker to take control of multiple accounts without needing to compromise technical controls directly.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1078/004/"", ""external_id"": ""T1078.004""}]",,attack-pattern--68059210-09f0-e5e3-ac4f-02e3b99654be,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:44:42.612562Z,Password Reset via Social Engineering,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.612626Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"After successfully impersonating employees to help desk staff, the attacker manipulated personnel into re-enrolling MFA devices for compromised accounts. This allowed the attacker to register their own authentication devices, effectively bypassing existing MFA protections and maintaining access to targeted accounts. The abuse of MFA recovery and enrollment workflows was a critical step in ensuring continued access and blending in with legitimate user activity.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1621/"", ""external_id"": ""T1621""}]",,attack-pattern--dd5ca258-eb65-cba9-c409-c62b14215609,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:44:42.612626Z,Multi-Factor Authentication (MFA) Re-enrollment Abuse,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.612683Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"The attacker conducted extensive reconnaissance by mining social platforms for personal and professional information about targeted employees. They also repeatedly called help desks to probe for the types of verification questions asked, allowing them to prepare accurate responses for future impersonation attempts. This dual approach enabled the attacker to gather the necessary data to defeat authentication challenges and improve the success rate of social engineering attacks.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1592/"", ""external_id"": ""T1592""}]",,attack-pattern--312336dc-c970-4e61-0c59-1f041bbf93a0,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""reconnaissance""}]",,2026-01-19T21:44:42.612683Z,Reconnaissance via Social Media and Repeated Help Desk Probing,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.612807Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"To establish persistence, the attacker registered an external email address as an authentication method for a service account within the victim's Azure AD environment. This allowed them to maintain long-term access to the environment, even if other compromised credentials were reset or revoked. By adding an attacker-controlled email to the authentication flow, the threat actor ensured they could regain access at any time, demonstrating a sophisticated approach to persistence in cloud identity systems.",,,attack-pattern--6eda9fd0-5410-e018-bb35-8df9d673ec26,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-19T21:44:42.612807Z,External Email Registration for Persistent Access,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.612870Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"Once authenticated into the payroll system, the attacker compromised multiple employee accounts to access sensitive payroll information. They then modified direct-deposit details for several individuals, redirecting paychecks into bank accounts under their control. The use of valid credentials and legitimate MFA devices allowed the attacker’s activity to blend in with normal operations, delaying detection until employees reported missing paychecks. This technique represents targeted manipulation of financial systems for direct monetary gain.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1565/001/"", ""external_id"": ""T1565.001""}]",,attack-pattern--f676f841-b96b-b1b2-b760-7488b2883e97,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""impact""}]",,2026-01-19T21:44:42.612870Z,Payroll System Account Compromise and Financial Data Manipulation,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.612956Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"The attacker ensured that their actions—such as modifying payroll details and accessing sensitive accounts—were performed using valid credentials and MFA devices that appeared legitimate. This allowed their activity to blend seamlessly with normal business operations, making it difficult for automated security controls to detect the fraud. The incident was only discovered after employees reported missing paychecks, highlighting the effectiveness of this stealthy approach.",,,attack-pattern--c224aaf0-db5f-8b44-81e9-800aef6180ba,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:44:42.612956Z,Blending Malicious Activity with Normal Operations,,,2.1,,,attack-pattern,
,2026-01-19T21:44:42.613039Z,identity--2eea17fb-acdd-306b-fa6b-85864c3dbc41,"The attacker repeatedly called help desks to test and learn the types of verification questions used for authentication. By doing so, they were able to refine their social engineering tactics and gather the necessary information to successfully impersonate employees. This iterative probing increased the likelihood of bypassing help desk security measures and facilitated subsequent unauthorized account access.",,,attack-pattern--593c0c3b-780d-4848-582b-dd99f673fe2a,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""reconnaissance""}]",,2026-01-19T21:44:42.613039Z,Repeated Probing of Help Desk Verification Procedures,,,2.1,,,attack-pattern,
