aliases,country,created,description,external_references,first_seen,goals,id,labels,last_seen,modified,name,object_marking_refs,primary_motivation,regions,resource_level,roles,secondary_motivation,secondary_motivations,targets,threat_actor_types,type,summary
"[""React2Shell Operators""]",,,"Threat actor cluster leveraging React2Shell PoC and mass exploitation of CVE-2025-55182 for cryptojacking and persistence. Uses simplified Chinese in scripts, Alibaba-hosted staging servers, and AI-assisted tooling.","[{""source_name"": ""AWS Blog"", ""url"": ""https://aws.amazon.com/blogs/security/china-nexus-cyber-threat-groups-rapidly-exploit-react2shell-vulnerability-cve-2025-55182/""}]",,"[""Cryptojacking"", ""Persistence"", ""Remote access""]",intrusion-set--40e2c9d2-5161-4cc2-aca2-9584ec0220b3,,,,Chinese-speaking React2Shell Operators,,financial-gain,,organization,,,"[""persistence""]",,,intrusion-set,"The object contains information about a threat actor cluster known as the Chinese-speaking React2Shell Operators. This group leverages the React2Shell Proof of Concept (PoC) and exploits the CVE-2025-55182 vulnerability to carry out cryptojacking and persistence attacks.

The attackers utilize simplified Chinese in their scripts, host staging servers on Alibaba platforms, and employ AI-assisted tooling to aid in their operations. The primary motivation behind these activities is financial gain.

The group's objectives include cryptojacking, achieving persistence, and establishing remote access."
"[""DiceyF"", ""EarthBerberoka"", ""Jackpot Panda""]",,,"China-nexus APT groups reportedly exploiting React2Shell (CVE-2025-55182) for targeted attacks, including cryptojacking and persistence.","[{""source_name"": ""Securelist DiceyF"", ""url"": ""https://securelist.com/diceyf-deploys-gameplayerframework-in-online-casino-development-studio/107723/""}, {""source_name"": ""TrendMicro EarthBerberoka"", ""url"": ""https://www.trendmicro.com/it_it/research/22/d/new-apt-group-earth-berberoka-targets-gambling-websites-with-old.html""}]",,"[""Targeted exploitation"", ""Persistence"", ""Cryptojacking""]",intrusion-set--097a64e4-2ab6-4e12-a45f-64b021142741,,,,DiceyF / EarthBerberoka / Jackpot Panda,,financial-gain,,organization,,,,,,intrusion-set,"The object contains information about a cyber threat group, identified as DiceyF / EarthBerberoka / Jackpot Panda. This APT (Advanced Persistent Threat) group is reportedly associated with China and has been linked to exploiting the React2Shell vulnerability (CVE-2025-55182) for targeted attacks.

The group's primary motivation appears to be financial gain, with their goals including targeted exploitation, persistence, and cryptojacking. They have been observed deploying a GamePlayerFramework in online casino development studios, according to reports from Securelist and TrendMicro.

The external references provided suggest that DiceyF has been involved in exploiting gambling websites, with TrendMicro reporting on the group's tactics and Securelist detailing their involvement in an online casino development studio.

The object also contains information about the group's aliases, which include ""DiceyF"", ""EarthBerberoka"", and ""Jackpot Panda""."
"[""GlobalProtect/SonicWall Credential Attackers""]",,,An intrusion set responsible for credential-based attacks against Palo Alto Networks GlobalProtect portals and SonicWall SonicOS API endpoints. The group is identified by the recurring use of three unique client fingerprints and shifting infrastructure across several ASNs.,,,,intrusion-set--159c3b8e-da39-4b25-8fe4-e239a9aa5081,,,,Client Fingerprint Credential Attackers,,,,,,,,,,intrusion-set,"The object contains information about an intrusion set, a type of cyber threat actor. The intrusion set is identified by the recurring use of three unique client fingerprints and shifting infrastructure across several Autonomous System Numbers (ASNs). This indicates that the group employs advanced tactics to evade detection.

The primary motivation behind this intrusion set appears to be credential-based attacks against specific targets, such as Palo Alto Networks GlobalProtect portals and SonicWall SonicOS API endpoints. The attackers seem to focus on exploiting vulnerabilities related to client credentials, which can provide unauthorized access to sensitive systems.

Several key aspects of the intrusion set are notable:

*   **Unique Client Fingerprints**: The group utilizes three distinct client fingerprints, suggesting they have gained intimate knowledge of their attack vectors.
*   **Shifting Infrastructure**: By moving across different ASNs, the attackers make it challenging for defenders to identify and contain the threat.
*   **Palo Alto Networks and SonicWall Targets**: These organizations are likely to be high-priority targets for this intrusion set due to their security solutions and reputation as robust defenses against cyber threats.

The intrusion set's goals appear to be focused on exploiting vulnerabilities in client credentials, which can lead to significant consequences for the targeted organizations."
"[""Tomiris APT""]",,,"Tomiris is an APT group active since at least 2021, known for targeting government, diplomatic, and intergovernmental organizations in Russia and Central Asia. The group leverages multi-language malware, spear-phishing, and public services (Telegram, Discord) for C2. Tomiris is associated with tools such as JLORAT, reverse shells, file grabbers, and post-exploitation frameworks like AdaptixC2 and Havoc.",,,"[""Espionage"", ""Remote access"", ""Persistence"", ""Data exfiltration""]",intrusion-set--8074ace3-c783-484d-a1fd-86dd16030e93,,,,Tomiris,,espionage,,organization,,,,,,intrusion-set,"The object contains information about a cybersecurity threat entity known as Tomiris, an APT group. 

Tomiris is a group active since at least 2021, primarily targeting government, diplomatic, and intergovernmental organizations in Russia and Central Asia. The group employs various tactics, including multi-language malware, spear-phishing, and public services like Telegram and Discord for command and control (C2). 

Tomiris is associated with specific tools such as JLORAT, reverse shells, file grabbers, and post-exploitation frameworks like AdaptixC2 and Havoc. These tools suggest the group's focus on espionage, remote access, persistence, and data exfiltration. 

The primary motivation behind Tomiris' activities appears to be espionage, with a secondary motivation that remains unspecified. The group is known to utilize these tactics against various targets in Russia and Central Asia."
"[""FantasyHub Sellers"", ""Fantasy Hub Threat Actors""]",,,"Operators based in Russia advertise and sell Fantasy Hub via a Malware-as-a-Service model, providing documentation, videos, and subscription management through Telegram bots. They target financial institutions and general Android users.","[{""source_name"": ""Zimperium"", ""url"": ""https://zimperium.com/blog/fantasy-hub-android-rat""}]",,,intrusion-set--46731e1d-f1c3-4c7e-975d-aafd18ff7eb0,,,,Fantasy Hub Operators,,,,,,,,,,intrusion-set,"The object contains information about a group of threat actors known as the ""Fantasy Hub Operators"". These operators are based in Russia and operate under a Malware-as-a-Service model. 

They advertise and sell Fantasy Hub, a malicious Android app, through various channels including Telegram bots. The primary method of distribution involves targeting financial institutions and general Android users. 

The threat actors provide documentation, videos, and subscription management tools to facilitate the sale of Fantasy Hub. They utilize this platform for their malicious activities.

The group's tactics and techniques are not fully disclosed in the provided metadata. However, it is clear that they are utilizing malware to gain unauthorized access to devices and steal sensitive information. 

The Fantasy Hub Operators primarily target financial institutions and Android users, indicating a potential threat to personal data and financial security."
"[""FortiCloud SSO Exploiters""]",,,"Unattributed threat actors actively exploiting FortiCloud SSO authentication bypass vulnerabilities (CVE-2025-59718, CVE-2025-59719) in Fortinet products to gain administrative access and export device configurations.","[{""source_name"": ""Arctic Wolf Security Bulletin"", ""url"": ""https://arcticwolf.com/resources/blog/arctic-wolf-observes-malicious-sso-logins-%20following-disclosure-cve-2025-59718-cve-2025-59719/""}]",,,intrusion-set--46c3c975-d2df-48c0-b5f0-4307525e082f,"[""active exploitation"", ""Fortinet""]",,,FortiCloud SSO Exploitation Actors,,,,,,,,,,intrusion-set,"The object contains information about a malicious threat actor group known as FortiCloud SSO Exploitation Actors. This group is actively exploiting vulnerabilities in Fortinet products to gain administrative access and export device configurations.

Fortinet products are being targeted due to authentication bypass vulnerabilities (CVE-2025-59718, CVE-2025-59719) in FortiCloud SSO. The threat actors are using unattributed exploits to gain unauthorized access, which allows them to manipulate device configurations.

The group's primary motivation appears to be exploiting these vulnerabilities for malicious purposes. The specific goals of the exploiters are unclear, but their actions suggest a high level of sophistication and organization.

There is limited information available about this threat actor group beyond the exploitation of Fortinet products. Arctic Wolf Security Bulletin provides some context, highlighting the disclosure of these vulnerabilities (CVE-2025-59718, CVE-2025-59719) and the associated security risks.

It is essential for organizations using Fortinet products to be aware of these vulnerabilities and take necessary precautions to secure their systems against exploitation by this threat actor group."
"[""Aisuru"", ""Kimwolf""]",,,"A threat actor group operating the Kimwolf and Aisuru botnets, responsible for large-scale infections, DDoS attacks, and proxy monetization. The group demonstrates advanced infrastructure resilience and rapid evolutionary capability.","[{""source_name"": ""XLab Blog"", ""url"": ""https://blog.xlab.qianxin.com/super-large-scale-botnet-aisuru/""}]",,,intrusion-set--1ef7a21d-761f-4ed9-b9ce-2d5ad22b7f1f,,,,Kimwolf/Aisuru Group,,,,,,,,,,intrusion-set,"The object contains information about a threat actor group known as the Kimwolf/Aisuru Group. This group is responsible for operating two notable botnets: Kimwolf and Aisuru.

The group's activities have led to large-scale infections and DDoS attacks, indicating their ability to cause significant disruption to online systems. Moreover, they employ proxy monetization tactics to further amplify their reach.

A distinguishing feature of the Kimwolf/Aisuru Group is their advanced infrastructure resilience and rapid evolutionary capability. This allows them to adapt quickly to changing security measures and evade detection.

The group's primary motivation remains unclear, with no specific goals or objectives outlined in the provided data. However, it can be inferred that their actions are aimed at causing disruption and generating revenue through proxy monetization.

While some metadata fields such as timestamps and IDs have been omitted, the overall description paints a picture of a sophisticated threat actor group with significant capabilities and a focus on disrupting online systems."
"[""APT44"", ""Seashell Blizzard"", ""Curly COMrades""]",,,"Sandworm is a Russian state-sponsored threat group assessed to be associated with Russia’s Main Intelligence Directorate (GRU). The group has demonstrated sustained focus on Western critical infrastructure, particularly the energy sector, with operations spanning 2021 through 2025. The campaign involves a tactical pivot to targeting misconfigured customer network edge devices for initial access, credential harvesting, and lateral movement, while reducing vulnerability exploitation activity.","[{""source_name"": ""Amazon Threat Intelligence"", ""url"": ""https://aws.amazon.com/security/""}, {""source_name"": ""Bitdefender"", ""description"": ""Tracks Sandworm subcluster as 'Curly COMrades' with host-based tradecraft (Hyper-V abuse, CurlyShell/CurlCat implants)""}]",2021-01-01T00:00:00Z,"[""Persistent access to critical infrastructure networks"", ""Credential harvesting for accessing victim organizations’ online services"", ""Lateral movement within victim environments""]",intrusion-set--56b9df70-81c9-4703-b87e-6135553a92d2,,2025-12-31T23:59:59Z,,Sandworm,,espionage,,organization,"[""initial access"", ""credential harvesting"", ""lateral movement""]",,"[""disruption""]",,"[""nation-state""]",intrusion-set,"The object contains information about a sophisticated threat group known as Sandworm, which is a Russian state-sponsored entity assessed to be associated with Russia’s Main Intelligence Directorate (GRU). The group has demonstrated a sustained focus on Western critical infrastructure, particularly the energy sector, over the past four years.

Sandworm's campaign involves a tactical pivot to targeting misconfigured customer network edge devices for initial access, credential harvesting, and lateral movement. This shift in tactics has reduced vulnerability exploitation activity, highlighting the group's adaptability and sophistication.

The group's primary motivation is espionage, with goals that include persistent access to critical infrastructure networks, credential harvesting for accessing victim organizations' online services, and lateral movement within victim environments. Sandworm's activities are characterized by a focus on initial access, credential harvesting, and lateral movement, making it a highly effective threat actor.

The group's subcluster, known as ""Curly COMrades,"" is tracked by Bitdefender and uses host-based tradecraft, including Hyper-V abuse and CurlyShell/CurlCat implants. This information highlights the group's use of advanced techniques to maintain persistence in compromised environments.

Overall, Sandworm is a highly skilled and adaptable threat actor with a demonstrated track record of successful operations against Western critical infrastructure. Its sophistication and focus on espionage make it a significant concern for organizations and governments seeking to protect themselves from state-sponsored threats."
"[""Red Foxtrot""]",,,"UAT-7290 is a China-nexus Advanced Persistent Threat (APT) group active since at least 2022, primarily targeting telecommunications and critical infrastructure in South Asia and Southeastern Europe. The group conducts espionage, initial access operations, and establishes Operational Relay Box (ORB) nodes for use by other China-nexus actors. UAT-7290 shares TTPs, victimology, infrastructure, and tooling with other China-nexus adversaries, including APT10.","[{""source_name"": ""Cisco Talos"", ""url"": ""https://blog.talosintelligence.com/""}, {""source_name"": ""Recorded Future"", ""url"": ""https://go.recordedfuture.com/hubfs/reports/cta-2021-0616.pdf"", ""description"": ""Red Foxtrot linked to Chinese PLA Unit 69010""}]",2022-01-01T00:00:00Z,"[""Espionage"", ""Initial Access"", ""Establishing ORB nodes""]",intrusion-set--b9f953dd-0eac-4cc6-8aa5-c0ddf998dca8,,,,UAT-7290,,espionage,,organization,,,"[""initial-access""]",,,intrusion-set,"The object contains information on UAT-7290, a China-nexus Advanced Persistent Threat (APT) group. The group has been active since at least 2022 and primarily targets telecommunications and critical infrastructure in South Asia and Southeastern Europe.

UAT-7290's primary goal is espionage, aiming to gather sensitive information from its targets. The group also conducts initial access operations and establishes Operational Relay Box (ORB) nodes for use by other China-nexus actors. This node setup allows UAT-7290 to expand its reach and influence the activities of other threat actors.

The group shares tactics, techniques, and procedures (TTPs), victimology, infrastructure, and tooling with other China-nexus adversaries, including APT10. This shared knowledge enables them to coordinate their efforts and launch more effective attacks.

External sources, such as Cisco Talos and Recorded Future, have linked UAT-7290 to the Chinese PLA Unit 69010. These connections highlight the group's ties to the Chinese government and its involvement in advanced cyber espionage operations.

UAT-7290's motivations are primarily driven by espionage, with secondary motivations focused on initial access. The group's activities are concentrated in the Asia-Pacific region, where it targets critical infrastructure and telecommunications networks."
"[""Storm-0249""]",,,"Storm-0249 is a financially motivated initial access broker (IAB) that has evolved from mass phishing to sophisticated post-exploitation tactics. The group specializes in stealth and persistence, enabling ransomware affiliates by selling pre-built access. Storm-0249 abuses legitimate Endpoint Detection and Response (EDR) processes, including SentinelOne's SentinelAgentWorker.exe, through techniques such as DLL sideloading, fileless execution, and domain spoofing.",,,"[""Enable ransomware affiliates"", ""Establish persistent access"", ""Evade detection""]",intrusion-set--84d8aed8-f173-4490-9945-1436f82c5a90,,,,Storm-0249,,financial,,organization,,,,,,intrusion-set,"The object contains information about Storm-0249, a financially motivated initial access broker (IAB). This group has evolved from mass phishing to sophisticated post-exploitation tactics, specializing in stealth and persistence.

Storm-0249 primarily aims to enable ransomware affiliates by selling pre-built access. They achieve this through various techniques, including abusing legitimate Endpoint Detection and Response (EDR) processes such as SentinelOne's SentinelAgentWorker.exe.

Specifically, the group utilizes DLL sideloading, fileless execution, and domain spoofing to evade detection. These tactics allow Storm-0249 to maintain persistence on compromised systems while remaining undetected by traditional security measures.

Storm-0249's primary motivation is financial gain, with secondary goals including establishing persistent access and evading detection. The group's tactics are tailored to facilitate the operation of ransomware affiliates, making them a significant threat in the cybersecurity landscape."
