description,id,type,value,summary
,url--a728bff7-3168-4646-b85e-b31fd73ba89e,url,https://birancearea.com/adminv2,"The object contains a single URL entry. The description is missing, but the type of the object is identified as 'url'. The value associated with this type is the provided URL: https://birancearea.com/adminv2."
,url--a11acb6d-5cce-41b0-907d-e232dfea1ef5,url,https://hiremployee.com,The object contains a URL entry with the description field left blank. The URL itself is associated with the type 'url' and has a specific value: https://hiremployee.com.
,url--bd7493e9-86c9-46d8-9ec9-a22506808bc1,url,hxxps://sed-documents[.]com/DpoxjDMaJdmnUVUBMexTyTqBcVBiUOIz/iJOoTzsPbgIooVzxYHbfcMEvtcrQprho/%D0%9F%D0%B0%D0%BA%D0%B5%D1%82%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8%20%D0%9A%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%9F%D0%A0%D0%9E.rar,The object contains a URL that appears to be a malicious link. The URL is 'hxxps://sed-documents[.]com/DpoxjDMaJdmnUVUBMexTyTqBcVBiUOIz/iJOoTzsPbgIooVzxYHbfcMEvtcrQprho/%D0%9F%D0%B0%D0%BA%D0%B5%D1%82%20%D1%83%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8%20%D0%9A%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%9F%D0%A0%D0%9E.rar'. This link may potentially lead to a phishing attempt or malware download.
,url--11853b4d-0f61-43ca-bcb4-a9ac02f7c69a,url,hXXps://documents-sed[.]com/downloads/storage/v5.6.3/release/%D0%A3%D1%81%D1%82%D0%B0%D0%BD%D0%BE%D0%B2%D1%89%D0%B8%D0%BA%20%D0%9A%D1%80%D0%B8%D0%BF%D1%82%D0%BE%D0%9F%D0%A0%D0%9E%202025.rar,"The object contains a URL that is stored in the 'value' field. The URL appears to be a link to a download location for an archived software package, specifically a version of Asta Kritopon from 2025. The package name includes the number 'v5.6.3', suggesting it may be a specific release or update."
,url--07fa04b8-4f21-4eb2-9055-70da9f54c58e,url,hxxp://213.165.61.133/search/?text=[a-z]{30},"The object contains a URL whose description field is empty (nan). The URL itself is 'hxxp://213.165.61.133/search/?text=[a-z]{30}'. It appears to be a search engine query string, likely targeting English text within the search results."
,url--f28154be-f1e7-421b-b769-b388606a36aa,url,hxxp://94.156.232.113/search/?text=[a-z]{30},"The object contains a URL with a specific pattern. The URL is generated based on the following criteria:

* It starts with ""http"" (as indicated by the 'type' field being ""url"")
* The domain name is 94.156.232.113
* A search query is appended to the end of the URL
* The search query consists of a random letter between a-z, repeated 30 times

In essence, this object appears to be a template for generating a URL that can be used to search for something on a specific website. However, without more information about the purpose or context of these URLs, it is difficult to provide further insight into their significance."
,url--9fa5f47a-5b00-49ab-99b3-f206ff8a6eda,url,https://www.npmjs.com/package/@vietmoney/react-big-calendar,"The object contains a single entry for a URL package on npm. The package is named '@vietmoney/react-big-calendar' and has the description field set to 'nan', indicating that it does not have a provided description. The type of this entry is specified as 'url'."
,url--93550059-3751-4e82-9bb9-e9ef0474723e,url,https://raw.githubusercontent.com/,The object contains a URL with a unique identifier. The URL is stored at https://raw.githubusercontent.com/ and has a descriptive string that starts with 'url--'.
,url--c69feaee-ed44-4a7b-85b9-e7fe353c2985,url,https://www.aikido.dev/blog/shai-hulud-strikes-again---the-golden-path,"The object contains a detailed webpage URL about Aikido, specifically focusing on the concept of 'Shai Hulud', also known as the 'Golden Path'. The webpage is hosted at https://www.aikido.dev/blog/shai-hulud-strikes-again---the-golden-path."
,url--41257909-e902-4769-9c39-c5b401c70c95,url,https://f6b04000.consent-verify.pages.dev/,"The object contains a URL with the following details:

* Type: The object is classified as a URL.
* Description: Unfortunately, this field has not been filled in, resulting in missing information.
* Value: The actual URL value is 'https://f6b04000.consent-verify.pages.dev/', which appears to be a valid and unique identifier."
,url--4344ad74-c4da-45db-8563-f846b7227548,url,http://81.90.29.64/ebc/rps.gz,"The object contains a URL value. Specifically, the URL is http://81.90.29.64/ebc/rps.gz. This URL appears to be a compressed file named rps.gz located on a server identified by the IP address 81.90.29.64."
,url--61164ea3-2e42-4382-9cc2-52e8567eda5d,url,http://corezea.com/ebc,The object contains a URL with the description being missing.
,url--b7c40b55-57cd-4129-8135-8de622dac3db,url,http://141.98.80.175/tick.odd,"The object contains a URL that is likely to be related to a financial or economic system. The value of the URL is 'http://141.98.80.175/tick.odd'. This suggests that it may be a website providing real-time market data, such as stock prices or trading volumes, for a particular asset or exchange."
,url--f77677e9-984e-40d0-889d-c9c1fba1a553,url,http://141.98.80.175/gpsc.dat,The object contains a URL that is identified as 'gpsc.dat' stored at the specified IP address 'http://141.98.80.175'.
,url--7669fd65-cbe8-49ad-84ce-6b59d8eef9a2,url,http://141.98.80.175/ercx.dat,The object contains a URL link with the value http://141.98.80.175/ercx.dat. The data is classified as a type of URL.
,url--11a37f62-e24e-4391-8ea8-afedd66d9daf,url,http://141.98.80.175/rtdx.dat,"The object contains a single URL entry with the following details:

It is identified by the value 'url--11a37f62-e24e-4391-8ea8-afedd66d9daf'. The type of this entry is specified as 'url'.

The actual data associated with this entry is contained within the provided URL, which points to a file named 'rtdx.dat' hosted on an IP address of 141.98.80.175.

No additional metadata fields such as timestamps are included in the summary, and there are no specific points or details beyond these basic characteristics."
,url--d6224c9b-f20b-4a3b-af21-70db31621bf7,url,http://141.98.80.175/very.dat,"The object contains a URL as its value, which is 'http://141.98.80.175/very.dat'. The URL's type is specified as 'url', indicating that it is a hyperlink to a specific location on the internet. This URL appears to be pointing to a file or resource located at the IP address 141.98.80.175."
,url--86e82757-770a-4326-bc05-feb931cc6fa8,url,http://94.74.164.136/fifx.odd,"The object contains a URL that is an odd file, located at http://94.74.164.136/fifx.odd."
,url--65bf8c54-20bd-4976-87b0-96215fb5736d,url,https://github.com/RedFoxNxploits/CVE-2025-10294-Poc,"The object contains a dictionary representing a GitHub URL. The key 'description' is empty (NaN). The URL itself is the primary content of this dictionary, which is 'https://github.com/RedFoxNxploits/CVE-2025-10294-Poc'. This URL appears to be a link to a specific repository on GitHub related to a CVE-2025-10294 vulnerability."
,url--7aeebf29-b73c-49e8-8f90-f3b166eef543,url,https://github.com/FixingPhantom/CVE-2025-10294,"The object contains a dictionary representing a URL metadata entry. The description field is missing (nan), while the type and value fields are present, indicating that this is a URL object.

It appears to be related to a specific vulnerability, as it references a GitHub repository containing information about CVE-2025-10294."
,url--802e73f6-c824-4ee8-98cd-a418ea888104,url,https://github.com/h4xnz/CVE-2025-10294-POC,"The object contains information about a vulnerability exploit. The vulnerability is identified by the CVE (Common Vulnerabilities and Exposures) code '2025-10294'. 

It's associated with a publicly available Proof of Concept (POC) on GitHub, accessible at the provided URL."
,url--6bc8bdaf-3c13-4630-b25c-92a02b45687a,url,https://github.com/usjnx72726w/CVE-2025-59295/tree/main,"The object contains a dictionary representing a URL entry. The key 'description' is currently set to NaN (Not a Number), indicating that there is no descriptive text associated with this URL. The URL itself is stored under the key 'value', which points to a repository on GitHub containing information about CVE-2025-59295."
