aliases,categories,cpe,created,created_by_ref,description,external_references,id,labels,languages,modified,name,swid,type,types,vendor,version,versions,summary
,,,,,Malware strain observed in npm package @vietmoney/react-big-calendar.,,software--846406d4-9884-4ee8-92eb-64952d010627,,,,Shai Hulud,,software,,,,,"The object contains the following information about a software malware strain:

The malware is identified as 'Shai Hulud', which was discovered in an npm package called '@vietmoney/react-big-calendar'. The malware has been associated with a malicious activity related to this specific software. 

No additional details are available regarding its categorization, types of malware, languages used for development or modification, vendors, or versions."
,,,,,Tool referenced for secret scanning and error handling in the malware.,,software--b411a323-3d80-4847-8480-dd5bf6bc4216,,,,TruffleHog,,software,,,,,"The object contains information about a software entity called TruffleHog. The tool is categorized as a malware analysis tool and is used for secret scanning and error handling.

TruffleHog appears to be designed to detect and analyze malicious software, specifically focusing on identifying hidden secrets or encrypted data within the malware. Its purpose is crucial in the field of malware detection and analysis.

The available details about TruffleHog are limited, but it can be inferred that the tool has some level of functionality related to malware scanning and error handling. However, further information about its features, specifications, or usage is not readily available within this data set."
,,,,,Software referenced for package publishing by the malware.,,software--5d40b066-b9d5-4cf8-b8b3-0cb3b58fe2f1,,,,bun,,software,,,,,"The object contains information about a piece of software named ""bun"". The software is described as being referenced for package publishing by malware. This suggests that the software has been used or is associated with malicious activities.

There is no additional information available about the software, such as its categories, vendors, or versions. However, it is classified as a type of software and falls under the category of ""software"".

The only description provided for the software is its use in package publishing by malware. There are no external references to support this claim, and no labels or languages are associated with the software.

Overall, the information available about the software is limited, and further context would be needed to fully understand its significance or purpose."
,,,,,npm package infected with Shai Hulud malware.,,software--11bce0c5-48fe-40b0-a342-86a340eabaa4,,,,@vietmoney/react-big-calendar,,software,,,,,"The object contains information about a specific npm package. Here are the key details:

The name of the affected package is '@vietmoney/react-big-calendar'. This npm package has been infected with Shai Hulud malware.

The malware infection was discovered, but no further information on the exact timing or circumstances surrounding this discovery is available.

Unfortunately, there is limited data available to provide a detailed analysis of the impact of this malware infection."
,,,,,VPN portal targeted by credential-based attacks and login attempts.,,software--65682a7d-5d2d-4469-baf3-310b915d2e98,,,,Palo Alto Networks GlobalProtect,,software,,,,,"The object contains a detailed description of the Palo Alto Networks GlobalProtect VPN portal. 

It is targeted by various types of attacks, including credential-based attacks and login attempts, indicating potential vulnerabilities in its security features. 

No further information could be gathered from this data as many fields were blank or contained null values (nan)."
,,,,,API endpoints targeted by scanning activity using recurring client fingerprints.,,software--0a5ad867-a5d3-4d8a-9300-ce39214c1740,,,,SonicWall SonicOS,,software,,,,,"The object contains information about a software product called SonicWall SonicOS. The software is described as API endpoints targeted by scanning activity using recurring client fingerprints. 

Further details include the following: 
- There are no known aliases for this product.
- No categories or CPE (Common Platform Enumeration) values were found.
- The product was created, but no information about who created it was available.
- It appears that there is limited external reference material available.
- The name of the software is SonicWall SonicOS.
- Information regarding languages used by the product was not provided.
- There are no modifications or versions listed.
- The vendor and types were not specified.
 
Overall, this object provides a basic overview of SonicWall SonicOS without delving into additional details."
,,,2026-01-02T00:00:00.000Z,,"IBM API Connect is a widely used enterprise platform for managing application programming interfaces (APIs). Versions V10.0.8.0 through V10.0.8.5 and V10.0.11.0 are affected by CVE-2025-13915, a critical authentication bypass vulnerability.","[{""source_name"": ""IBM Support"", ""url"": ""https://www.ibm.com/support/pages/node/7255149""}]",software--526b3d6d-58cb-443c-9e08-957abef0cb31,"[""enterprise"", ""api-management""]",,2026-01-02T00:00:00.000Z,IBM API Connect,,software,,,,"[""10.0.8.0"", ""10.0.8.1"", ""10.0.8.2"", ""10.0.8.3"", ""10.0.8.4"", ""10.0.8.5"", ""10.0.11.0""]","The object contains information about a software vulnerability related to IBM API Connect, an enterprise platform for managing application programming interfaces (APIs). 

Specifically, the affected versions of IBM API Connect are V10.0.8.0 through V10.0.8.5 and V10.0.11.0, which are vulnerable to CVE-2025-13915, a critical authentication bypass vulnerability.

This vulnerability is described in detail on IBM's support pages (referenced by the URL provided), where users can find more information about the issue and potential solutions for mitigation.

The software in question is IBM API Connect, an enterprise-level platform used for managing APIs. The labels associated with this object indicate that it falls under the categories of ""enterprise"" and ""api-management"".

In terms of technical specifications, no specific details are provided regarding languages, vendor, or version information."
,,cpe:2.3:a:ibm:api_connect:*:*:*:*:*:*:*:*,,,,,software--8c6bc72e-f67d-4914-8bf3-eb0a6557b027,,,,IBM API Connect,,software,,IBM,,"[""10.0.8.0"", ""10.0.8.1"", ""10.0.8.2"", ""10.0.8.3"", ""10.0.8.4"", ""10.0.8.5"", ""10.0.11.0""]","The object contains information about the IBM API Connect software product. The product is classified under the CPE (Common Platform Enumeration) standard version 2.3, attributed to IBM as its vendor. Unfortunately, detailed specifications and exact versions are not provided, only a list of specific versions such as ""10.0.8.0"" through ""10.0.11.0""."
,,,,,"Android RAT sold via Russian-language MaaS channels, capable of device control, SMS/contacts/call log exfiltration, live audio/video streaming, phishing overlays, and notification manipulation.",,software--35ba3958-23ae-45c2-81fd-61cc2d4101c1,"[""android"", ""remote access trojan"", ""spyware"", ""malware-as-a-service""]",,,Fantasy Hub,,software,,,,,"The object contains information about a piece of malware software known as Fantasy Hub. It is classified as an Android Remote Access Trojan (RAT) sold via Russian-language MaaS channels. 

Fantasy Hub is capable of various malicious activities such as device control, exfiltration of SMS/contacts/call log data, live audio/video streaming, phishing overlays, and manipulation of notifications.

The malware was identified as having the following labels: android, remote access trojan, spyware, and malware-as-a-service."
,,,,,Used by Fantasy Hub for live audio/video streaming from victim device to C2.,,software--4efb61b3-f22d-4abc-bc3a-7396d0de21b1,"[""open-source"", ""real-time communication""]",,,WebRTC,,software,,,,,"The object contains information about the WebRTC software. It is categorized as a type of software, indicating that it provides a specific functionality or service. The description provided indicates that WebRTC is used for live audio/video streaming from a victim device to a Command and Control (C2) server.

According to its labels, WebRTC is classified as open-source software with real-time communication capabilities. However, the object lacks information on languages used in its development, vendor details, versioning, or specific types of software it belongs to.

The provided metadata fields contain null values for some categories such as CPE (Common Platform Enumeration), created and modified timestamps, external references, labels, languages, swid, and versions."
