aliases,created,created_by_ref,description,external_references,id,kill_chain_phases,labels,modified,name,object_marking_refs,spec_version,type,x_mitre_detection,x_mitre_id,x_mitre_permissions_required,x_mitre_platforms,x_mitre_tactic_type,summary
,2026-01-16T09:31:51.501152Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Attackers publish Chrome extensions that masquerade as productivity or security tools for enterprise HR and ERP platforms such as Workday, NetSuite, and SuccessFactors. These extensions are distributed via the Chrome Web Store and marketed to users and administrators as legitimate tools for account management and workflow optimization. The extensions request standard permissions that do not appear suspicious during installation, and their privacy policies falsely claim not to collect user data. This social engineering approach enables attackers to gain initial access to enterprise environments by convincing users to install the extensions, thereby granting the malicious code the necessary permissions to operate within the browser context.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1195/002/"", ""external_id"": ""T1195.002""}]",attack-pattern--72e780e3-d65e-dec7-488f-fbeab940e5d0,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-16T09:31:51.501152Z,Malicious Chrome Extension Deployment for Initial Access,,2.1,attack-pattern,,,,,,"The object contains a threat intelligence report describing a malicious attack pattern involving the deployment of fake Chrome extensions to gain initial access to enterprise environments. The attackers publish these extensions through the Chrome Web Store, marketing them as legitimate tools for productivity and security.

These extensions are designed to masquerade as actual tools, such as account management and workflow optimization tools, for HR and ERP platforms like Workday, NetSuite, and SuccessFactors. They request standard permissions that do not appear suspicious during installation, making it difficult for users and administrators to detect the malicious code.

The privacy policies of these extensions falsely claim not to collect user data, further adding to the deception. This social engineering approach enables attackers to gain initial access to enterprise environments by convincing users to install the extensions, thereby granting the malicious code the necessary permissions to operate within the browser context.

The attack pattern is documented in the MITRE ATT&CK framework and corresponds to technique T1195/002. The report also includes external references to further validate its accuracy."
,2026-01-16T09:31:51.501352Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Several extensions, including DataByCloud Access, Data By Cloud 1, and Software Access, implement automated extraction of authentication cookies—specifically targeting cookies named '__session' used for authentication in HR and ERP platforms. The extensions use Chrome's cookie APIs to retrieve all cookies for targeted domains, filter for authentication tokens, and exfiltrate them to attacker-controlled remote servers (e.g., api.databycloud.com or api.software-access.com) every 60 seconds. This persistent monitoring and exfiltration enables attackers to collect valid session tokens for enterprise accounts, facilitating unauthorized access and account takeover.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1539/"", ""external_id"": ""T1539""}]",attack-pattern--26794465-ddf4-6cd8-ea88-4df73eced529,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-16T09:31:51.501352Z,Session Cookie Theft and Exfiltration,,2.1,attack-pattern,,,,,,"The object contains information about a sophisticated cyber attack pattern known as ""Session Cookie Theft and Exfiltration"". This attack involves the use of browser extensions to automatically extract authentication cookies from HR and ERP platforms, specifically targeting cookies named '__session', which are used for authentication.

The attackers utilize Chrome's cookie APIs to retrieve all cookies for targeted domains, filter out non-relevant data, and exfiltrate the relevant authentication tokens to remote servers. This process is repeated every 60 seconds, allowing the attackers to collect valid session tokens for enterprise accounts.

This attack pattern enables attackers to facilitate unauthorized access and account takeover, as they can use the stolen session cookies to gain access to sensitive systems and resources. The attack is classified under the Mitre Attack technique T1539.

The attack pattern utilizes browser extensions, specifically DataByCloud Access, Data By Cloud 1, and Software Access, which implement automated cookie extraction and exfiltration mechanisms. These extensions are used to monitor and collect authentication cookies from HR and ERP platforms.

Overall, this attack pattern highlights the importance of monitoring and securing authentication cookies, particularly in HR and ERP systems, to prevent unauthorized access and account takeover."
,2026-01-16T09:31:51.501457Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Extensions such as Tool Access 11 and Data By Cloud 2 actively interfere with enterprise platform security by manipulating the Document Object Model (DOM) of targeted web pages. They erase content and redirect users away from up to 56 critical administrative and incident response pages, including those for password changes, account deactivation, 2FA device management, and audit log access. This prevents legitimate users and security teams from accessing security controls, managing authentication, or responding to incidents, effectively crippling the ability to detect and remediate account compromise.",,attack-pattern--129292d4-a5be-d41b-aeb9-c2445842e452,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:31:51.501457Z,DOM Manipulation to Block Security Administration Pages,,2.1,attack-pattern,,,,,,"The object contains an attack pattern titled ""DOM Manipulation to Block Security Administration Pages"". This attack pattern involves the manipulation of a web page's Document Object Model (DOM) to interfere with enterprise platform security. The primary goal is to prevent legitimate users and security teams from accessing critical administrative and incident response pages, including those for password changes, account deactivation, 2FA device management, and audit log access.

By erasing content and redirecting users, attackers can effectively cripple the ability of security teams to detect and remediate account compromise. This attack pattern is categorized under ""defense-evasion"" in the MITRE Attack framework, which suggests that it involves tactics used by attackers to evade detection and mitigation.

The attack pattern uses tools such as Tool Access 11 and Data By Cloud 2 to manipulate the DOM of targeted web pages, demonstrating its potential impact on enterprise security."
,2026-01-16T09:31:51.501545Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The Software Access extension implements a sophisticated session hijacking technique by not only exfiltrating session cookies to its command and control server but also receiving stolen cookies from the server. Using the chrome.cookies.set() API, the extension injects these cookies into the browser, enabling attackers to assume the session of any targeted account directly within the victim's browser. This bidirectional manipulation allows for seamless account takeover and persistent unauthorized access, bypassing traditional authentication mechanisms.",,attack-pattern--55f6a4c6-469c-a2e1-db56-6452d72070df,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",,2026-01-16T09:31:51.501545Z,Bidirectional Session Cookie Injection for Direct Session Hijacking,,2.1,attack-pattern,,,,,,"The object contains an attack pattern related to a sophisticated session hijacking technique called Bidirectional Session Cookie Injection for Direct Session Hijacking. This extension implements a method of exfiltrating and injecting session cookies into the browser, allowing attackers to assume the session of any targeted account directly within the victim's browser.

The technique involves using the chrome.cookies.set() API to inject stolen cookies from the command and control server into the browser, while also receiving stolen cookies from the server. This bidirectional manipulation enables seamless account takeover and persistent unauthorized access, bypassing traditional authentication mechanisms.

The attack pattern is characterized by its use of a Chrome extension that can hijack user sessions, allowing attackers to bypass security measures and maintain unauthorized access to accounts. The vulnerability relies on exploiting the browser's cookie management system, making it a significant threat to users' online security."
,2026-01-16T09:31:51.501626Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Data By Cloud 1 incorporates the DisableDevtool library to actively block access to browser developer tools. By preventing users and security analysts from inspecting the extension's code or monitoring its behavior through developer tools, the attackers increase the difficulty of detection and analysis. This technique helps maintain the stealth of malicious activities such as cookie theft and DOM manipulation, prolonging the extension's presence in the victim environment.",,attack-pattern--8045fc1e-fcc6-9eaa-b70c-6059df476dea,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:31:51.501626Z,Blocking Browser Developer Tools to Prevent Code Inspection,,2.1,attack-pattern,,,,,,"The object contains information about an attack pattern identified by the MITRE ATT&CK framework. The attack pattern is titled ""Blocking Browser Developer Tools to Prevent Code Inspection"". This technique involves using the DisableDevtool library to prevent users and security analysts from accessing browser developer tools, thereby increasing the difficulty of detection and analysis.

By blocking access to developer tools, attackers can maintain the stealth of malicious activities such as cookie theft and DOM manipulation. This technique is particularly useful in prolonging the presence of a malicious extension within a victim environment. The attack pattern is categorized under the ""Defense-Evasion"" kill chain phase, which suggests that the primary goal is to evade detection by security controls.

The attack pattern was created on January 16, 2026, at 09:31:51 UTC, and has been updated since then. It is assigned an ID of 'attack-pattern--8045fc1e-fcc6-9eaa-b70c-6059df476dea' and is classified as a type of attack pattern. The object also contains some external references, which are not specified in the provided data.

In terms of labels, there is no additional information available about this attack pattern. Overall, this attack pattern highlights the importance of monitoring browser developer tools to detect and prevent malicious activities."
,2026-01-16T09:31:51.501704Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The Software Access extension includes mechanisms to protect password input fields from inspection. This prevents users and analysts from viewing or extracting credentials entered into the browser, further complicating incident response and forensic analysis. By obfuscating or blocking access to password fields, the attackers reduce the likelihood of their credential theft activities being discovered or interrupted.",,attack-pattern--ee586b17-fa3e-feb5-b8c1-fefed885cf08,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:31:51.501704Z,Password Field Protection to Prevent Credential Inspection,,2.1,attack-pattern,,,,,,"The object contains attack-pattern information related to a specific threat tactic, titled ""Password Field Protection to Prevent Credential Inspection"". This attack pattern involves mechanisms to protect password input fields from inspection, making it more challenging for attackers to steal credentials and reduce the likelihood of their activities being discovered or interrupted.

The description provided highlights the importance of this protection mechanism in incident response and forensic analysis. By obfuscating or blocking access to password fields, attackers are hindered in their ability to successfully steal credentials, thereby increasing the overall security posture of an organization.

This attack pattern is categorized under a specific kill chain phase, identified as ""defense-evasion"" within the Mitre-Attack framework. The inclusion of this tactic indicates that the primary goal of this threat actor is to evade detection and prevent security measures from being effective.

Overall, this attack pattern serves as an essential component in identifying potential vulnerabilities and implementing measures to protect against credential theft activities."
,2026-01-16T09:31:51.501783Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Extensions maintain continuous surveillance of the authentication state by periodically extracting session tokens and monitoring user activity on enterprise platforms. This persistent monitoring ensures that attackers receive up-to-date credentials and can maintain access even as authentication tokens change or sessions are refreshed. The extensions' background scripts automate this process, enabling long-term compromise and facilitating ongoing account hijacking.",,attack-pattern--367a02bd-1374-fd4b-69c6-2da25aae35ee,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-16T09:31:51.501783Z,Persistent Monitoring of Authentication State,,2.1,attack-pattern,,,,,,"The object contains details about a specific attack pattern known as ""Persistent Monitoring of Authentication State"". This attack pattern is characterized by the continuous surveillance of the authentication state by extensions on enterprise platforms.

The persistent monitoring allows attackers to maintain access even after authentication tokens change or sessions are refreshed. The extensions' background scripts automate this process, enabling long-term compromise and facilitating ongoing account hijacking.

This attack pattern falls under the MITRE ATT&CK framework's ""Persistence"" phase, which aims to maintain control over compromised systems and devices."
,2026-01-16T09:31:51.501835Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The extensions encrypt traffic sent to their command and control servers when exfiltrating session tokens and authentication cookies. This encryption helps evade network-based detection mechanisms and makes it more difficult for defenders to identify or analyze the stolen data in transit. By securing the exfiltration channel, attackers increase the success rate of credential theft and reduce the risk of interception by enterprise security tools.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1041/"", ""external_id"": ""T1041""}]",attack-pattern--1a318bb6-79b6-0366-00e5-26086e2476c0,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""exfiltration""}]",,2026-01-16T09:31:51.501835Z,Encrypted Command and Control Traffic for Cookie Exfiltration,,2.1,attack-pattern,,,,,,"The object contains information about an attack pattern titled ""Encrypted Command and Control Traffic for Cookie Exfiltration"". This attack pattern involves encrypting traffic sent to command and control servers when exfiltrating session tokens and authentication cookies. The encryption helps evade network-based detection mechanisms and makes it more difficult for defenders to identify or analyze the stolen data in transit.

By securing the exfiltration channel, attackers increase the success rate of credential theft and reduce the risk of interception by enterprise security tools. This attack pattern is associated with external references from MITRE-Attack, specifically technique T1041.

In terms of kill chain phases, this attack pattern falls under the ""Exfiltration"" phase of the MITRE Attack Chain. Overall, this attack pattern highlights the importance of securing exfiltration channels to prevent credential theft and data interception by attackers."
,,,"Lokibot begins by checking if it was executed with the -u parameter. If present, it pauses for 10 seconds before running its main code.","[{""source_name"": ""mitre-attack"", ""external_id"": ""T1497.003"", ""url"": ""https://attack.mitre.org/techniques/T1497/003/""}]",attack-pattern--a6ae0eb3-50cb-44e3-a06e-39ce4a6407fb,,,,Time Based Evasion,,,attack-pattern,,,,,,"The object contains information about an attack pattern known as ""Time Based Evasion"". This attack pattern involves using techniques to evade detection by manipulating the timing of system interactions. The attackers' goal is to make it difficult for security systems to detect their malicious activities.

Lokibot, a tool used in this attack pattern, checks if it was executed with the -u parameter and pauses for 10 seconds before running its main code. This pause allows the attacker to avoid detection by security systems that may be monitoring system activity.

The attack pattern is documented on MITRE ATT&CK and has an external reference ID of T1497.003. This documentation provides a standardized framework for understanding and analyzing this type of attack.

In summary, ""Time Based Evasion"" is an attack pattern that utilizes timing manipulation to evade detection by security systems. Lokibot is used in this pattern, and the technique involves pausing system activity to avoid detection."
,,,"Lokibot collects system information including username, token membership, system details, OS version, and machine GUID (used for mutex generation).","[{""source_name"": ""mitre-attack"", ""external_id"": ""T1082"", ""url"": ""https://attack.mitre.org/techniques/T1082/""}]",attack-pattern--e41f9e6c-8e81-4a7b-9ff5-3ba2cce80bbb,,,,System Information Discovery,,,attack-pattern,,,,,,"The object contains information about an attack pattern named ""System Information Discovery"". This attack pattern involves the collection of system information, including username, token membership, system details, OS version, and machine GUID. The purpose of this activity is likely for malicious actors to gather sensitive information that could be used for future attacks or to establish a foothold on the compromised system.

The attack pattern is associated with the MITRE ATT&CK framework, specifically technique T1082. This suggests that the threat actor may use this attack pattern as part of their tactics, techniques, and procedures (TTPs) to collect sensitive information about the target system.

The description of the attack pattern highlights the potential for malicious actors to gather valuable information about the compromised system, which could be used to identify vulnerabilities or gain unauthorized access. This type of activity is a common tactic used by threat actors to gather intelligence about their targets before launching a more sophisticated attack.

It's worth noting that this attack pattern does not have any labels or kill chain phases associated with it, indicating that it may not be part of a specific campaign or strategy. However, the association with technique T1082 in the MITRE ATT&CK framework suggests that it is still a relevant and potentially concerning threat actor tactic."
