aliases,created,created_by_ref,description,external_references,goals,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,pattern_version,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from,x_capabilities,summary
,2026-01-20T20:13:22.895622Z,,r136a1.dev is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,organization,,,,,2026-01-20T20:13:22.895622Z,r136a1.dev,,,,,,2.1,,,identity,,,"The object contains a set of threat intelligence report details that provide information about an organization. The name of the organization is ""r136a1.dev"", which serves as the identifier for this identity-based threat intelligence report.

This report was created by TI Mindmap HUB, a publisher, and has been STIXed, indicating that it conforms to the Threat Intelligence (STIX) standard for sharing threat intelligence data. However, some details such as aliases, created_by_ref, and external_references are not available.

The primary motivation behind this identity-based report is not specified, but it falls under an unspecified category of primary motivations. Sophistication levels, malware types, and kill chain phases associated with the organization are also not clearly defined, leaving room for further analysis or investigation.

Some threat actor-related details and tool type classifications remain unreported, suggesting that additional information might be available outside this particular report. Nevertheless, the report does offer a clear indication of its STIX specification version, which is 2.1, and conforms to certain standards in the threat intelligence community."
,2026-01-20T20:13:22.895622Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,,2026-01-20T20:13:22.895622Z,TI Mindmap HUB,,,,,,2.1,,,identity,,,"The object contains information about a threat intelligence platform called TI Mindmap HUB. The platform is an AI-powered system that generates STIX bundles from Open-Source Intelligence (OSINT) sources.

TI Mindmap HUB is designed to provide a centralized hub for threat intelligence, allowing users to easily access and analyze threat-related data. The platform's primary function is to generate STIX bundles, which are standardized packages of threat-related information that can be shared across different systems and organizations.

The platform has several key features, including the ability to connect with OSINT sources and generate relevant threat intelligence. However, some details about its capabilities and limitations are currently unknown due to missing data in the provided summary.

Some questions remain unanswered regarding TI Mindmap HUB, such as what types of indicators it can identify, how sophisticated its threat detection capabilities are, and what tools or techniques it uses to achieve its goals."
,2026-01-20T20:13:24.881572Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: ipv4 - 185.126.255.132
Confidence: high
Notes: IP address used as the command-and-control (C2) server for Turla's Kazuar v3 loader. Hosts malicious payloads and receives victim data.",,,indicator--0de04146-bde0-4327-9862-44fe6aa068c4,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.881572Z,IPV4: 185.126.255.132,[ipv4-addr:value = '185.126.255.132'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.881572Z,,"The object contains information about a malicious IP address, specifically IPv4 address 185.126.255.132. This IP address is identified as a command-and-control server for Turla's Kazuar v3 loader, a type of malware. The system in question hosts and receives data from the malware, which includes victim data. 

The description provided by the system classifies this activity as high confidence. No further details about the goals or motivations behind this malicious activity are available.

There is no information available on external references to this IP address, its family classification, or the stages of an attack it might be a part of (kill chain phases). Additionally, there is no indication of what kind of malware this IP address hosts or any associated types of malware."
,2026-01-20T20:13:24.882731Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: domain-name - esetcloud.com
Confidence: high
Notes: Malicious domain used to imitate ESET and associated with the Kazuar C2 infrastructure. Certificate issued for this domain on the C2 server.",,,indicator--2f2dbd7e-e6fa-4655-ad26-0336ae8bd10d,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.882731Z,DOMAIN-NAME: esetcloud.com,[domain-name:value = 'esetcloud.com'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.882731Z,,"The object contains information about an Indicator of Compromise, specifically a malicious domain named esetcloud.com. This domain is considered high-confidence and has been associated with the Kazuar C2 infrastructure. According to the notes provided, the certificate for this domain was issued on the C2 server, indicating that it is likely being used for malicious purposes. The primary description of this indicator states that it imitates ESET and is related to the Kazuar C2 infrastructure. Additionally, the pattern associated with this indicator matches a specific domain name, ""esetcloud.com""."
,2026-01-20T20:13:24.885910Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: url - https://download.originalapk.com/wp-content/plugins/loginizer/styles/
Confidence: high
Notes: Compromised WordPress plugin path used by Kazuar BRIDGE payload for data exfiltration.",,,indicator--8f819fc3-ae5c-4d0a-aeaa-734a4cfccbfa,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.885910Z,URL: https://download.originalapk.com/wp-content/plugins/loginizer/styles/,[url:value = 'https://download.originalapk.com/wp-content/plugins/loginizer/styles/'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.885910Z,,"The object contains a unique identifier for an Indicator of Compromise, which is ""https://download.originalapk.com/wp-content/plugins/loginizer/styles/"". This URL is associated with a compromised WordPress plugin that has been used by a Kazuar BRIDGE payload to facilitate data exfiltration. The confidence level in this indicator is high, indicating that it is likely to be valid.

The type of indicator is classified as ""malicious-activity"", which suggests that it is related to malicious behavior or actions. However, the object does not provide further information on what specific type of activity this indicator refers to.

A pattern has been identified for this indicator, which is a regular expression that matches URLs containing the string ""https://download.originalapk.com/wp-content/plugins/loginizer/styles/"". This pattern is used to identify potential indicators of compromise in various systems and networks.

The object also provides additional information on the context in which it was created, including an external reference. However, since this value is not provided, further details on the specific context cannot be determined.

Overall, the object appears to represent a legitimate indicator of compromise, specifically related to malicious activity involving compromised WordPress plugins."
,2026-01-20T20:13:24.887360Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: url - https://portal.northernfruit.com/wp-content/plugins/file-away/core/
Confidence: high
Notes: Compromised WordPress plugin path used by Kazuar BRIDGE payload for data exfiltration.",,,indicator--50c657e7-cae7-4567-b29e-d55e02c697b5,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.887360Z,URL: https://portal.northernfruit.com/wp-content/plugins/file-away/core/,[url:value = 'https://portal.northernfruit.com/wp-content/plugins/file-away/core/'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.887360Z,,"The object contains a detailed description of an indicator of compromise, which is a malicious WordPress plugin used by the Kazuar BRIDGE payload for data exfiltration. The compromised path is associated with high confidence and has been identified as a potential security threat. This indicator is classified as ""malicious-activity"" and is linked to a specific URL, indicating that it is related to an external source."
,2026-01-20T20:13:24.887716Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: url - https://arianeconseil.online/wp-includes/sitemaps/html/
Confidence: high
Notes: Compromised WordPress plugin path used by Kazuar BRIDGE payload for data exfiltration.",,,indicator--a2cf3658-ce67-4a0d-adbc-602cd27bb8e7,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.887716Z,URL: https://arianeconseil.online/wp-includes/sitemaps/html/,[url:value = 'https://arianeconseil.online/wp-includes/sitemaps/html/'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.887716Z,,"The object contains information about an indicator of compromise, specifically a URL that has been identified as being used by a malicious payload to exfiltrate data. The compromised WordPress plugin path is a key piece of information, indicating that the threat actor has gained access to sensitive data through this vulnerability.

The confidence level in this indicator is high, suggesting that it has been thoroughly evaluated and verified. However, no additional details are provided about the confidence level, such as the specific criteria used to determine its accuracy.

In terms of external references, no information is available. The goals associated with this indicator are also unclear, which may indicate that the threat actor's motivations or objectives are not yet fully understood.

The object contains a pattern that matches the URL in question, which can be used to identify similar indicators of compromise in the future. This pattern is based on STIX (Standardized Extensible IT Security) format version 2.1 and includes specific details about the URL, such as its value.

Some additional attributes are available for this indicator, including the type, which is classified as an ""indicator"", and the threat actor types associated with it, although these are currently unknown. Tool types may also be relevant to this indicator, but their specifics are not yet known.

Overall, the object provides valuable information about a specific URL that has been identified as being used by a malicious payload, highlighting the importance of monitoring and detecting such indicators in order to mitigate potential security risks."
,2026-01-20T20:13:24.890596Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: sha256 - 3db10e71dab8710fb69b5c65c48382f43be3e4c79456d7a7abd5a7059873f581
Confidence: high
Notes: SHA-256 hash of the initial VBScript file (8RWRLT.vbs) used to download and execute Kazuar loader components.",,,indicator--3f58ff3e-a543-48dc-ab96-ed2e0e0f6fb7,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.890596Z,SHA256: 3db10e71dab8710fb69b5c65c48382f43be3e4c79456d7a7abd5a7059873f581,[file:hashes.'SHA-256' = '3db10e71dab8710fb69b5c65c48382f43be3e4c79456d7a7abd5a7059873f581'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.890596Z,,"The object contains information about a malicious indicator of compromise, specifically a SHA-256 hash of a VBScript file used to download and execute Kazuar loader components. The confidence level associated with this indicator is high, indicating that it has been identified as a potential threat. A description of the indicator notes that it is related to a specific malware activity, further supporting its classification as malicious.

The pattern associated with this indicator is defined in STIX format, which specifies a file hash pattern that matches the given SHA-256 value. This pattern can be used to detect and identify the presence of this malicious code.

Some additional metadata fields are present, including information about external references, goals, kill chain phases, malware types, and tool types. However, these fields are not provided in detail as they do not contain specific information about the indicator itself.

Overall, the object provides a clear picture of the malicious indicator at hand, highlighting its potential threat level and providing context for its detection and identification."
,2026-01-20T20:13:24.890915Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: sha256 - 69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4
Confidence: high
Notes: SHA-256 hash of the native loader DLL (hpbprndiLOC.dll) responsible for decrypting and executing Kazuar payloads.",,,indicator--c8332e76-058a-4b5e-b244-f1192a45fd32,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.890915Z,SHA256: 69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4,[file:hashes.'SHA-256' = '69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.890915Z,,"The object contains a detailed description of an indicator, which is a type of security threat information used to identify potential malicious activity. The indicator's name is SHA256: 69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4, and it is classified as a file hash. It was identified based on a SHA-256 signature of the native loader DLL (hpbprndiLOC.dll) responsible for decrypting and executing Kazuar payloads.

The indicator has a high level of confidence in its accuracy, indicating that it is considered to be reliable. Additionally, the threat actor type and tool types associated with this indicator are unknown, suggesting that further investigation may be necessary to fully understand the threat landscape.

The primary motivation behind creating this indicator is not specified, but its sophistication level appears to be unknown, making it difficult to assess the complexity of the attack or the motivations behind it. The specification version of the indicator is 2.1, which suggests that it follows a specific standard for defining and representing indicators in threat intelligence.

Overall, the object provides a detailed description of an indicator that can be used to identify potential security threats, but further analysis may be necessary to fully understand the implications of this threat information."
,2026-01-20T20:13:24.892571Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: sha256 - 866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da
Confidence: high
Notes: SHA-256 hash of the COM-visible .NET assembly (jtjdypzmb.yqg) used to bridge native loader and Kazuar payloads.",,,indicator--d6efb40c-7e5e-41f6-bdfd-f3a924352dfc,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.892571Z,SHA256: 866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da,[file:hashes.'SHA-256' = '866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.892571Z,,"The object contains information about a malicious indicator, specifically a SHA256 hash of the COM-visible .NET assembly used to bridge native loader and Kazuar payloads. The confidence level of this indicator is high, indicating that it is likely to be associated with malicious activity. 

This indicator is categorized under the ""malicious-activity"" type and is related to malware. It was created on January 20th, 2026, at 8:13 PM UTC, which corresponds to a specific SHA256 hash of a COM-visible .NET assembly. The notes associated with this indicator explain that it is linked to a combination of native loader and Kazuar payloads.

The pattern associated with this indicator is in the format ""[file:hashes.SHA-256 = '866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da']"". This pattern type is identified as STIX, a standard for sharing threat intelligence. The version of the pattern specified in this indicator is 2.1.

Unfortunately, additional information regarding the sophistication level and primary motivation behind this malicious indicator are not available within the provided data."
