aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-17T20:51:24.989715Z,,AhnLab SEcurity intelligence Center (ASEC) is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,organization,,,,2026-01-17T20:51:24.989715Z,AhnLab SEcurity intelligence Center (ASEC),,,2.1,,,identity,
,2026-01-17T20:51:24.989715Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-17T20:51:24.989715Z,TI Mindmap HUB,,,2.1,,,identity,
,2026-01-17T20:51:47.970279Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Trigona and other threat actors target externally exposed MS-SQL servers with weak or default credentials. The attackers employ brute force and dictionary attacks to gain unauthorized access to these servers. Once login is successful, they proceed to execute further malicious activities. The campaign specifically exploits the fact that many database servers are configured with simple or guessable passwords, making them highly susceptible to automated credential attacks. This initial access vector is a recurring theme in the observed incidents, with attackers leveraging automated tools to rapidly test large numbers of username and password combinations until access is achieved.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1110/001/"", ""external_id"": ""T1110.001""}]",,attack-pattern--c3179ce8-b703-d23e-e235-0ae798fa0d3a,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T20:51:47.970279Z,Brute Force and Credential Stuffing on MS-SQL Servers,,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970375Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"After gaining access to the MS-SQL server, attackers utilize the CLR Shell technique to execute arbitrary commands and deploy additional payloads. The CLR Shell leverages SQL Server’s ability to run .NET code, allowing the attacker to execute system-level commands directly from the database context. This method is used to install further malware, such as backdoors, privilege escalation tools, and remote access utilities. The attackers’ consistent use of CLR Shell highlights their preference for leveraging built-in server functionalities to maintain stealth and flexibility in their operations.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1505/002/"", ""external_id"": ""T1505.002""}]",,attack-pattern--3d58c97e-d8e3-46a3-b716-949415be5bfd,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:51:47.970375Z,CLR Shell Execution for Payload Deployment,,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970472Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Attackers exploit the Bulk Copy Program (BCP) utility (bcp.exe) to export malicious binaries stored in SQL tables to the local filesystem. They first inject or store the malware payloads as binary objects in a database table (e.g., 'uGnzBdZbsi'), then use BCP commands to write these binaries to disk, specifying format files (e.g., 'FODsOZKgAU.txt') for proper extraction. This technique allows the attacker to bypass traditional network-based delivery mechanisms and leverage legitimate administrative tools to stage malware directly on the compromised server, reducing the likelihood of detection by network security controls.",,,attack-pattern--1b133d58-4f79-e08c-0006-ba87786f54cc,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:51:47.970472Z,Abuse of BCP Utility for Local File Creation from Database,,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970524Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Following initial compromise, attackers use various legitimate command-line utilities—such as Curl, Bitsadmin, and PowerShell—to download additional malicious payloads from remote servers. These tools are invoked with specific URLs pointing to attacker-controlled infrastructure, and the downloaded files are saved to locations on the infected system. This approach enables flexible and reliable delivery of malware components, including backdoors, miners, and remote access tools, while blending in with normal administrative activity and evading some endpoint protections.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1105/"", ""external_id"": ""T1105""}]",,attack-pattern--182cb842-ff8b-a8d7-aa43-448981d9c4f7,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T20:51:47.970524Z,"Malware Download via Curl, Bitsadmin, and PowerShell",,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970577Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Attackers install legitimate remote access software such as AnyDesk, RustDesk, and Teramind on compromised servers to establish persistent, interactive control. These tools are deployed via silent installation commands and batch scripts, often placed in system directories. By using widely recognized remote management software, attackers can maintain access even if other malware components are detected and removed. The campaign also involves modifying registry keys to facilitate remote logon and creating new user accounts specifically for remote access, further entrenching their foothold.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1219/"", ""external_id"": ""T1219""}]",,attack-pattern--1d74e0bd-50d8-89e8-14a9-2cfac7644e3d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:51:47.970577Z,"Installation and Abuse of Legitimate Remote Access Tools (AnyDesk, RustDesk, Teramind)",,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970628Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Custom batch scripts are used to create new local user accounts (e.g., 'Remote99', 'Ladmin', 'erp2') with permissions to access the system via Remote Desktop Protocol (RDP). These scripts also modify system settings and registry keys to enable credential logon and facilitate remote access. By establishing new privileged accounts, attackers ensure continued access and control, even if the original compromised account is disabled or removed. This technique is a key aspect of the persistence and privilege escalation strategy observed in the campaign.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1136/001/"", ""external_id"": ""T1136.001""}]",,attack-pattern--4ad80e6b-7119-947c-a7df-86a53ec04113,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-17T20:51:47.970628Z,Creation of New Local Users for RDP Access,,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970683Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Attackers deploy custom Rust-based scanner malware on infected servers to collect system information and scan for additional targets. The malware gathers IP and geolocation data via 'ip-api.com' and reports this information to a C&C server. It then performs targeted scans for RDP and MS-SQL services within the network, enabling lateral movement and identification of further vulnerable systems. The use of custom-built scanners demonstrates a tailored approach to internal reconnaissance and expansion within compromised environments.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1046/"", ""external_id"": ""T1046""}]",,attack-pattern--507c5097-afe2-ccc0-e3f3-9421f6f3646d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""discovery""}]",,2026-01-17T20:51:47.970683Z,Deployment of Rust-based Scanner Malware for Network Reconnaissance,,,2.1,,,attack-pattern,
,2026-01-17T20:51:47.970785Z,identity--c2e554c8-827c-3026-b5a9-b2ed4c3794e0,"Beyond traditional data theft and ransomware, attackers install proxyware and cryptocurrency mining software on compromised servers. Proxyware leverages the server’s available internet bandwidth to generate revenue by sharing it with external parties, while CoinMiner exploits CPU resources to mine cryptocurrency. These monetization techniques are deployed alongside other malware, maximizing the financial gain from each compromised asset and often running covertly in the background to avoid detection.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1496/"", ""external_id"": ""T1496""}]",,attack-pattern--c78bd3f3-4ff8-25bd-465c-9b60ec9be72f,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""impact""}]",,2026-01-17T20:51:47.970785Z,Installation of Proxyware and CoinMiner for Resource Monetization,,,2.1,,,attack-pattern,
