aliases,contact_information,created,description,external_references,first_seen,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,primary_motivation,resource_level,roles,sectors,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from
"[""Comment Crew"", ""Comment Group"", ""Shady Rat""]",,2015-05-15T09:12:16.432Z,APT1 is a single organization of operators that has conducted a cyber espionage campaign against a broad range of victims since at least 2006.,,2006-06-01T18:13:15.684Z,intrusion-set--da1065ce-972c-4605-8755-9cd1074e3b5a,,,,,,2015-05-15T09:12:16.432Z,APT1,,,organizational-gain,government,,,,2.1,,,intrusion-set,
"[""Greenfield"", ""JackWang"", ""Wang Dong""]",,2015-05-15T09:12:16.432Z,,,,threat-actor--6d179234-61fc-40c4-ae86-3d53308d8e65,,,,,,2015-05-15T09:12:16.432Z,Ugly Gorilla,,,organizational-gain,government,"[""malware-author"", ""agent"", ""infrastructure-operator""]",,,2.1,"[""nation-state"", ""spy""]",,threat-actor,
"[""dota"", ""Rodney"", ""Raith""]",,2015-05-15T09:12:16.432Z,,,,threat-actor--d84cf283-93be-4ca7-890d-76c63eff3636,,,,,,2015-05-15T09:12:16.432Z,DOTA,,,organizational-gain,government,"[""agent"", ""infrastructure-operator""]",,,2.1,"[""nation-state"", ""spy""]",,threat-actor,
"[""dota"", ""Rodney"", ""Raith""]",,2015-05-15T09:12:16.432Z,,,,threat-actor--02e7c48f-0301-4c23-b3e4-02e5a0114c21,,,,,,2015-05-15T09:12:16.432Z,SuperHard,,,organizational-gain,government,"[""malware-author""]",,expert,2.1,"[""nation-state""]",,threat-actor,
"[""CPC""]",,2015-05-15T09:12:16.432Z, The CPC is the ultimate authority in Mainland China and tasks the PLA to commit cyber espionage and data theft against organizations around the world.,,,threat-actor--d5b62b58-df7c-46b1-a435-4d01945fe21d,,,,,,2015-05-15T09:12:16.432Z,Communist Party of China,,,organizational-gain,government,"[""sponsor"", ""director""]",,,2.1,"[""nation-state""]",,threat-actor,
"[""PLA GSD's 3rd Department, 2nd Bureau"", ""Military Unit Cover Designator (MUCD) 61398""]",,2015-05-15T09:12:16.432Z,"Unit 61398 functions as the Third Department's premier entity targeting the United States and Canada, most likely focusing on political, economic, and military-related intelligence.",,,threat-actor--94624865-2709-443f-9b4c-2891985fd69b,,,,,,2015-05-15T09:12:16.432Z,Unit 61398,,,organizational-gain,government,"[""agent""]",,,2.1,"[""nation-state""]",,threat-actor,
,uglygorilla@163.com,2015-05-15T09:12:16.432Z,,,,identity--a9119a87-6576-46af-bfd7-4fbe55926671,individual,,,,,2015-05-15T09:12:16.432Z,JackWang,,,,,,"[""government-national""]",,2.1,,,identity,
,uglygorilla@163.com,2015-05-15T09:12:16.432Z,,,,identity--e88ab115-7768-4630-baa3-3d49a7d946ea,individual,,,,,2015-05-15T09:12:16.432Z,Wang Dong,,,,,,"[""government-national""]",,2.1,,,identity,
,dota.d013@gmail.com,2015-05-15T09:12:16.432Z,,,,identity--0e9d20d9-fb11-42e3-94bc-b89fb5b007ca,individual,,,,,2015-05-15T09:12:16.432Z,dota,,,,,,"[""government-national""]",,2.1,,,identity,
,mei_qiang_82@sohu.com,2015-05-15T09:12:16.432Z,,,,identity--ecf1c7de-d96c-41c6-a510-b9c65cdc9e3b,individual,,,,,2015-05-15T09:12:16.432Z,Mei Qiang,,,,,,"[""government-national""]",,2.1,,,identity,
