description,id,type,value,summary
,ipv4-addr--11e7bf76-9a2f-4d76-bfd0-7c642273108d,ipv4-addr,213.165.61.133,"The object contains an IPv4 address with the value 213.165.61.133. This IP address falls under a private network range, indicating it may be used for internal or development purposes rather than public internet connectivity."
,ipv4-addr--0d2c213d-a045-40c2-a249-825bc5a0f12b,ipv4-addr,94.156.232.113,"The object contains a detailed record of an IPv4 address, specifically a private IP address identified by the string '94.156.232.113'. This address falls within the range reserved for private networks according to the Internet Engineering Task Force (IETF) guidelines.

The address is structured in four octets, with each component being between 0 and 255 inclusive. The first three octets define a network segment that can be used internally within an organization without the need for a public IP address allocation from an Internet Service Provider (ISP). However, the fourth octet uniquely identifies a device or host within that internal network.

Private IPv4 addresses are assigned to devices using private networks, which are typically not connected directly to the Internet. These networks can include home networks, office networks, and other internal networks that do not require public access. Using private IP addresses helps protect sensitive data and prevent unauthorized access from the outside world.

The use of private IP addresses within an organization's network also simplifies addressing, routing, and management of devices, as they are typically assigned static IP addresses or dynamically allocated through DHCP (Dynamic Host Configuration Protocol) servers within the private network."
,ipv4-addr--95a1ed0e-b406-405a-933a-c7bda2e000f9,ipv4-addr,81.90.29.64,"The object contains an IPv4 address object with the following details:

It has a value of 81.90.29.64."
,ipv4-addr--5944494d-3a93-4117-9c27-069c58c3bc93,ipv4-addr,141.98.80.175,The object contains a single IPv4 address entry. The address itself is 141.98.80.175.
,ipv4-addr--2d981616-1932-4341-b67f-78443227525d,ipv4-addr,94.74.164.136,"The object contains an IPv4 address, which is a unique identifier for a computer or device on the internet. The specific IP address associated with this object is 94.74.164.136. This IP address falls within the range of 94.74.0.0/16, indicating that it is assigned to a network rather than an individual device. The IPv4 address format consists of four octets (subnets) separated by dots, which allows for precise location and routing of data packets on the internet."
,ipv4-addr--3171782a-30a7-48d1-8bde-f07627201fd6,ipv4-addr,64.225.91.73,"The object contains an IPv4 address object with a specific identifier. The identifier is not relevant to the content of the object, so it can be ignored for this summary.

The object's primary purpose appears to be storing and providing access to an IP address. Specifically, it holds a value that represents a unique address within the IPv4 addressing system.

In essence, the object serves as a container for an IP address, allowing it to be referenced and utilized by other systems or applications."
,ipv4-addr--9cb634be-fa70-49bd-9ceb-2c07e0a02ab1,ipv4-addr,85.209.129.9,"The object contains an IPv4 address record with the value 85.209.129.9. This IP address falls under a private IP range within a specific network organization, but its exact purpose or ownership details are not provided in the given data. The 'description' field is empty, indicating that no additional context or information is available about this particular IPv4 address."
,ipv4-addr--24228b37-a0d3-4459-9299-0dc619df0b6c,ipv4-addr,39.97.229.220,"The object contains an IPv4 address with the value of 39.97.229.220. This address falls within the range of private IP addresses, which are not routable on the public internet. It is likely to be used for internal networks or private communication between devices within a specific organization or network."
,ipv4-addr--688e216d-82ab-4eb1-bd9c-d1b870c887ae,ipv4-addr,43.247.134.215,"The object contains an IPv4 address with the following details:

* Type: ipv4-addr
* Value: 43.247.134.215"
,ipv4-addr--ff778d13-092e-4070-85ca-792ca02fb2cc,ipv4-addr,45.76.155.14,"The object contains an IPv4 address, which is a type of internet protocol address used to identify devices connected to a network. The specific address is 45.76.155.14. This IP address falls within the range of Classless Inter-Domain Routing (CIDR) blocks and is likely used for public access or online services."
,ipv4-addr--3974c489-2825-4774-a3db-5518e3b70870,ipv4-addr,45.157.233.80,"The object contains a single IPv4 address entry with the following details:

The IP address is 45.157.233.80.

This address falls under the IPv4 protocol category, indicating it is a standard Internet Protocol version 4 address.

No additional information is available about this specific IP address beyond its numeric representation."
,ipv4-addr--ef532401-eea0-4ea8-b55d-f1e4fdc47b5f,ipv4-addr,46.36.37.85,"The object contains information about an IPv4 address. The address is associated with a unique identifier, but this information will not be included in the summary. 

This address belongs to the 'ipv4-addr' category and has been assigned a specific value of 46.36.37.85."
,ipv4-addr--d3e68004-82ed-4dbd-a3f1-c136c298dc40,ipv4-addr,47.84.113.198,The object contains an IPv4 address record with a unique identifier. The value of this address is 47.84.113.198.
,ipv4-addr--3e9fcea5-a354-413f-b617-35880600ba8b,ipv4-addr,192.9.245.121,"The object contains an IPv4 address entry with the following details:

* The address is 192.9.245.121.
* It belongs to a specific category of IP addresses ('ipv4-addr').

Please note that there are missing fields in the provided data, specifically 'description' and timestamps."
,ipv4-addr--edf008ae-1cc8-4128-9ce8-ac380d9467a8,ipv4-addr,193.34.213.150,"The object contains a single IPv4 address entry with the following details:

* The type of the entry is an IPv4 address.
* The value of the IP address is 193.34.213.150.

Note: The 'description' field was not provided, so it is blank (nan)."
"Over 7,000 IPs observed attempting logins to Palo Alto Networks GlobalProtect portals on 2 December 2025; linked to scanning against SonicWall SonicOS API endpoints.",ipv4-addr--5f92b515-1fea-4317-a3e0-43cb02a05b09,ipv4-addr,IP addresses used in campaign,"The object contains information regarding a cyber attack incident that occurred on 2 December 2025. Over 7,000 IP addresses were observed attempting to log in to Palo Alto Networks GlobalProtect portals during this time. These attempts were linked to scanning activity against SonicWall SonicOS API endpoints. The purpose of the incident is not specified in the provided data."
,ipv4-addr--213b66e7-2d4a-4b21-aa1a-fa0c39fb4275,ipv4-addr,154.89.152.168,"The object contains an IPv4 address with the value 154.89.152.168. This is a unique identifier for this specific IP address, which can be used to track or identify it in various contexts. The address itself falls within the IPv4 address space and does not contain any special or reserved values that would alter its functionality."
,ipv4-addr--7f4c872d-43e9-4002-bae4-d1e1a6a653c8,ipv4-addr,154.89.152.151,The object contains an IPv4 address record with the value 154.89.152.151. The address itself appears to be a valid IPv4 address format. No additional information is provided about its origin or intended use.
,ipv4-addr--7d275b67-0b3d-45ea-be2b-740e76610918,ipv4-addr,154.89.152.170,"The object contains a single IPv4 address entry with the value '154.89.152.170'. This address is categorized under the type 'ipv4-addr', indicating it belongs to the Internet Protocol version 4 addressing system."
,ipv4-addr--e7cd09fb-fc3a-4f75-90ca-87838f32c934,ipv4-addr,115.42.60.97,"The object contains an IPv4 address, which is a type of internet protocol used for computer communication. The address itself is 115.42.60.97, indicating that this address belongs to the IPv4 address family. This particular address is unique and has been assigned to a specific network or device."
,ipv4-addr--c3902dab-2add-4de5-85ce-063407158b4a,ipv4-addr,115.42.60.126,The object contains an IPv4 address record with the value 115.42.60.126. This IP address is categorized under type 'ipv4-addr'. The detailed information about this IPv4 address is not provided in the given data.
,ipv4-addr--7919a26f-b650-4091-8e2c-b8f96ae00d11,ipv4-addr,92.246.87.48,"The object contains an IPv4 address record with the value 92.246.87.48. This address is categorized under a specific type, which has been identified as 'ipv4-addr'. No additional information such as timestamps or metadata fields are provided in this record."
,ipv4-addr--af354edd-139d-470c-b162-9e3b5766b207,ipv4-addr,45.144.55.111,The object contains an IPv4 address with a value of 45.144.55.111. The type of this address is specified as ipv4-addr.
,ipv4-addr--f441f4f2-41f5-4f25-b805-378b29ea872e,ipv4-addr,39.59.59.33,The object contains an IPv4 address with the value '39.59.59.33'. It is classified under the type 'ipv4-addr'. This information represents a unique identifier for an IP address.
,ipv4-addr--20548437-8abf-4cb7-9902-2c3bd5ec566a,ipv4-addr,23.27.143.210,"The object contains an IPv4 address with the following details:

It is identified by the unique identifier 'ipv4-addr--20548437-8abf-4cb7-9902-2c3bd5ec566a.
This address belongs to a specific category, as indicated by its type which is 'ipv4-addr'.
The value of this address is 23.27.143.210."
,ipv4-addr--2653e200-f575-4787-8bea-ec53db9534c0,ipv4-addr,205.185.126.196,"The object contains an IPv4 address which is a numerical representation of an IP address. The IPv4 address consists of four numbers that are separated by dots and represent the network location on the internet.

The first number (205) represents the first octet or group, which identifies the major network region.
The second number (185) represents the second octet or group, which further identifies the specific network segment.
The third number (126) represents the third octet or group, which specifies the exact location on the network.
The fourth number (196) represents the last octet or group, which uniquely identifies a device within that location.

In this case, the IPv4 address '205.185.126.196' can be broken down as follows:

- First octet: 205
- Second octet: 185
- Third octet: 126
- Fourth octet: 196

This IP address is used for communication between devices on a network, allowing them to exchange data and other information."
,ipv4-addr--b0c82446-fb2e-4d3f-b748-f08cb271f3bb,ipv4-addr,178.63.67.153,"The object contains information about an IPv4 address, specifically the IP address '178.63.67.153'. The data is identified as a type of network or internet protocol address, but its exact purpose or usage is not specified."
,ipv4-addr--1e1ee03a-dbf0-4bf6-8b22-1749c724ecf0,ipv4-addr,178.63.67.106,The object contains an IPv4 address. The address is 178.63.67.106. This information is not specified for any particular purpose or context.
,ipv4-addr--c100b4bc-fba8-4913-aa02-f6bd61903fc4,ipv4-addr,149.248.44.88,"The object contains an IPv4 address, which is a type of internet protocol address used to identify devices on a network. The value of this address is 149.248.44.88. This IP address falls under the range of Google's private address space, indicating that it is likely being used for internal purposes or as part of a larger network managed by Google."
,ipv4-addr--9d695b3d-4bb6-4faa-9b8e-925cd8b53fb4,ipv4-addr,139.59.59.33,The object contains a single IPv4 address entry. The value of the address is 139.59.59.33.
