created,created_by_ref,description,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
2026-01-17T07:29:02.273828Z,,Cato Networks is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,organization,,,,2026-01-17T07:29:02.273828Z,Cato Networks,,,2.1,,,identity,
2026-01-17T07:29:02.273828Z,,Vitaly Simonovich is the primary author of this threat intelligence report. STIXed by TI Mindmap HUB.,,identity--18fdddfd-6264-5831-2a8e-b16350d92765,individual,,,,2026-01-17T07:29:02.273828Z,Vitaly Simonovich,,,2.1,,,identity,
2026-01-17T07:29:02.273828Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-17T07:29:02.273828Z,TI Mindmap HUB,,,2.1,,,identity,
2026-01-17T07:29:24.832922Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack is a novel indirect prompt injection technique that leverages the fragment portion of legitimate URLs (the part after the # symbol) to conceal malicious instructions. When a user interacts with an AI browser assistant (such as Copilot for Edge, Gemini for Chrome, or Comet for Perplexity), the assistant processes the full URL, including the hidden fragment, and feeds it to the underlying large language model (LLM). This causes the LLM to execute the concealed prompt, which can result in a variety of malicious outcomes such as phishing, data exfiltration, misinformation, malware guidance, medical harm, and credential theft. The attack does not require compromising the website itself; any legitimate site can be weaponized simply by crafting a URL with a malicious fragment. Because fragments are never sent to the server and remain client-side, traditional network, server, and content security defenses are blind to this attack.",,attack-pattern--0132c1c8-6124-9145-4962-84d489a133b9,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T07:29:24.832922Z,HashJack Indirect Prompt Injection via URL Fragments,,,2.1,,,attack-pattern,
2026-01-17T07:29:24.833086Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"This technique exploits the user's trust in legitimate websites by embedding malicious instructions within the URL fragment. Since the base URL points to a trusted site and the page content remains unchanged, users are unlikely to suspect malicious activity. The attack relies on the assumption that users will interact with AI browser assistants on these trusted sites, inadvertently triggering the hidden payload. This abuse of trust is critical to the success of HashJack, as users are more likely to follow AI-generated suggestions and actions when they believe the context is safe.",,attack-pattern--397780ca-58b5-5911-3f1e-24650975dec1,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T07:29:24.833086Z,Abuse of User Trust via Legitimate Websites,,,2.1,,,attack-pattern,
2026-01-17T07:29:24.833186Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack delivers its payload by embedding malicious prompts in the URL fragment, which is processed entirely on the client side by the AI browser assistant. Because fragments are never transmitted over the network or logged by the server, traditional security controls such as IDS/IPS and content security policies are unable to detect or block the attack. This stealthy delivery mechanism ensures that the malicious instructions remain invisible to defenders, making detection and response extremely challenging.",,attack-pattern--8d990cbd-7195-84cf-44e4-e2dd1c2b754e,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-17T07:29:24.833186Z,Invisible Payload Delivery via Client-Side URL Fragments,,,2.1,,,attack-pattern,
2026-01-17T07:29:24.833276Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"In agentic AI browsers like Comet, HashJack can escalate its impact by leveraging the assistant's autonomous capabilities. Once the malicious prompt is injected, the AI assistant can automatically collect user data and transmit it to attacker-controlled endpoints without further user interaction. This enables rapid and covert data exfiltration, as the assistant acts on the hidden instructions embedded in the URL fragment, bypassing user awareness and traditional security controls.",,attack-pattern--22b553b2-9c2e-eb98-d92f-1f40cf456ae3,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""exfiltration""}]",,2026-01-17T07:29:24.833276Z,Automated Data Exfiltration in Agentic AI Browsers,,,2.1,,,attack-pattern,
2026-01-17T07:29:24.833350Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack enables callback phishing by injecting prompts that instruct the AI assistant to guide users into interacting with attacker-controlled resources. For example, the assistant may suggest contacting a fake support number or visiting a malicious site, all while the user believes they are engaging with a legitimate website. This technique leverages the AI assistant's authority and the user's trust to facilitate social engineering attacks.",,attack-pattern--27f377e5-ac36-d5ed-e8c3-45953125b8fe,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T07:29:24.833350Z,Callback Phishing via AI Browser Assistant,,,2.1,,,attack-pattern,
2026-01-17T07:29:24.833430Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"By injecting prompts that direct the AI assistant to request or collect sensitive credentials from the user, HashJack can facilitate credential theft. The assistant may ask for login information, passwords, or other sensitive data under the guise of legitimate activity, exploiting the user's trust in both the website and the AI assistant. The stolen credentials can then be transmitted to attacker-controlled endpoints, enabling further compromise.",,attack-pattern--181f3a7a-62bd-83a2-0154-6e177f286365,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-17T07:29:24.833430Z,Credential Theft through AI Assistant Manipulation,,,2.1,,,attack-pattern,
2026-01-17T07:29:24.833506Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack can be used to inject prompts that instruct the AI browser assistant to guide users through downloading or executing malware. The assistant may provide step-by-step instructions or links to malicious files, leveraging its perceived authority and the legitimacy of the website to convince users to follow through. This technique increases the likelihood of successful malware delivery, especially among users who trust AI-generated advice.",,attack-pattern--bb71897f-97b9-46ca-1732-ee440c4838f7,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T07:29:24.833506Z,Malware Guidance via AI Browser Assistant,,,2.1,,,attack-pattern,
