description,external_references,id,identity_class,name,sectors,type
"Synthient is a security firm founded by Benjamin Brundage, specializing in detection of proxy networks and botnet-related threats.","[{""source_name"": ""Synthient"", ""url"": ""https://synthient.com/""}]",identity--5f20fb4c-050b-449c-a856-4dc95b4323a4,organization,Synthient,"[""technology""]",identity
XLab is a Chinese security firm that researches botnets including Aisuru and Kimwolf.,"[{""source_name"": ""XLab"", ""url"": ""https://blog.xlab.qianxin.com/""}]",identity--0979fe3b-338d-4415-8399-8fe615c70c40,organization,XLab,"[""technology""]",identity
Quokka is a security research firm that published a report on security issues in Android-based digital photo frames.,"[{""source_name"": ""Quokka"", ""url"": ""https://go.quokka.io/hubfs/App-Intel/Technical_Uhale-Digital-Picture-Frame-Security-Assessment.pdf""}]",identity--17cfef1f-ebd0-4675-bfc9-da30126fb800,organization,Quokka,"[""technology""]",identity
Akamai Technologies is a technology company specializing in cybersecurity and web performance.,"[{""source_name"": ""Akamai"", ""url"": ""https://www.akamai.com/""}]",identity--68e47f35-c721-435b-9696-2519dbb39f38,organization,Akamai Technologies,"[""technology""]",identity
HUMAN Security is a cybersecurity company involved in BADBOX investigations and threat intelligence.,"[{""source_name"": ""HUMAN Security"", ""url"": ""https://www.humansecurity.com/""}]",identity--203c349a-4223-408a-84e6-870281cc3aae,organization,HUMAN Security,"[""technology""]",identity
Oxylabs is a proxy service provider that implemented changes to address vulnerabilities exploited by Kimwolf.,"[{""source_name"": ""Oxylabs"", ""url"": ""https://oxylabs.io/""}]",identity--1c86f561-e140-44ce-9727-83beb3af1fb0,organization,Oxylabs,"[""technology""]",identity
"IPIDEA is a China-based residential proxy network provider, heavily abused by Kimwolf botnet operators.","[{""source_name"": ""IPIDEA"", ""url"": ""https://ipidea.net/""}]",identity--051ab9c0-c2f9-4b3e-a97b-70f393a2d8af,organization,IPIDEA,"[""technology""]",identity
Spur.us is a technology firm that helps companies identify and filter out proxy traffic.,"[{""source_name"": ""Spur.us"", ""url"": ""https://spur.us/""}]",identity--acf22df1-0b4f-46f9-ac45-addbdaece138,organization,Spur.us,"[""technology""]",identity
The FBI is a U.S. federal law enforcement agency involved in cybercrime investigations.,"[{""source_name"": ""FBI"", ""url"": ""https://www.fbi.gov/""}]",identity--2eea6f84-7a65-4231-89e4-b5544fd66763,organization,Federal Bureau of Investigation,"[""government""]",identity
The U.S. Department of the Treasury sanctioned the creators of the 911S5 Proxy botnet.,"[{""source_name"": ""U.S. Department of the Treasury"", ""url"": ""https://home.treasury.gov/""}]",identity--72466653-6a92-4fc7-a458-60fe3eff37ab,organization,U.S. Department of the Treasury,"[""government""]",identity
University of Sherbrooke researchers studied the threat posed by 911S5 Proxy to internal corporate networks.,"[{""source_name"": ""University of Sherbrooke"", ""url"": ""https://www.usherbrooke.ca/""}]",identity--b896ac96-b17f-4fbd-a798-b78688128b52,organization,University of Sherbrooke,"[""education""]",identity
Google filed a lawsuit against BADBOX 2.0 Enterprise operators for advertising fraud and botnet activity.,"[{""source_name"": ""Google"", ""url"": ""https://www.google.com/""}]",identity--ee94476a-a051-4a95-9eed-08bbcbddbca0,organization,Google,"[""technology""]",identity
"Founder of Synthient and undergraduate student at Rochester Institute of Technology, Brundage led research into Kimwolf botnet.",,identity--9e385d6f-26c7-4c6f-8f65-c2d1aef3bccb,individual,Benjamin Brundage,"[""technology""]",identity
"Founder of Spur.us, Kilmer confirmed vulnerabilities in IPIDEA and its resellers.",,identity--81201b8f-ccdc-46e6-91a8-7ec8d6502aca,individual,Riley Kilmer,"[""technology""]",identity
"Principal security researcher at Akamai Technologies, advocating consumer awareness of insecure Android TV boxes and residential proxy schemes.",,identity--056f7d29-0c08-4877-94f4-f69f479abfb9,individual,Chad Seaman,"[""technology""]",identity
"Vice president of threat intelligence at HUMAN Security, involved in BADBOX botnet investigations.",,identity--cfc296ca-0a72-45b7-a6db-82cd0a92f150,individual,Lindsay Kaye,"[""technology""]",identity
