id,name,package_name,type,summary
android-app--b0c8669c-b689-438e-9bdd-4cfde83e42ab,MoMo,com.mservice.momotransfer,android-app,"The object contains information about an Android application named MoMo. The package name of the application is com.mservice.momotransfer, which identifies it uniquely within the Android ecosystem. It can be classified as a type of android-app."
android-app--75e6a1e2-5c37-476a-af92-8bfaf4bc62d2,SCB Mobile Banking,com.vnpay.SCB,android-app,The object contains information about an Android app named SCB Mobile Banking. This app is associated with the package name com.vnpay.SCB. It falls under the category of android-app.
android-app--57215193-3b3d-4de1-86a8-e2f1e87d97af,MyVIB,com.vib.myvib2,android-app,"The object contains information about an Android application. The application is named ""MyVIB"" and its package name is ""com.vib.myvib2"". It is categorized as an android-app."
android-app--dea741f1-db16-475e-8621-368e1633478a,COB OMNI,com.ocb.omniextra,android-app,"The object contains information about an Android application named COB OMNI. The package name of this application is com.ocb.omniextra, which can be used to identify the application on a device. This application falls under the category of android-app."
android-app--afd436f9-75e6-4110-85e9-97217b8b4ce9,Open Banking,ops.namabank.com.vn,android-app,The object contains information about an Android app named Open Banking. It is developed by Namabank and has the package name ops.namabank.com.vn. The type of this app is android-app.
android-app--2c6fdf2d-6211-455e-8a9f-c8f103d8983d,Sacombank pay,com.sacombank.ewallet,android-app,"The object contains information about a mobile payment application called Sacombank pay. It is an Android application, identified by the package name com.sacombank.ewallet, designed for users to make payments using their devices. The application falls under the category of financial services, specifically mobile wallets and payment systems."
android-app--d826df39-c52f-4899-94c7-f3676e589dcd,SHB Mobile,vn.shb.mbanking,android-app,"The object contains information about a mobile application called SHB Mobile. It is an android application, specifically identified by the package name vn.shb.mbanking. The application falls under the category of android-apps."
android-app--1b8d9b08-6842-4275-9b56-4999989c7bfd,Techcombank,vn.com.techcombank.bb.app,android-app,"The object contains information about a specific Android app called Techcombank. The package name of the app is vn.com.techcombank.bb.app, indicating that it was developed by Techcombank. This app belongs to the android-app category, suggesting that it is an application designed for Android devices."
android-app--7eff1d06-2491-4399-912f-93561a7062df,TPBank Mobile,com.tpb.mb.gprsandroid,android-app,The object contains information about a mobile banking application named TPBank Mobile. The application is an Android app with the package name com.tpb.mb.gprsandroid. It falls under the category of android-apps.
android-app--218aa180-1597-4c62-8dc9-0cd2c54d5320,VCB Digidank,com.VCB,android-app,The object contains a digital application named VCB Digidank. It is categorized under the android platform and belongs to the com.VCB package name. The application falls under the type of android-app.
