description,external_references,id,name,type,summary
"Attackers use targeted phishing emails with malicious attachments (archives containing executable files, DLLs, LNK files, and decoy PDFs) to gain initial access.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1566/001"", ""external_id"": ""T1566.001""}]",attack-pattern--57868880-0347-4ec8-b4ea-a7e87631c53d,Phishing: Spearphishing Attachment,attack-pattern,"The object contains information about a cyber attack technique known as Phishing: Spearphishing Attachment. Attackers use targeted phishing emails to gain initial access, which often include malicious attachments containing executable files, DLLs, LNK files, and decoy PDFs. This attack pattern is further described in the MITRE ATT&CK framework, with an external reference provided for more detailed information at https://attack.mitre.org/techniques/T1566/001."
Victims are required to unpack an archive and execute an EXE or LNK file to initiate the compromise process.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1204/002"", ""external_id"": ""T1204.002""}]",attack-pattern--12e50bc2-bfda-405b-8f2e-07c0f90e4081,User Execution: Malicious File,attack-pattern,"The object contains information about an attack pattern identified as 'User Execution: Malicious File'. This attack pattern involves victims being required to unpack an archive and execute an EXE or LNK file, which initiates the compromise process. The technique used in this attack pattern is documented by MITRE ATT&CK with external reference number T1204.002, found at https://attack.mitre.org/techniques/T1204/002."
Attackers use COM hijacking for persistence by registering malicious DLLs under specific CLSIDs in the Windows registry.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1546/015"", ""external_id"": ""T1546.015""}]",attack-pattern--3f6023fa-6efe-423f-b67d-3d999bb82d2f,Component Object Model Hijacking,attack-pattern,"The object contains information about a specific attack pattern, namely Component Object Model Hijacking. This attack pattern involves attackers using COM hijacking for persistence by registering malicious DLLs under specific Class Library Identifiers (CLSIDs) in the Windows registry. The technique is used to achieve long-term presence on an infected system. 

According to external references, this attack pattern is documented by MITRE ATT&CK, with a reference to their website where more detailed information can be found."
Attackers use DLL side-loading to execute malicious code by loading a malicious DLL through a legitimate executable.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1574/002"", ""external_id"": ""T1574.002""}]",attack-pattern--5bdc1068-f240-4070-822e-37a3c273a1bd,DLL Side-Loading,attack-pattern,"The object contains information about an attack pattern known as DLL Side-Loading. This attack involves attackers using DLL side-loading to execute malicious code by loading a malicious DLL through a legitimate executable. The technique is described in detail on the MITRE ATT&CK website, which provides further context and guidance on this type of attack.

According to the external reference provided, the specific technique being discussed here is T1574.002, and it can be found on the MITRE ATT&CK website at https://attack.mitre.org/techniques/T1574/002. This information suggests that DLL Side-Loading is a recognized threat pattern in the cybersecurity community, and it is being tracked and studied by organizations such as the MITRE Corporation.

Overall, the object provides valuable insights into the tactics used by attackers to execute malicious code and evade traditional security controls."
"Attackers obfuscate code and configuration data using techniques like Base36, Base64, RC4 encryption, and VMProtect packing.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1027"", ""external_id"": ""T1027""}]",attack-pattern--b71f6a79-bb78-4b3d-9c68-ddae983172ba,Obfuscated Files or Information,attack-pattern,"The object contains an attack pattern named ""Obfuscated Files or Information"" that is categorized under the type of attack. This attack pattern involves attackers using various techniques to obfuscate their code and configuration data, including Base36 encoding, Base64 encoding, RC4 encryption, and VMProtect packing.

Additionally, this attack pattern has been referenced in an external source, specifically MITRE ATT&CK technique T1027, which is a well-known framework for identifying and categorizing cyber threats."
"TunnelRAT uses DNS tunneling for C2 communication, including custom domain generation and encoding.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1071/004"", ""external_id"": ""T1071.004""}]",attack-pattern--82ebd5d2-ad7b-4a37-9356-f0bd26425903,Application Layer Protocol: DNS,attack-pattern,"The object contains information about an attack pattern categorized under the Application Layer Protocol: DNS. The attack pattern utilizes DNS tunneling for communication with Command and Control (C2) servers, specifically leveraging custom domain generation and encoding techniques to facilitate this activity. This type of attack is documented in external sources, including the MITRE ATT&CK framework, which assigns a unique identifier T1071.004 to this tactic."
Malware uses HTTPS and HTTP for C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1071/001"", ""external_id"": ""T1071.001""}]",attack-pattern--cab946a0-c0b9-471a-9214-2b92e9de0c40,Application Layer Protocol: Web Protocols,attack-pattern,"The object contains information about a malicious attack pattern identified by the ID attack-pattern--cab946a0-c0b9-471a-9214-2b92e9de0c40. This attack pattern is categorized under 'Application Layer Protocol: Web Protocols'. According to the description, the malware employed HTTPS and HTTP protocols for communication with its command and control (C2) server.

The external references provided support this claim. A search on MITRE ATT&CK revealed a corresponding technique identified as T1071/001, which aligns with the given attack pattern ID. This technique, according to MITRE ATT&CK, involves using legitimate protocols such as HTTPS or HTTP for malicious purposes, including communication between malware and its C2 servers."
EmojiRAT uses Telegram Bot API for bidirectional C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1102/002"", ""external_id"": ""T1102.002""}]",attack-pattern--9841c958-7e2b-40f8-bd0f-e693c621b22f,Web Service: Bidirectional Communication,attack-pattern,"The object contains information about an attack pattern identified by the name ""Web Service: Bidirectional Communication"". This attack pattern is categorized under a type of threat, but no specific details on this category are provided. The description of the attack pattern indicates that it utilizes the Telegram Bot API for establishing bidirectional communication with Command and Control (C2) servers.

Furthermore, the attack pattern has been referenced in the MITRE ATT&CK framework, which is a widely recognized framework used to catalog and categorize cyber threats. According to this framework, the attack pattern identified here corresponds to T1102/002, as specified by the provided external reference. This suggests that the attack pattern involves the use of Telegram Bot API for establishing communication with C2 servers, which is a common technique employed by attackers to maintain persistence and evade detection.

Overall, the details available on this attack pattern provide insight into the tactics used by attackers to establish bidirectional communication with C2 servers using Telegram Bot API."
Malware collects information about files and directories on the compromised host.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1083"", ""external_id"": ""T1083""}]",attack-pattern--d9ecf559-728f-4b13-b4a5-c5768bcd0e84,File and Directory Discovery,attack-pattern,"The object contains information about a specific type of attack pattern known as File and Directory Discovery. This attack pattern involves malware collecting information about files and directories on the compromised host, which can be used to gather sensitive data or create opportunities for further attacks. The attack pattern is associated with the MITRE ATT&CK framework, a widely recognized threat intelligence platform that categorizes attacks into different techniques and tactics."
"Malware collects system information such as domain name, computer name, username, and IP addresses.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1082"", ""external_id"": ""T1082""}]",attack-pattern--f01608d8-5563-4ee6-a5a8-ed0f86e8e274,System Information Discovery,attack-pattern,"The object contains information about an attack pattern called System Information Discovery. This attack pattern is characterized by the collection of system information, including domain name, computer name, username, and IP addresses. The details provided include external references to support this attack pattern, specifically referencing MITRE ATT&CK technique T1082."
