aliases,created,description,external_references,first_seen,id,labels,last_seen,malware_refs,modified,name,objective,start_time,targeted_locations,targeted_sectors,type,summary
"[""Erudite Mogwai""]",,Phishing campaign attributed to Erudite Mogwai targeting Russia.,,2025-11-05T00:00:00Z,campaign--b0171bea-1da6-4db4-b8cb-a2413541a761,,,,,Erudite Mogwai phishing campaign in Russia,Phishing,,,,campaign,"The object contains information about a phishing campaign attributed to Erudite Mogwai targeting Russia. 

Erudite Mogwai is the name of the entity behind the phishing campaign, also known by another alias (""Erudite Mogwai""). The objective of this campaign is phishing.

The description provided highlights that the phishing campaign is specifically targeted towards Russia and attributes it to Erudite Mogwai."
"[""Palo Alto Networks Login Scanner"", ""SonicWall SonicOS API Scanner""]",,"A campaign involving high-volume login and bruteforce attempts targeting Palo Alto Networks GlobalProtect portals and SonicWall SonicOS API endpoints. The campaign is characterized by the use of three identical client fingerprints across multiple events and infrastructure, indicating tooling continuity. Activity was observed in late September to mid-October 2025, with a resurgence in December 2025.",,2025-09-20T00:00:00Z,campaign--9e6b4862-947d-4b88-ad0a-67dcbd7a41b7,,2025-12-03T00:00:00Z,,,Recurring Credential-Based Attacks Targeting Palo Alto and SonicWall,Credential harvesting and unauthorized access to network infrastructure.,,,,campaign,"The object contains information about a malicious campaign involving high-volume login and bruteforce attempts targeting specific network infrastructure. The campaign, titled ""Recurring Credential-Based Attacks Targeting Palo Alto and SonicWall"", is characterized by the use of identical client fingerprints across multiple events and infrastructure, indicating continuity with tooling.

The campaign was first observed in late September 2025, with activity resurging in December 2025. It appears to be a coordinated effort aimed at harvesting credentials and gaining unauthorized access to network infrastructure.

The targeted locations and sectors are not specified, but the campaign primarily focuses on Palo Alto Networks GlobalProtect portals and SonicWall SonicOS API endpoints. The objective of this malicious activity is to exploit vulnerabilities in these systems, potentially leading to unauthorized access and compromise of sensitive data.

It's worth noting that there are no explicit references to malware associated with this campaign, suggesting that the primary goal may be to manipulate user credentials rather than delivering malware directly."
"[""FantasyHub MaaS""]",,"A campaign involving the distribution of Fantasy Hub Android RAT via fake Google Play pages and phishing overlays, targeting financial institutions (Alfa, PSB, Tbank, Sber) and general Android users. The campaign leverages Telegram bot subscriptions and social engineering.","[{""source_name"": ""Zimperium"", ""url"": ""https://zimperium.com/blog/fantasy-hub-android-rat""}]",,campaign--3cca811d-41ef-40f0-8298-94cabfd71ef9,,,,,Fantasy Hub MaaS Campaign,,,,,campaign,"The object contains information about a malicious campaign known as the ""Fantasy Hub MaaS Campaign"". This campaign involves the distribution of Fantasy Hub Android RAT via fake Google Play pages and phishing overlays. The primary targets of this campaign are financial institutions such as Alfa, PSB, Tbank, and Sber, as well as general Android users.

The campaign leverages Telegram bot subscriptions and utilizes social engineering tactics to infect devices. This suggests that the attackers employed sophisticated tactics to evade detection and successfully spread malware among their targets.

An external reference from Zimperium provides additional insight into this campaign, offering a detailed description of the Fantasy Hub Android RAT malware."
"[""ITD Phishing Campaign""]",,"A multi-stage phishing and malware campaign targeting Indian businesses during the Income Tax Return (ITR) filing season. Attackers impersonate the Income Tax Department, using spear-phishing emails, malicious PDFs, and fake portals to deliver NSecRTS.exe RAT.","[{""source_name"": ""Seqrite Blog"", ""url"": ""https://www.seqrite.com/blog/indian-income-tax-themed-phishing-campaign-targets-local-businesses""}]",2025-10-03T00:00:00Z,campaign--2ace70ea-3a99-409e-9941-16f30d5616ec,,,,,Indian Income Tax-Themed Phishing and RAT Delivery,"Compromise Indian business endpoints for remote access, data exfiltration, and persistent control.",,,,campaign,"The object contains information about a multi-stage phishing and malware campaign targeting Indian businesses during the Income Tax Return (ITR) filing season. The attackers impersonate the Income Tax Department to deliver malicious content, including spear-phishing emails, fake portals, and malicious PDFs that install the NSecRTS.exe RAT.

The objective of this campaign is to compromise Indian business endpoints for remote access, data exfiltration, and persistent control. This campaign utilizes a variety of tactics, including phishing and malware delivery, to achieve its goals."
"[""Gotta Fly""]",,"Operation DreamJob - Gotta Fly is a cyberespionage campaign attributed to the Lazarus APT group, targeting companies involved in the production of Unmanned Aerial Vehicles (UAVs) for Ukraine. The campaign leverages the ScoringMathTea RAT for espionage and theft of sensitive technology.","[{""source_name"": ""ESET Research"", ""url"": ""https://www.welivesecurity.com/en/eset-research/gotta-fly-lazarus-targets-uav-sector/""}]",2025-10-01T00:00:00Z,campaign--0492b8c2-2a97-4344-a5e1-35db7a243dd5,,,,,Operation DreamJob - Gotta Fly,Steal UAV production know-how from companies supplying Ukraine,,,,campaign,"The object contains information about a cyberespionage campaign attributed to the Lazarus APT group, known as Operation DreamJob - Gotta Fly. This campaign specifically targets companies involved in the production of Unmanned Aerial Vehicles (UAVs) for Ukraine.

Gotta Fly leverages the ScoringMathTea RAT (Remote Access Trojan) for espionage and theft of sensitive technology related to UAV production. The exact nature of this theft is not specified, but it is clear that the campaign aims to steal valuable information from companies supplying UAVs to Ukraine.

The campaign has been linked to ESET Research, with a relevant article available on their website providing further details about the operation."
"[""OAST SSRF campaign""]",,"A campaign exploiting server-side request forgery (SSRF) vulnerabilities in LLM deployments, including Ollama's model pull functionality and Twilio SMS webhook integrations. Attackers injected malicious registry URLs and manipulated MediaUrl parameters to force servers to make outbound connections to attacker-controlled infrastructure. ProjectDiscovery's OAST infrastructure was used to confirm successful exploitation via callback validation. The campaign ran from October 2025 through January 2026, with a dramatic spike over Christmas.",,2025-10-01T00:00:00Z,campaign--b7435577-2b55-49be-9de9-387e1886ee86,,2026-01-31T23:59:59Z,,,SSRF campaign targeting LLM infrastructure,Exploit SSRF vulnerabilities to gain outbound connections from victim servers to attacker infrastructure.,,,,campaign,"The object contains information about a server-side request forgery (SSRF) campaign targeting large language model (LLM) infrastructure. The campaign was carried out by exploiting vulnerabilities in the deployment of LLMs, including Ollama's model pull functionality and Twilio SMS webhook integrations.

Attackers injected malicious registry URLs and manipulated MediaUrl parameters to force servers to make outbound connections to attacker-controlled infrastructure. This allowed them to gain unauthorized access to the victim servers.

The campaign used ProjectDiscovery's OAST infrastructure to confirm successful exploitation via callback validation. The attack took place over a period of several months, from October 2025 through January 2026, with a significant spike in activity during Christmas.

Despite the campaign being relatively short-lived, it highlights the importance of securing LLM deployments against SSRF vulnerabilities. This can involve implementing robust security measures to prevent malicious registry URLs and MediaUrl manipulations."
"[""LLM Reconnaissance campaign""]",,"A campaign beginning December 28, 2025, involving systematic probing of over 73 LLM model endpoints to build target lists for future exploitation. Attackers tested OpenAI-compatible and Google Gemini API formats, targeting major model families. The campaign generated over 80,000 sessions in eleven days, using innocuous queries to fingerprint exposed endpoints. Infrastructure overlaps with previous CVE scanning operations.",,2025-12-28T00:00:00Z,campaign--90eff7f6-26a0-4afa-8c5b-609b8b4189c5,,2026-01-07T23:59:59Z,,,LLM Enumeration campaign,Enumerate and fingerprint exposed LLM endpoints for future exploitation.,,,,campaign,"The object contains information about a cyber attack campaign targeting Large Language Models (LLMs). The campaign, named ""LLM Enumeration campaign"", began on December 28, 2025, and involved the systematic probing of over 73 LLM model endpoints to build target lists for future exploitation.

The attackers used innocuous queries to fingerprint exposed endpoints and generated over 80,000 sessions in eleven days. They targeted major model families that are compatible with OpenAI formats as well as Google Gemini API formats.

The campaign's objective was to enumerate and fingerprint exposed LLM endpoints for future exploitation. The infrastructure used in this campaign overlaps with previous operations related to CVE scanning.

Overall, the LLM Enumeration campaign highlights the growing threat landscape of Large Language Models and their potential vulnerabilities to cyber attacks."
,,"A campaign attributed to Kimsuky, active from 2024 through 2025, involving the distribution of KimJongRAT variants via spear-phishing, credential phishing, and cloud infrastructure. The campaign targets South Korean institutions and individuals, with evidence of merged PE and PowerShell workflows, credential theft, and broad targeting using personal information.",,2024-01-01T00:00:00Z,campaign--24f63b20-6299-41f4-939b-0a28fb1a7b7d,,2025-11-21T00:00:00Z,,,KimJongRAT 2024-2025 Expansion Campaign,"Espionage, credential theft, and data exfiltration against South Korean entities.",,,,campaign,"The object contains a malicious campaign attributed to Kimsuky, which was active from 2024 through 2025. The campaign involved the distribution of KimJongRAT variants via spear-phishing, credential phishing, and cloud infrastructure attacks.

The targeted entities included South Korean institutions and individuals, with evidence suggesting that the attackers exploited personal information for broad targeting. Specifically, the campaign featured merged PE and PowerShell workflows, as well as credential theft and data exfiltration.

The objective of the campaign was espionage, credential theft, and data exfiltration against South Korean entities, indicating a malicious intent to compromise sensitive information."
"[""Sha1-Hulud v2""]",,"A campaign beginning in late November 2025 involving the compromise of numerous npm packages (including those from Zapier, ENS Domains, PostHog, and Postman) to distribute the Shai-Hulud malware. The campaign resulted in mass exfiltration of secrets, creation of over 22,000 public GitHub repositories, and destructive actions on infected hosts.","[{""source_name"": ""Pulsedive Blog"", ""url"": ""https://blog.pulsedive.com/npm-compromise-the-wrath-of-the-shai-hulud-supply-chain-attack/""}]",2025-11-21T00:00:00Z,campaign--6cca8092-ff0b-4904-ad95-9550a9bb4b04,,2025-11-25T15:00:00Z,,,Shai-Hulud v2 NPM Supply Chain Attack,Exfiltrate secrets and propagate via npm supply chain; destroy files if propagation fails.,,,,campaign,"The object contains information regarding a malicious campaign known as the Shai-Hulud v2 NPM Supply Chain Attack. This attack began in late November 2025 and involved compromising numerous npm packages, including those from prominent companies such as Zapier, ENS Domains, PostHog, and Postman.

As a result of this compromise, massive amounts of data were exfiltrated, resulting in the creation of over 22,000 public GitHub repositories. Furthermore, destructive actions were taken on infected hosts, demonstrating the severity of the attack.

The objectives of the Shai-Hulud v2 campaign were to exfiltrate sensitive information and propagate the malware through the npm supply chain, with a contingency plan to destroy files if propagation failed. The use of compromised npm packages as a vector for this attack highlights the vulnerability of software supply chains to cyber threats.

In conclusion, the Shai-Hulud v2 NPM Supply Chain Attack is a significant example of a targeted campaign that leverages vulnerabilities in software supply chains to achieve malicious goals."
"[""Contagious Interview""]",,"Ongoing campaign linked to North Korea targeting software developers for cryptocurrency theft, leveraging LinkedIn phishing and deployment of Tsunami-Framework.",,2024-09-01T00:00:00Z,campaign--7a1b55d1-2e2a-465f-8b1f-dc18b17d312b,"[""phishing"", ""cryptocurrency-theft"", ""North Korea"", ""LinkedIn""]",,,,Contagious Interview,,,,,campaign,"The object contains a detailed description of an ongoing phishing campaign attributed to North Korea. The campaign, titled 'Contagious Interview', is focused on targeting software developers for cryptocurrency theft. It leverages LinkedIn to carry out its nefarious activities through phishing and the deployment of the Tsunami-Framework."
