created,created_by_ref,description,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities,summary
2026-01-17T07:29:02.273828Z,,Cato Networks is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,organization,,,,2026-01-17T07:29:02.273828Z,Cato Networks,,,2.1,,,identity,,"The object contains information about a threat intelligence report published by Cato Networks. The report is described as STIXed, which suggests it has been standardized to conform to the STIX framework for threat intelligence sharing.

Cato Networks is identified as the publisher of this report, indicating that they are responsible for its creation and distribution. However, no further information about the specific content or purpose of the report can be gathered from the provided metadata, such as goals or primary motivations.

The report is categorized under several key areas: threat actor types, tool types, malware types, kill chain phases, and sophistication levels. These categories are intended to provide context for understanding the nature and severity of potential threats associated with this identity. 

Despite these categorizations, no concrete details about specific threat actors or tools can be deduced from the provided information.

The report's primary classification is as an ""identity"" object, which suggests that it revolves around a particular entity, possibly an organization.

Overall, while some basic information can be inferred from the metadata fields of this threat intelligence report, many crucial details are either absent or not explicitly stated."
2026-01-17T07:29:02.273828Z,,Vitaly Simonovich is the primary author of this threat intelligence report. STIXed by TI Mindmap HUB.,,identity--18fdddfd-6264-5831-2a8e-b16350d92765,individual,,,,2026-01-17T07:29:02.273828Z,Vitaly Simonovich,,,2.1,,,identity,,"The object contains a threat intelligence report detailing information about an individual known as Vitaly Simonovich. The primary author of this report is Vitaly Simonovich, who has also created the STIXed by TI Mindmap HUB. Unfortunately, some crucial details such as goals and primary motivation are not available in the provided data. The object provides a classification for Vitaly Simonovich as an individual threat actor with no known family affiliation. 

There appears to be limited information about potential tools used in this threat actor's activities, but it is noted that the sophistication level of this identity is unknown. Furthermore, the types of malware and tool types associated with Vitaly Simonovich are not documented within the provided data. Overall, the object offers a basic understanding of Vitaly Simonovich as an individual threat actor without providing comprehensive details about their actions or goals."
2026-01-17T07:29:02.273828Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-17T07:29:02.273828Z,TI Mindmap HUB,,,2.1,,,identity,,"The object contains information about a threat intelligence platform called TI Mindmap HUB. It is an AI-powered platform that generates STIX bundles from Open-Source Intelligence (OSINT) sources. The primary purpose of the platform is to provide threat intelligence capabilities.

The description provided for TI Mindmap HUB indicates that it serves as an organizational identity, categorizing it within the realm of organizations rather than individual entities or families. Unfortunately, information about the goals, family relationship, kill chain phases, malware types, sophistication level, primary motivation, and tool types are not available due to missing data.

Additionally, there is limited information regarding the capabilities and threat actor types associated with TI Mindmap HUB. The specification version of this identity is 2.1, which suggests that it conforms to a particular standard or protocol for identifying and describing identities in the context of threat intelligence."
2026-01-17T07:29:24.832922Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack is a novel indirect prompt injection technique that leverages the fragment portion of legitimate URLs (the part after the # symbol) to conceal malicious instructions. When a user interacts with an AI browser assistant (such as Copilot for Edge, Gemini for Chrome, or Comet for Perplexity), the assistant processes the full URL, including the hidden fragment, and feeds it to the underlying large language model (LLM). This causes the LLM to execute the concealed prompt, which can result in a variety of malicious outcomes such as phishing, data exfiltration, misinformation, malware guidance, medical harm, and credential theft. The attack does not require compromising the website itself; any legitimate site can be weaponized simply by crafting a URL with a malicious fragment. Because fragments are never sent to the server and remain client-side, traditional network, server, and content security defenses are blind to this attack.",,attack-pattern--0132c1c8-6124-9145-4962-84d489a133b9,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T07:29:24.832922Z,HashJack Indirect Prompt Injection via URL Fragments,,,2.1,,,attack-pattern,,"The object contains information about a novel attack pattern known as HashJack Indirect Prompt Injection via URL Fragments. This technique involves leveraging the fragment portion of legitimate URLs, specifically the part after the # symbol, to conceal malicious instructions. When an AI browser assistant processes a full URL, including the hidden fragment, it feeds the concealed prompt to an underlying large language model (LLM), which can execute the malicious code.

This attack has several potential consequences, including phishing, data exfiltration, misinformation, malware guidance, medical harm, and credential theft. The key characteristic of this attack is that it does not require compromising the website itself; instead, any legitimate site can be weaponized by crafting a URL with a malicious fragment.

A crucial aspect of this attack is that fragments are never sent to the server and remain client-side, making traditional network, server, and content security defenses blind to this attack. As a result, existing security measures may not detect or prevent this type of attack.

The attack pattern falls under the Mitre-Attack framework, specifically within the initial-access phase of the kill chain. This means that the primary objective of HashJack Indirect Prompt Injection via URL Fragments is to gain initial access into a system or network, which can then be leveraged for further malicious activities."
2026-01-17T07:29:24.833086Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"This technique exploits the user's trust in legitimate websites by embedding malicious instructions within the URL fragment. Since the base URL points to a trusted site and the page content remains unchanged, users are unlikely to suspect malicious activity. The attack relies on the assumption that users will interact with AI browser assistants on these trusted sites, inadvertently triggering the hidden payload. This abuse of trust is critical to the success of HashJack, as users are more likely to follow AI-generated suggestions and actions when they believe the context is safe.",,attack-pattern--397780ca-58b5-5911-3f1e-24650975dec1,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T07:29:24.833086Z,Abuse of User Trust via Legitimate Websites,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern called ""Abuse of User Trust via Legitimate Websites."" This technique exploits users' trust in legitimate websites by embedding malicious instructions within the URL fragment. The base URL is intended to point to a trusted site, and the page content remains unchanged, making it unlikely for users to suspect any malicious activity.

The attack relies on the assumption that users will interact with AI browser assistants on these trusted sites, which inadvertently triggers the hidden payload. This abuse of trust is crucial to the success of the attack pattern, as users are more likely to follow AI-generated suggestions and actions when they believe the context is safe.

The attack pattern falls under a specific phase within the MITRE Attack framework, which is ""initial-access."" There is no specification provided for other phases or characteristics, but it's clear that this technique is designed to exploit user trust and manipulate their behavior."
2026-01-17T07:29:24.833186Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack delivers its payload by embedding malicious prompts in the URL fragment, which is processed entirely on the client side by the AI browser assistant. Because fragments are never transmitted over the network or logged by the server, traditional security controls such as IDS/IPS and content security policies are unable to detect or block the attack. This stealthy delivery mechanism ensures that the malicious instructions remain invisible to defenders, making detection and response extremely challenging.",,attack-pattern--8d990cbd-7195-84cf-44e4-e2dd1c2b754e,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-17T07:29:24.833186Z,Invisible Payload Delivery via Client-Side URL Fragments,,,2.1,,,attack-pattern,,"The object contains information about a sophisticated attack pattern known as ""Invisible Payload Delivery via Client-Side URL Fragments"". This attack method involves embedding malicious prompts in the URL fragment, which is processed entirely on the client side by the AI browser assistant. As a result, traditional security controls such as Intrusion Detection Systems (IDS), Intrusion Prevention Systems (IPS), and content security policies are unable to detect or block the attack.

Since fragments are never transmitted over the network or logged by the server, defenders face significant challenges in detecting and responding to this stealthy delivery mechanism. The fact that malicious instructions remain invisible makes it extremely difficult for security controls to identify the threat.

The attack pattern is characterized as having a specific goal of evading traditional security measures, which can be categorized under defense-evasion tactics. However, more detailed information about its primary motivation, sophistication level, and associated tools are not available in this metadata.

Overall, this attack pattern represents a sophisticated and challenging threat that requires advanced detection and response capabilities to mitigate effectively."
2026-01-17T07:29:24.833276Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"In agentic AI browsers like Comet, HashJack can escalate its impact by leveraging the assistant's autonomous capabilities. Once the malicious prompt is injected, the AI assistant can automatically collect user data and transmit it to attacker-controlled endpoints without further user interaction. This enables rapid and covert data exfiltration, as the assistant acts on the hidden instructions embedded in the URL fragment, bypassing user awareness and traditional security controls.",,attack-pattern--22b553b2-9c2e-eb98-d92f-1f40cf456ae3,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""exfiltration""}]",,2026-01-17T07:29:24.833276Z,Automated Data Exfiltration in Agentic AI Browsers,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern known as ""Automated Data Exfiltration in Agentic AI Browsers."" This attack pattern leverages the autonomous capabilities of AI assistants in agentic AI browsers like Comet and HashJack to escalate its impact. Once a malicious prompt is injected into the system, the AI assistant can automatically collect user data without further interaction from the user.

This enables rapid and covert data exfiltration, allowing the attacker to bypass traditional security controls and user awareness. The attack pattern exploits the hidden instructions embedded in the URL fragment, which are executed by the AI assistant autonomously, thereby avoiding detection.

The attack pattern falls under the ""mitre-attack"" kill chain phase named ""exfiltration."" It is associated with a specific malware type, but the details of this type are not specified in the provided data. The sophistication level and primary motivation of the attack pattern are also unknown."
2026-01-17T07:29:24.833350Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack enables callback phishing by injecting prompts that instruct the AI assistant to guide users into interacting with attacker-controlled resources. For example, the assistant may suggest contacting a fake support number or visiting a malicious site, all while the user believes they are engaging with a legitimate website. This technique leverages the AI assistant's authority and the user's trust to facilitate social engineering attacks.",,attack-pattern--27f377e5-ac36-d5ed-e8c3-45953125b8fe,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T07:29:24.833350Z,Callback Phishing via AI Browser Assistant,,,2.1,,,attack-pattern,,"The object contains information about a type of cyber attack known as Callback Phishing via AI Browser Assistant. This technique leverages the authority and trustworthiness of an AI assistant to facilitate social engineering attacks, where users are tricked into interacting with malicious resources that appear legitimate. The attackers inject prompts into the AI assistant's guidance, instructing it to guide users towards these resources.

For instance, the AI assistant may suggest contacting a fake support number or visiting a malicious site while the user believes they are engaging with a genuine website. This method of attack relies on the user's trust in the authority of the AI assistant and exploits its supposed legitimacy."
2026-01-17T07:29:24.833430Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"By injecting prompts that direct the AI assistant to request or collect sensitive credentials from the user, HashJack can facilitate credential theft. The assistant may ask for login information, passwords, or other sensitive data under the guise of legitimate activity, exploiting the user's trust in both the website and the AI assistant. The stolen credentials can then be transmitted to attacker-controlled endpoints, enabling further compromise.",,attack-pattern--181f3a7a-62bd-83a2-0154-6e177f286365,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-17T07:29:24.833430Z,Credential Theft through AI Assistant Manipulation,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern, specifically ""Credential Theft through AI Assistant Manipulation"". This attack pattern exploits user trust by injecting prompts into an AI assistant that request sensitive credentials, such as login information or passwords. The AI assistant may pose as legitimate activity to obtain this data, which can then be transmitted to attacker-controlled endpoints for further compromise.

The primary method of exploitation in this attack pattern is the manipulation of the AI assistant to request sensitive credentials under a guise of legitimacy, thereby bypassing user awareness and security controls. This technique takes advantage of the trust placed in both the website hosting the AI assistant and the AI itself, allowing attackers to gain unauthorized access to the user's systems.

The attack pattern falls within the Mitre Attack framework, specifically targeting the ""credential-access"" phase. It does not specify the type of malware used or the sophistication level required for execution, suggesting a potentially high-level threat actor with advanced capabilities."
2026-01-17T07:29:24.833506Z,identity--0335465b-6e4b-a389-8f1f-cf97df5c094d,"HashJack can be used to inject prompts that instruct the AI browser assistant to guide users through downloading or executing malware. The assistant may provide step-by-step instructions or links to malicious files, leveraging its perceived authority and the legitimacy of the website to convince users to follow through. This technique increases the likelihood of successful malware delivery, especially among users who trust AI-generated advice.",,attack-pattern--bb71897f-97b9-46ca-1732-ee440c4838f7,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T07:29:24.833506Z,Malware Guidance via AI Browser Assistant,,,2.1,,,attack-pattern,,"The object contains information about a specific attack pattern called ""Malware Guidance via AI Browser Assistant."" This technique involves using the AI browser assistant to guide users through downloading or executing malware. The assistant may provide step-by-step instructions or links to malicious files, leveraging its perceived authority and the legitimacy of the website to convince users to follow through.

The likelihood of successful malware delivery increases in this scenario, particularly among users who trust AI-generated advice. This attack pattern is designed to take advantage of user trust in AI-generated guidance, making it a sophisticated technique used by attackers."
