aliases,created,created_by_ref,description,external_references,goals,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,pattern_version,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from,x_capabilities
,2026-01-20T20:13:22.895622Z,,r136a1.dev is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,organization,,,,,2026-01-20T20:13:22.895622Z,r136a1.dev,,,,,,2.1,,,identity,,
,2026-01-20T20:13:22.895622Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,,2026-01-20T20:13:22.895622Z,TI Mindmap HUB,,,,,,2.1,,,identity,,
,2026-01-20T20:13:24.881572Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: ipv4 - 185.126.255.132
Confidence: high
Notes: IP address used as the command-and-control (C2) server for Turla's Kazuar v3 loader. Hosts malicious payloads and receives victim data.",,,indicator--0de04146-bde0-4327-9862-44fe6aa068c4,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.881572Z,IPV4: 185.126.255.132,[ipv4-addr:value = '185.126.255.132'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.881572Z,
,2026-01-20T20:13:24.882731Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: domain-name - esetcloud.com
Confidence: high
Notes: Malicious domain used to imitate ESET and associated with the Kazuar C2 infrastructure. Certificate issued for this domain on the C2 server.",,,indicator--2f2dbd7e-e6fa-4655-ad26-0336ae8bd10d,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.882731Z,DOMAIN-NAME: esetcloud.com,[domain-name:value = 'esetcloud.com'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.882731Z,
,2026-01-20T20:13:24.885910Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: url - https://download.originalapk.com/wp-content/plugins/loginizer/styles/
Confidence: high
Notes: Compromised WordPress plugin path used by Kazuar BRIDGE payload for data exfiltration.",,,indicator--8f819fc3-ae5c-4d0a-aeaa-734a4cfccbfa,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.885910Z,URL: https://download.originalapk.com/wp-content/plugins/loginizer/styles/,[url:value = 'https://download.originalapk.com/wp-content/plugins/loginizer/styles/'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.885910Z,
,2026-01-20T20:13:24.887360Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: url - https://portal.northernfruit.com/wp-content/plugins/file-away/core/
Confidence: high
Notes: Compromised WordPress plugin path used by Kazuar BRIDGE payload for data exfiltration.",,,indicator--50c657e7-cae7-4567-b29e-d55e02c697b5,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.887360Z,URL: https://portal.northernfruit.com/wp-content/plugins/file-away/core/,[url:value = 'https://portal.northernfruit.com/wp-content/plugins/file-away/core/'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.887360Z,
,2026-01-20T20:13:24.887716Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: url - https://arianeconseil.online/wp-includes/sitemaps/html/
Confidence: high
Notes: Compromised WordPress plugin path used by Kazuar BRIDGE payload for data exfiltration.",,,indicator--a2cf3658-ce67-4a0d-adbc-602cd27bb8e7,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.887716Z,URL: https://arianeconseil.online/wp-includes/sitemaps/html/,[url:value = 'https://arianeconseil.online/wp-includes/sitemaps/html/'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.887716Z,
,2026-01-20T20:13:24.890596Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: sha256 - 3db10e71dab8710fb69b5c65c48382f43be3e4c79456d7a7abd5a7059873f581
Confidence: high
Notes: SHA-256 hash of the initial VBScript file (8RWRLT.vbs) used to download and execute Kazuar loader components.",,,indicator--3f58ff3e-a543-48dc-ab96-ed2e0e0f6fb7,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.890596Z,SHA256: 3db10e71dab8710fb69b5c65c48382f43be3e4c79456d7a7abd5a7059873f581,[file:hashes.'SHA-256' = '3db10e71dab8710fb69b5c65c48382f43be3e4c79456d7a7abd5a7059873f581'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.890596Z,
,2026-01-20T20:13:24.890915Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: sha256 - 69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4
Confidence: high
Notes: SHA-256 hash of the native loader DLL (hpbprndiLOC.dll) responsible for decrypting and executing Kazuar payloads.",,,indicator--c8332e76-058a-4b5e-b244-f1192a45fd32,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.890915Z,SHA256: 69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4,[file:hashes.'SHA-256' = '69908f05b436bd97baae56296bf9b9e734486516f9bb9938c2b8752e152315d4'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.890915Z,
,2026-01-20T20:13:24.892571Z,identity--14d618a2-4cb2-85e1-a694-a9dc06618053,"Indicator of Compromise: sha256 - 866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da
Confidence: high
Notes: SHA-256 hash of the COM-visible .NET assembly (jtjdypzmb.yqg) used to bridge native loader and Kazuar payloads.",,,indicator--d6efb40c-7e5e-41f6-bdfd-f3a924352dfc,,"[""malicious-activity""]",,,,2026-01-20T20:13:24.892571Z,SHA256: 866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da,[file:hashes.'SHA-256' = '866824f2474ad603576b12b83831b2acc12d378f0ef4d0b20df10639b04c44da'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:13:24.892571Z,
