description,id,manufacturer,name,type,summary
Peripheral Component Interconnect Express device capable of performing DMA transactions.,hardware--cd566ea7-635a-4299-997d-328801237338,,PCIe device,hardware,"The object contains a Peripheral Component Interconnect Express (PCIe) device capable of performing Direct Memory Access (DMA) transactions. This PCIe device is an essential component in computer hardware systems, allowing for efficient data transfer between devices. As a peripheral component, it facilitates communication and data exchange between various system components. The characteristics of this device enable its use as a crucial interface in modern computing systems."
Motherboard based on Intel Z490 chipset affected by improper IOMMU initialization vulnerability.,hardware--b3534942-4eba-401e-8db5-ab53fb2f796d,ASUSTeK Computer Inc.,Intel Z490 motherboard,hardware,"The object contains information about a hardware component, specifically an Intel Z490 motherboard manufactured by ASUSTeK Computer Inc. This motherboard is affected by an improper IOMMU initialization vulnerability. The issue arises from the use of the Intel Z490 chipset, which has been found to have this specific flaw."
Motherboard based on Intel W480 chipset affected by improper IOMMU initialization vulnerability.,hardware--dc722699-8170-4206-975a-36a185ca4dca,ASUSTeK Computer Inc.,Intel W480 motherboard,hardware,"The object contains information about a hardware device, specifically a motherboard based on the Intel W480 chipset. This motherboard has been identified as being affected by an improper IOMMU initialization vulnerability. The manufacturer of this device is ASUSTeK Computer Inc. and its name is Intel W480 motherboard. It falls under the category of hardware."
Motherboard based on Intel B460 chipset affected by improper IOMMU initialization vulnerability.,hardware--d578d056-9dbe-4495-b130-3df0e2133adb,ASUSTeK Computer Inc.,Intel B460 motherboard,hardware,"The object contains information about a hardware device, specifically a motherboard based on the Intel B460 chipset. This particular motherboard has been identified as being affected by an improper IOMMU initialization vulnerability. The manufacturer of this device is ASUSTeK Computer Inc., and its name is the ""Intel B460 motherboard""."
Motherboard based on Intel H410 chipset affected by improper IOMMU initialization vulnerability.,hardware--3a6c4034-16f0-4057-8d10-e84408930ff5,ASUSTeK Computer Inc.,Intel H410 motherboard,hardware,"The object contains information about a motherboard based on the Intel H410 chipset. This specific model is affected by an improper IOMMU initialization vulnerability. The manufacturer of this motherboard is ASUSTeK Computer Inc., which suggests that it was produced by a well-known and reputable computer hardware company."
Motherboard based on Intel Z590 chipset affected by improper IOMMU initialization vulnerability.,hardware--1a71cbbd-064a-4abc-852e-4ab6599fb66d,ASUSTeK Computer Inc.,Intel Z590 motherboard,hardware,"The object contains information about a hardware vulnerability affecting the Intel Z590 chipset-based motherboard. The issue is related to improper IOMMU (Input/Output Memory Management Unit) initialization, which poses a security risk.

This vulnerability affects ASUSTeK Computer Inc.'s Intel Z590 motherboard. The specifics of the vulnerability are not provided in the given data."
Motherboard based on Intel B560 chipset affected by improper IOMMU initialization vulnerability.,hardware--fb2401a7-4d1e-4fe2-84bb-f2e902a3cbf5,ASUSTeK Computer Inc.,Intel B560 motherboard,hardware,The object contains information about a motherboard based on the Intel B560 chipset that has been affected by an improper IOMMU initialization vulnerability. This vulnerability is specifically related to the motherboard manufactured by ASUSTeK Computer Inc. The motherboard in question falls under the category of 'hardware'.
Motherboard based on Intel H510 chipset affected by improper IOMMU initialization vulnerability.,hardware--7a5d08b0-612c-4daa-8ceb-f5550e27bb24,ASUSTeK Computer Inc.,Intel H510 motherboard,hardware,"The object contains information about a motherboard based on the Intel H510 chipset that has been affected by an improper IOMMU initialization vulnerability. The product is manufactured by ASUSTeK Computer Inc. and is specifically identified as the ""Intel H510 motherboard""."
Motherboard based on Intel Z690 chipset affected by improper IOMMU initialization vulnerability.,hardware--4edae3f6-bb55-41bc-9d18-5e2ade28d93d,ASUSTeK Computer Inc.,Intel Z690 motherboard,hardware,"The object contains a hardware item, specifically an Intel Z690 motherboard manufactured by ASUSTeK Computer Inc. The description of this product reveals that it is based on the Intel Z690 chipset, which has been identified as vulnerable to improper IOMMU initialization due to a security issue. This indicates that the motherboard in question may be susceptible to certain types of attacks or exploitation if not properly secured."
Motherboard based on Intel B660 chipset affected by improper IOMMU initialization vulnerability.,hardware--28e95d94-3c77-4471-9624-b32f26c50090,ASUSTeK Computer Inc.,Intel B660 motherboard,hardware,"The object contains information about a hardware vulnerability related to the Intel B660 chipset motherboards manufactured by ASUSTeK Computer Inc. Specifically, there is an improper IOMMU initialization issue affecting these motherboards. This means that the IOMMU (Input/Output Memory Management Unit) is not initialized correctly, potentially leading to security risks and performance issues. The vulnerability is caused by a problem with the motherboard's chipset, which is a critical component of the system's architecture."
