created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
2026-01-17T16:20:18.129233Z,,Amazon Web Services (AWS) is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--4de913b3-0851-4c36-8b48-c92ac094087d,organization,,,,2026-01-17T16:20:18.129233Z,Amazon Web Services (AWS),,,2.1,,,identity,
2026-01-17T16:20:18.129233Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-17T16:20:18.129233Z,TI Mindmap HUB,,,2.1,,,identity,
2026-01-17T16:20:41.880783Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"Threat actors set up out-of-band application security testing (OAST) callback endpoints as part of their operational infrastructure. These endpoints are used to verify successful exploitation of vulnerabilities on target systems via separate communication channels, effectively bypassing traditional detection mechanisms. The OAST callback domains are embedded in exploit payloads and are triggered when a vulnerable target interacts with the malicious input, confirming the presence of a vulnerability. This infrastructure is detected by MadPot honeypots when attackers use it against decoy systems, allowing AWS active threat defense to rapidly identify and block these endpoints.",,,attack-pattern--77c48f40-b775-0ebb-ea8c-b4906a70448d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:20:41.880783Z,OAST Callback Endpoint Provisioning,,,2.1,,,attack-pattern,
2026-01-17T16:20:41.880996Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"Threat actors conduct large-scale, automated scans of the internet to identify potential targets. These scans look for exposed services, vulnerable software, and common misconfigurations in cloud workloads. MadPot honeypots are designed to mimic such vulnerable systems, attracting reconnaissance activity and capturing patterns of scanning behavior. This reconnaissance phase is critical for threat actors to compile lists of viable targets for subsequent exploitation. The active threat defense system leverages the visibility from MadPot to disrupt later stages of the attack lifecycle.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1595/"", ""external_id"": ""T1595""}]",,attack-pattern--dd8734f2-d7be-2c7b-a5ec-9b6cf4b3d384,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""reconnaissance""}]",,2026-01-17T16:20:41.880996Z,Automated Internet-wide Reconnaissance Scanning,,,2.1,,,attack-pattern,
2026-01-17T16:20:41.881083Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"Prior to launching attacks, threat actors establish dedicated servers to host malware payloads intended for delivery to victim systems. These servers are provisioned as part of the attackers' operational infrastructure and are used to distribute malicious files during exploitation attempts. MadPot honeypots detect interactions with these servers, enabling AWS active threat defense to extract indicators such as malicious domains and IP addresses, which are then used to create firewall rules to block future malware downloads.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1583/006/"", ""external_id"": ""T1583.006""}]",,attack-pattern--f13c2230-67f0-459d-d38e-2bb0fcec9a66,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:20:41.881083Z,Malware Distribution Server Provisioning,,,2.1,,,attack-pattern,
2026-01-17T16:20:41.881145Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"Threat actors frequently rotate their command-and-control (C2) infrastructure, changing IP addresses, domains, and URLs to evade detection and maintain persistent access to compromised systems. MadPot monitors these changes in real-time, and active threat defense automatically updates protection rules to block new C2 endpoints as they are identified. This dynamic adaptation ensures that even as attackers shift their infrastructure, network communications between compromised systems and operators are disrupted.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1583/001/"", ""external_id"": ""T1583.001""}]",,attack-pattern--e40242aa-8d8d-a78d-8778-976a668a162a,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-17T16:20:41.881145Z,Command-and-Control Server Rotation,,,2.1,,,attack-pattern,
2026-01-17T16:20:41.881229Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"During the vulnerability confirmation phase, threat actors embed OAST callback URLs into exploit payloads. These URLs are injected into web forms, HTTP headers, API parameters, or other input fields on target systems. When the exploit is successful, the target system makes a request to the OAST callback endpoint, confirming the vulnerability to the attacker. MadPot honeypots capture these interactions, allowing AWS active threat defense to identify and block malicious domains and URLs associated with OAST callbacks.",,,attack-pattern--2363e2a2-bf7b-1c66-e5c6-ae7008a7b7eb,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-17T16:20:41.881229Z,Embedding OAST Callback URLs in Exploit Payloads,,,2.1,,,attack-pattern,
2026-01-17T16:20:41.881319Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"Active threat defense employs a multi-layered approach to blocking malicious network activity, inspired by the Swiss cheese model. When a malicious domain or IP is identified, the system creates rules to block DNS queries, HTTP host headers, TLS connections using SNI, and direct IP connections. This ensures that even if an attacker bypasses one layer (e.g., DNS filtering by using direct IP connections), other layers can still detect and block the threat. The implementation is dynamic, with rules automatically updated as threat actor infrastructure evolves.",,,attack-pattern--f4ece66d-d622-b820-f424-daa4a876ddb5,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-17T16:20:41.881319Z,Multi-layered Network Blocking (Swiss Cheese Model),,,2.1,,,attack-pattern,
2026-01-17T16:20:41.881391Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"When malware payloads are delivered to MadPot honeypots, AWS executes the malicious code in isolated environments to observe its behavior. This analysis extracts indicators of compromise such as contacted domains, dropped files, and abused protocols. These indicators are rapidly validated and converted into firewall rules, which are then deployed globally to block further malicious activity. This real-time behavioral analysis enables the defense system to keep pace with evolving malware variants and attack techniques.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1059/"", ""external_id"": ""T1059""}]",,attack-pattern--db30751c-a277-d520-b73f-502732bb8de9,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-17T16:20:41.881391Z,Malware Behavioral Analysis for Indicator Extraction,,,2.1,,,attack-pattern,
2026-01-17T16:20:41.881480Z,identity--4de913b3-0851-4c36-8b48-c92ac094087d,"Active threat defense automatically translates threat intelligence gathered from MadPot honeypots into actionable firewall rules within 30 minutes. This process includes validation of indicators, performance testing, and global deployment to AWS Network Firewall. The automation ensures that newly identified threats are quickly blocked across all protected workloads, minimizing the window of opportunity for attackers to exploit vulnerabilities.",,,attack-pattern--9cf78de1-140d-309d-7fb4-ef865026e87c,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-17T16:20:41.881480Z,Automated Threat Intelligence to Firewall Rule Conversion,,,2.1,,,attack-pattern,
