created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities,summary
2026-01-19T21:46:24.295687Z,,SEQRITE Labs is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,organization,,,,2026-01-19T21:46:24.295687Z,SEQRITE Labs,,,2.1,,,identity,,"The object contains information about an identity, specifically a threat intelligence report published by SEQRITE Labs. The organization is STIXed by TI Mindmap HUB, indicating that it has been standardized to follow the STIX (Shared Threat Information Expression) format. Unfortunately, some key details are missing or not applicable to this particular identity, such as external references, goals, malware types, and kill chain phases.

Despite these gaps in information, we can infer that SEQRITE Labs is an organization involved in threat intelligence reporting. The report includes a description of the publisher and their association with TI Mindmap HUB, suggesting a connection to the threat intelligence community. Additionally, the presence of STIX standardization implies that the report has been formatted in a way that makes it easily shareable and comparable across different systems.

Unfortunately, other relevant details such as primary motivation, sophistication level, and tool types are not provided, making it difficult to fully understand the context and implications of this threat intelligence report. However, the inclusion of these fields suggests that they may provide valuable insights into the nature and scope of SEQRITE Labs' activities."
2026-01-19T21:46:24.295687Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-19T21:46:24.295687Z,TI Mindmap HUB,,,2.1,,,identity,,"The object contains details about a threat intelligence platform called TI Mindmap HUB. This AI-powered platform generates STIX bundles from Open-Source Intelligence (OSINT) sources, which are used to analyze and identify potential threats. The primary function of the platform is to create a centralized hub for threat intelligence, providing a comprehensive view of cyber threats.

The platform's capabilities include generating STIX bundles, which contain standardized information about identified threats. This allows for easier sharing and analysis across different systems and organizations. Additionally, TI Mindmap HUB uses AI-powered technology to improve its performance and accuracy in identifying potential threats.

The object does not provide specific details on the types of malware or threat actors it is designed to detect, but it is intended to be a comprehensive platform that can handle a wide range of cyber threats. Overall, TI Mindmap HUB is designed to support organizations in their efforts to stay one step ahead of emerging threats in the rapidly evolving cybersecurity landscape."
2026-01-19T21:46:45.774624Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The threat actors crafted a highly convincing government-themed lure document written in Pashto, complete with official logos, formatting, reference numbers, and signatures. This decoy is distributed to Afghan government employees, specifically targeting ministries and administrative offices. The document creates urgency by setting deadlines and mimics authentic communication from the Prime Minister’s Office, aiming to trick recipients into opening the attached malicious files. The use of culturally and contextually relevant details increases the likelihood of successful initial compromise by leveraging trust in official communications.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1566/001/"", ""external_id"": ""T1566.001""}]",,attack-pattern--50969ca5-1ce0-f880-e51e-b05982ca72e6,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:46:45.774624Z,Spearphishing with Government-Themed Decoy Document,,,2.1,,,attack-pattern,,"The object contains information about a sophisticated spearphishing attack pattern that exploits the trust of Afghan government employees by distributing a highly convincing government-themed lure document. The decoy document, written in Pashto and mimicking authentic communication from the Prime Minister's Office, creates urgency by setting deadlines and includes official logos, formatting, reference numbers, and signatures.

This decoy document aims to trick recipients into opening attached malicious files, thereby increasing the likelihood of successful initial compromise. By leveraging trust in official communications, the attackers use culturally and contextually relevant details that increase the attack's success rate.

The attack pattern falls under the Mitre-Attack framework, specifically technique T1566/001, which involves using deception to trick victims into divulging sensitive information or performing certain actions. The goal of this attack is to achieve initial access into the victim's system, and it exploits the trust that Afghan government employees have in official communications.

Overall, this spearphishing attack pattern highlights the importance of vigilance against sophisticated phishing attacks that target specific populations based on cultural and contextual details."
2026-01-19T21:46:45.774712Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Attackers use an ISO file named to resemble an official Afghan government document as the initial container for malicious files. The ISO contains a decoy PDF, a shortcut (LNK) file, and the final payload disguised as an image file. By leveraging the ISO format, the attackers evade common email and endpoint security controls, as Windows mounts ISO files as virtual drives, which often prevents embedded files from inheriting Mark-of-the-Web restrictions. This increases the chance that the malicious content will execute without triggering security warnings or sandboxing.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1204/002/"", ""external_id"": ""T1204.002""}]",,attack-pattern--263ad44e-f792-e4c1-48f7-22e854ade5fd,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:46:45.774712Z,Malicious ISO File for Payload Delivery and Mark-of-the-Web Evasion,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern dubbed ""Malicious ISO File for Payload Delivery and Mark-of-the-Web Evasion"". Attackers use a malicious ISO file to deliver payload, which is disguised as an image file. The ISO format leverages the fact that Windows mounts ISO files as virtual drives, preventing embedded files from inheriting Mark-of-the-Web restrictions. This allows the malicious content to execute without triggering security warnings or sandboxing.

The attackers create an initial container for the malware by using an ISO file named to resemble an official Afghan government document. The ISO contains a decoy PDF, a shortcut (LNK) file, and the final payload disguised as an image file. By utilizing this format, attackers evade common email and endpoint security controls.

According to external references, this attack pattern corresponds to technique T1204.002 in the MITRE ATT&CK framework. The primary goal of this attack pattern is not explicitly stated; however, it is associated with the initial-access phase of the kill chain."
2026-01-19T21:46:45.774806Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The campaign uses a specially crafted LNK shortcut file named 'Doc.pdf.lnk' that, when executed, opens the decoy PDF to distract the victim while simultaneously copying the payload (FALSECUB) to the C:\ProgramData directory. The LNK file then creates a hardlink in the Startup folder under the name 'searchmgr.exe' using the mklink command, ensuring the malware is executed upon system boot for persistence. Finally, it launches the payload using the start command. This multi-step process allows for stealthy execution and persistence while maintaining the appearance of legitimacy.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1218/007/"", ""external_id"": ""T1218.007""}]",,attack-pattern--ef21ccbe-3bdc-72fd-14d2-1492aca8aa1d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-19T21:46:45.774806Z,"Malicious LNK File for Decoy Display, Payload Execution, and Persistence",,,2.1,,,attack-pattern,,"The object contains a malicious LNK file that uses a specially crafted shortcut to distract the victim while copying malware to the C:\\ProgramData directory. This LNK file then creates a hardlink in the Startup folder under the name 'searchmgr.exe', ensuring the malware is executed upon system boot for persistence. The multi-step process allows for stealthy execution and persistence while maintaining the appearance of legitimacy.

The attack uses a decoy PDF to distract the victim, and when the LNK file is executed, it launches the payload using the start command. This technique allows the attackers to maintain the illusion that everything is normal and legitimate, making it difficult for the victims to detect the malicious activity.

The attack pattern is associated with the MITRE-Attack framework, specifically with Technique T1218.007, which highlights the use of LNK files as a means of launching malware. The attack falls under the execution phase of the kill chain, indicating that its primary goal is to execute and run the malware on the victim's system.

Overall, this attack pattern demonstrates a sophisticated approach to malware delivery, where multiple steps are involved in delivering the payload and ensuring persistence on the victim's system."
2026-01-19T21:46:45.774868Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The final payload, FALSECUB, is disguised with a .jpg extension (img.jpg) to appear as a harmless image file. This naming convention is intended to deceive both users and automated security controls, making it less likely for the executable to be flagged as suspicious. The masquerading technique is used throughout the infection chain, from initial delivery in the ISO file to execution, increasing the stealth of the operation and reducing the risk of detection during manual inspection or automated scanning.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1036/008/"", ""external_id"": ""T1036.008""}]",,attack-pattern--a46b9ecc-e2b1-f551-c919-32f200f83765,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:46:45.774868Z,Payload Masquerading as Image File,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern called ""Payload Masquerading as Image File"", which is characterized by the use of a masquerading technique to disguise malware, specifically FALSECUB, as a harmless image file with a .jpg extension. This naming convention is intended to deceive both users and automated security controls, making it less likely for the executable to be flagged as suspicious.

The attack pattern is designed to increase stealth throughout the infection chain, from initial delivery in an ISO file to execution, thereby reducing the risk of detection during manual inspection or automated scanning. The technique used is also employed in other phases of the attack, including defense evasion.

The object includes a reference to external sources, such as MITRE-Attack, which provide additional information on this threat, including techniques and attack patterns that are relevant to this type of attack. However, the exact motivations behind using this technique or the sophistication level required to execute it are not specified in the provided data.

Overall, the object provides a detailed description of an attack pattern that is designed to evade detection by relying on stealthy techniques such as masquerading malware with innocuous file extensions."
2026-01-19T21:46:45.774976Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"After copying the payload to the ProgramData directory, the LNK file creates a hardlink to the payload in the Windows Startup folder using the mklink command. The hardlink is named 'searchmgr.exe', mimicking a legitimate system process. This ensures that the malware is executed every time the system boots, providing persistence across reboots. The use of a hardlink rather than a simple shortcut or registry modification is a less common method, potentially bypassing some security controls that monitor traditional persistence mechanisms.",,,attack-pattern--0712f37a-86a9-9e1e-fbbd-f1c9435d4747,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-19T21:46:45.774976Z,Persistence via Hardlink in Startup Folder,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern labeled ""Persistence via Hardlink in Startup Folder."" This attack pattern utilizes a hardlink to the payload, which is then placed in the Windows Startup folder using the mklink command. The purpose of this method is to create persistence across reboots, ensuring that the malware executes every time the system boots.

The use of a hardlink rather than a simple shortcut or registry modification allows for potential bypassing of some security controls that monitor traditional persistence mechanisms. This approach mimics a legitimate system process by naming the hardlink ""searchmgr.exe,"" which further adds to the stealth nature of this attack pattern.

In terms of its goals, this attack pattern aligns with a specific kill chain phase named ""persistence"" within the Mitre Attack framework. The specified kill chain phase indicates that the primary objective of this attack pattern is to establish persistence on the target system.

It's worth noting that this information does not include external references or additional details regarding the malware types, modified date, primary motivation, sophistication level, spec version, threat actor types, tool types, or type."
2026-01-19T21:46:45.775028Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The FALSECUB malware incorporates multiple anti-analysis techniques to evade detection and hinder reverse engineering. It uses APIs such as GetTickCount64 to detect if it is running in a debugger, GlobalMemoryStatusEx to check for low physical memory typical of analysis environments, and IsDebuggerPresent to directly determine if a debugger is attached. If any of these checks indicate an analysis environment, the malware employs Sleep APIs to delay execution or halt, making dynamic analysis more difficult and reducing the likelihood of successful sandboxing or automated detection.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1497/001/"", ""external_id"": ""T1497.001""}]",,attack-pattern--76a1ccfa-0ced-79ea-a2fb-719aa5191bcb,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:46:45.775028Z,Anti-Analysis Checks Using System APIs,,,2.1,,,attack-pattern,,"The object contains information about a malicious technique used by the FALSECUB malware, which incorporates multiple anti-analysis techniques to evade detection and hinder reverse engineering. The malware employs APIs such as GetTickCount64, GlobalMemoryStatusEx, and IsDebuggerPresent to detect if it is running in a debugger or analyzing environment. If any of these checks indicate an analysis environment, the malware uses Sleep APIs to delay execution or halt, making dynamic analysis more difficult and reducing the likelihood of successful sandboxing or automated detection.

The object also provides external references, including a link to a technique on the Mitre Attack platform with an ID of T1497.001. This suggests that the Anti-Analysis Checks Using System APIs is a recognized threat pattern within the security community.

In terms of goals and sophistication, the object indicates that it does not have any specific goals or indicate its level of sophistication as non-applicable (nan). The kill chain phases associated with this attack pattern include only one phase, which is ""defense-evasion"", suggesting that the primary goal of this technique is to evade detection by security systems.

The object also provides information about the malware types, threat actors, and tool types associated with this attack pattern. However, these fields are marked as non-applicable (nan), indicating that they do not have any specific values or categories assigned to them.

Overall, the object provides a detailed description of the Anti-Analysis Checks Using System APIs technique used by the FALSECUB malware, highlighting its evasion techniques and connections to recognized threat patterns within the security community."
2026-01-19T21:46:45.775077Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Once the anti-analysis checks are passed, the FALSECUB implant connects to a command-and-control (C2) server using an embedded address in its code. This allows the threat actor to remotely control the infected machine, exfiltrate data, and potentially deliver additional payloads. The connection is established immediately after persistence is achieved, enabling ongoing communication and control over compromised systems within targeted Afghan government networks.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1071/001/"", ""external_id"": ""T1071.001""}]",,attack-pattern--29113d9e-299e-9ce4-57be-6469be16c59b,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-19T21:46:45.775077Z,Command and Control via Embedded C2 Address,,,2.1,,,attack-pattern,,"The object contains information about a type of attack pattern known as Command and Control via Embedded C2 Address. This attack pattern involves the use of FALSECUB implant, which connects to a command-and-control server after persistence is achieved in order to remotely control infected machines, exfiltrate data, and potentially deliver additional payloads. The connection is established immediately, enabling ongoing communication and control over compromised systems within targeted Afghan government networks.

The threat actor's goal is to establish a persistent presence on the network using the FALSECUB implant, which can be controlled remotely by the attacker. This attack pattern is associated with the MIRETTE ATTACK technique T1071/001, as indicated in the external references provided.

This attack pattern is classified under the Mitre ATTACK framework and falls under the command-and-control phase of the kill chain. It involves the use of embedded C2 addresses in the code of the FALSECUB implant to establish communication with a remote server.

The threat actor's motivation for using this attack pattern is not explicitly stated, but it is likely driven by the desire to gain control over compromised systems and exfiltrate sensitive information.

The sophistication level of this attack pattern is not specified, but it appears to be a relatively advanced technique that requires significant expertise to implement effectively."
2026-01-19T21:46:49.705126Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"FALSECUB is a C++ executable payload delivered via a malicious ISO and LNK file, disguised as an image file. It is used to establish persistence, evade analysis, and connect to a command-and-control server for remote access and further malicious activities.",,,malware--835973ab-0257-9260-7968-93f90b13e03d,,True,,"[""backdoor"", ""trojan""]",2026-01-19T21:46:49.705126Z,FALSECUB,,,2.1,,,malware,"[""persistence"", ""anti-analysis"", ""command-and-control"", ""remote-access""]","The object contains information about a malicious software (malware) named FALSECUB. It is identified as a C++ executable payload that was delivered via a malicious ISO and LNK file, which appeared to be disguised as an image file. The primary function of this malware is to establish persistence on a compromised system, allowing the attackers to evade analysis and remain undetected for an extended period.

Furthermore, FALSECUB is used to connect to a command-and-control server, enabling remote access and further malicious activities to be performed. It falls under two categories of malware: backdoor and Trojan, as it provides unauthorized access to a system while also disguising itself as a legitimate program.

It's worth noting that this malware does not appear to have a specific primary motivation or sophistication level associated with it. However, its capabilities include persistence, anti-analysis evasion, command-and-control functionality, and remote access, making it a significant threat to system security."
