aliases,created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
,2026-01-16T09:31:18.941038Z,,Socket is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,organization,,,,2026-01-16T09:31:18.941038Z,Socket,,,2.1,,,identity,
,2026-01-16T09:31:18.941038Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-16T09:31:18.941038Z,TI Mindmap HUB,,,2.1,,,identity,
,2026-01-16T09:31:51.501152Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Attackers publish Chrome extensions that masquerade as productivity or security tools for enterprise HR and ERP platforms such as Workday, NetSuite, and SuccessFactors. These extensions are distributed via the Chrome Web Store and marketed to users and administrators as legitimate tools for account management and workflow optimization. The extensions request standard permissions that do not appear suspicious during installation, and their privacy policies falsely claim not to collect user data. This social engineering approach enables attackers to gain initial access to enterprise environments by convincing users to install the extensions, thereby granting the malicious code the necessary permissions to operate within the browser context.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1195/002/"", ""external_id"": ""T1195.002""}]",,attack-pattern--72e780e3-d65e-dec7-488f-fbeab940e5d0,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-16T09:31:51.501152Z,Malicious Chrome Extension Deployment for Initial Access,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501352Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Several extensions, including DataByCloud Access, Data By Cloud 1, and Software Access, implement automated extraction of authentication cookies—specifically targeting cookies named '__session' used for authentication in HR and ERP platforms. The extensions use Chrome's cookie APIs to retrieve all cookies for targeted domains, filter for authentication tokens, and exfiltrate them to attacker-controlled remote servers (e.g., api.databycloud.com or api.software-access.com) every 60 seconds. This persistent monitoring and exfiltration enables attackers to collect valid session tokens for enterprise accounts, facilitating unauthorized access and account takeover.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1539/"", ""external_id"": ""T1539""}]",,attack-pattern--26794465-ddf4-6cd8-ea88-4df73eced529,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-16T09:31:51.501352Z,Session Cookie Theft and Exfiltration,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501457Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Extensions such as Tool Access 11 and Data By Cloud 2 actively interfere with enterprise platform security by manipulating the Document Object Model (DOM) of targeted web pages. They erase content and redirect users away from up to 56 critical administrative and incident response pages, including those for password changes, account deactivation, 2FA device management, and audit log access. This prevents legitimate users and security teams from accessing security controls, managing authentication, or responding to incidents, effectively crippling the ability to detect and remediate account compromise.",,,attack-pattern--129292d4-a5be-d41b-aeb9-c2445842e452,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:31:51.501457Z,DOM Manipulation to Block Security Administration Pages,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501545Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The Software Access extension implements a sophisticated session hijacking technique by not only exfiltrating session cookies to its command and control server but also receiving stolen cookies from the server. Using the chrome.cookies.set() API, the extension injects these cookies into the browser, enabling attackers to assume the session of any targeted account directly within the victim's browser. This bidirectional manipulation allows for seamless account takeover and persistent unauthorized access, bypassing traditional authentication mechanisms.",,,attack-pattern--55f6a4c6-469c-a2e1-db56-6452d72070df,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",,2026-01-16T09:31:51.501545Z,Bidirectional Session Cookie Injection for Direct Session Hijacking,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501626Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Data By Cloud 1 incorporates the DisableDevtool library to actively block access to browser developer tools. By preventing users and security analysts from inspecting the extension's code or monitoring its behavior through developer tools, the attackers increase the difficulty of detection and analysis. This technique helps maintain the stealth of malicious activities such as cookie theft and DOM manipulation, prolonging the extension's presence in the victim environment.",,,attack-pattern--8045fc1e-fcc6-9eaa-b70c-6059df476dea,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:31:51.501626Z,Blocking Browser Developer Tools to Prevent Code Inspection,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501704Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The Software Access extension includes mechanisms to protect password input fields from inspection. This prevents users and analysts from viewing or extracting credentials entered into the browser, further complicating incident response and forensic analysis. By obfuscating or blocking access to password fields, the attackers reduce the likelihood of their credential theft activities being discovered or interrupted.",,,attack-pattern--ee586b17-fa3e-feb5-b8c1-fefed885cf08,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:31:51.501704Z,Password Field Protection to Prevent Credential Inspection,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501783Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"Extensions maintain continuous surveillance of the authentication state by periodically extracting session tokens and monitoring user activity on enterprise platforms. This persistent monitoring ensures that attackers receive up-to-date credentials and can maintain access even as authentication tokens change or sessions are refreshed. The extensions' background scripts automate this process, enabling long-term compromise and facilitating ongoing account hijacking.",,,attack-pattern--367a02bd-1374-fd4b-69c6-2da25aae35ee,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-16T09:31:51.501783Z,Persistent Monitoring of Authentication State,,,2.1,,,attack-pattern,
,2026-01-16T09:31:51.501835Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The extensions encrypt traffic sent to their command and control servers when exfiltrating session tokens and authentication cookies. This encryption helps evade network-based detection mechanisms and makes it more difficult for defenders to identify or analyze the stolen data in transit. By securing the exfiltration channel, attackers increase the success rate of credential theft and reduce the risk of interception by enterprise security tools.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1041/"", ""external_id"": ""T1041""}]",,attack-pattern--1a318bb6-79b6-0366-00e5-26086e2476c0,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""exfiltration""}]",,2026-01-16T09:31:51.501835Z,Encrypted Command and Control Traffic for Cookie Exfiltration,,,2.1,,,attack-pattern,
