created,definition,definition_type,id,name,spec_version,type,summary
2026-01-16T09:31:18.941038Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition named TLP:CLEAR, which is defined by a specific type of data known as Threat Level Protocol (TLP). The TLP defines the level of sensitivity and security clearance required for handling sensitive information. In this case, the TLP:CLEAR definition indicates that the information is clear and does not require any special access controls or security measures.

The marking definition itself is stored in a JSON format with version 2.1 of the specification. The description provided by the marking definition states that it should display as ""clear""."
2026-01-14T10:11:25.353199Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition with the following attributes:

It is based on a definition that specifies a 'TLP:CLEAR' level, which corresponds to a transparent level of information disclosure. This definition type uses a specific format denoted as 'tlp', implying it adheres to a standardized protocol for describing transparency levels in sensitive information handling.

The definition itself contains only the attribute 'tlp' with the value ""clear"", indicating that the defined level is clear or transparent, and there are no additional attributes or details provided."
2026-01-17T16:24:52.125929Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition with the following characteristics:

It has a clear type level classification (TLP) defined by the TLP:CLEAR specification, which is version 2.1 of the specification. The definition itself is contained within a JSON structure that specifies the TLP classification."
2026-01-17T20:51:24.989715Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a TLP ( Threat Level Protocol) definition document with the following details:

*   The name of this TLP definition is 'TLP:CLEAR', which corresponds to the standard threat level protocol used for sharing sensitive information.
*   The specification version of this TLP definition is 2.1, indicating that it adheres to the latest guidelines outlined in the Threat Level Protocol document series.
*   This TLP definition revolves around a single concept, 'clear'."
2026-01-14T20:20:00.663983Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a TLP (Threat Level Profile) definition named 'TLP:CLEAR'. This marking definition is part of a larger system that categorizes information based on its potential threat level. The 'tlp' field within the definition specifies that the threat level is 'clear', indicating that the information contained does not pose an immediate threat."
2026-01-17T07:29:02.273828Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a TLP (Threat Level Profile) definition named 'TLP:CLEAR' which is used to categorize sensitive information. The definition is provided in the TLP format and has a version of 2.1 as specified by the Open Information Environment (OIE). This marking-definition adheres to a standard that allows for clear communication of threat levels across organizations, making it easier to prioritize and manage risk-related information securely."
2026-01-17T20:53:33.355015Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition for the TLP (Threat Level Protocol) standard, specifically ""TLP:CLEAR"". The definition indicates that the threat level is clear, implying that there are no significant threats or risks associated with the information being marked. 

This marking definition follows the TLP standard version 2.1 and has a unique identifier. It can be used to categorize information in accordance with industry standards for threat levels."
2026-01-13T14:17:07.427400Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition for TLP:CLEAR. The definition is stored in the form of a JSON string, which specifies the Traffic Light Protocol (TLP) level as 'clear'. This indicates that the content associated with this definition meets the lowest level of security and confidentiality requirements. The spec version of the definition is 2.1, indicating its compatibility with the latest specifications of TLP."
2026-01-14T06:19:43.036423Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition for TLP:CLEAR, which is a type of color marking standard. The definition itself is stored in JSON format within the 'definition' field and has a version number of 2.1.

According to the provided information, the marking definition is based on the ""clear"" tlp (transparency level protocol) which indicates a clear or visible color specification."
2026-01-14T06:17:06.910078Z,"{""tlp"": ""clear""}",tlp,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,TLP:CLEAR,2.1,marking-definition,"The object contains a marking definition with the name TLP:CLEAR, which is defined by the following JSON object: '{""tlp"": ""clear""}'. This definition type is 'tlp' (which stands for Threat Level Protocol), indicating that it follows a standardized format for threat level information. The definition version is 2.1, providing an indication of the standard's evolution over time."
