description,external_references,id,name,type
"Attackers use targeted phishing emails with malicious attachments (archives containing executable files, DLLs, LNK files, and decoy PDFs) to gain initial access.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1566/001"", ""external_id"": ""T1566.001""}]",attack-pattern--57868880-0347-4ec8-b4ea-a7e87631c53d,Phishing: Spearphishing Attachment,attack-pattern
Victims are required to unpack an archive and execute an EXE or LNK file to initiate the compromise process.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1204/002"", ""external_id"": ""T1204.002""}]",attack-pattern--12e50bc2-bfda-405b-8f2e-07c0f90e4081,User Execution: Malicious File,attack-pattern
Attackers use COM hijacking for persistence by registering malicious DLLs under specific CLSIDs in the Windows registry.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1546/015"", ""external_id"": ""T1546.015""}]",attack-pattern--3f6023fa-6efe-423f-b67d-3d999bb82d2f,Component Object Model Hijacking,attack-pattern
Attackers use DLL side-loading to execute malicious code by loading a malicious DLL through a legitimate executable.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1574/002"", ""external_id"": ""T1574.002""}]",attack-pattern--5bdc1068-f240-4070-822e-37a3c273a1bd,DLL Side-Loading,attack-pattern
"Attackers obfuscate code and configuration data using techniques like Base36, Base64, RC4 encryption, and VMProtect packing.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1027"", ""external_id"": ""T1027""}]",attack-pattern--b71f6a79-bb78-4b3d-9c68-ddae983172ba,Obfuscated Files or Information,attack-pattern
"TunnelRAT uses DNS tunneling for C2 communication, including custom domain generation and encoding.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1071/004"", ""external_id"": ""T1071.004""}]",attack-pattern--82ebd5d2-ad7b-4a37-9356-f0bd26425903,Application Layer Protocol: DNS,attack-pattern
Malware uses HTTPS and HTTP for C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1071/001"", ""external_id"": ""T1071.001""}]",attack-pattern--cab946a0-c0b9-471a-9214-2b92e9de0c40,Application Layer Protocol: Web Protocols,attack-pattern
EmojiRAT uses Telegram Bot API for bidirectional C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1102/002"", ""external_id"": ""T1102.002""}]",attack-pattern--9841c958-7e2b-40f8-bd0f-e693c621b22f,Web Service: Bidirectional Communication,attack-pattern
Malware collects information about files and directories on the compromised host.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1083"", ""external_id"": ""T1083""}]",attack-pattern--d9ecf559-728f-4b13-b4a5-c5768bcd0e84,File and Directory Discovery,attack-pattern
"Malware collects system information such as domain name, computer name, username, and IP addresses.","[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1082"", ""external_id"": ""T1082""}]",attack-pattern--f01608d8-5563-4ee6-a5a8-ed0f86e8e274,System Information Discovery,attack-pattern
TunnelRAT and EmojiRAT exfiltrate data over their C2 communication channels.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1041"", ""external_id"": ""T1041""}]",attack-pattern--00024bda-b7b1-463d-9812-620a8019a4b2,Exfiltration Over C2 Channel,attack-pattern
EmojiRAT encodes data using a custom emoji symbol table for C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1132/002"", ""external_id"": ""T1132.002""}]",attack-pattern--54eb2f35-b01c-4c29-bbc8-244a91763be6,Data Encoding: Non-Standard Encoding,attack-pattern
TunnelRAT encodes data using Base36 and SSF client uses Base64 encoding for configuration data.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1132/001"", ""external_id"": ""T1132.001""}]",attack-pattern--4ca200fa-125e-4404-a98e-e791c2616896,Data Encoding: Standard Encoding,attack-pattern
Attackers set the 'hidden' attribute for loader DLL files to evade detection.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1564/001"", ""external_id"": ""T1564.001""}]",attack-pattern--c2435468-2db0-4c26-9977-8dd7ffa17652,Hide Artifacts: Hidden Files and Directories,attack-pattern
Attackers use DLL side-loading to hijack execution flow via legitimate executables.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1574/002"", ""external_id"": ""T1574.002""}]",attack-pattern--9a5e6953-2e33-4db7-bedc-ef0eb739fc0d,Hijack Execution Flow: DLL,attack-pattern
Loader and reconnaissance malware check for specific substrings in the USERDOMAIN environment variable to evade analysis.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1497/001"", ""external_id"": ""T1497.001""}]",attack-pattern--c243595f-9271-44ab-b9ef-072970511a17,Virtualization/Sandbox Evasion: System Checks,attack-pattern
Loader second stage checks for certain command-line arguments and deletes its own DLL file if found.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1070/004"", ""external_id"": ""T1070.004""}]",attack-pattern--f445f909-3995-4bfe-950d-61b22b95303e,Indicator Removal: File Deletion,attack-pattern
Loader second stage checks for command-line arguments and removes COM object registry values used for persistence.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1070/006"", ""external_id"": ""T1070.006""}]",attack-pattern--518e0118-690b-4113-9e8f-364b1c3b36f7,Indicator Removal: Clear Persistence,attack-pattern
TunnelRAT uses custom algorithms to generate domains for DNS-based C2 communication.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1568/002"", ""external_id"": ""T1568.002""}]",attack-pattern--229e5a27-421e-41c7-b6e0-a5c58f8e33ae,Dynamic Resolution: Domain Generation Algorithms,attack-pattern
Modified SSF client uses TLS for encrypted C2 channels.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1040"", ""external_id"": ""T1040""}]",attack-pattern--0f77c52b-487e-496f-9874-806ff2236cbe,Encrypted Channel: Asymmetric Cryptography,attack-pattern
Modified SSF client enables SOCKS proxy functionality for attackers.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1090/002"", ""external_id"": ""T1090.002""}]",attack-pattern--a275072f-9384-497a-88c5-b3a4fe0dc3dc,Proxy,attack-pattern
TunnelRAT and EmojiRAT are used to upload files to the compromised host.,"[{""source_name"": ""MITRE ATT&CK"", ""url"": ""https://attack.mitre.org/techniques/T1105"", ""external_id"": ""T1105""}]",attack-pattern--4a8b195f-add7-4d30-ad37-8cd1a95491a4,Ingress Tool Transfer,attack-pattern
