created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities
2026-01-19T21:46:24.295687Z,,SEQRITE Labs is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,organization,,,,2026-01-19T21:46:24.295687Z,SEQRITE Labs,,,2.1,,,identity,
2026-01-19T21:46:24.295687Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-19T21:46:24.295687Z,TI Mindmap HUB,,,2.1,,,identity,
2026-01-19T21:46:45.774624Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The threat actors crafted a highly convincing government-themed lure document written in Pashto, complete with official logos, formatting, reference numbers, and signatures. This decoy is distributed to Afghan government employees, specifically targeting ministries and administrative offices. The document creates urgency by setting deadlines and mimics authentic communication from the Prime Minister’s Office, aiming to trick recipients into opening the attached malicious files. The use of culturally and contextually relevant details increases the likelihood of successful initial compromise by leveraging trust in official communications.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1566/001/"", ""external_id"": ""T1566.001""}]",,attack-pattern--50969ca5-1ce0-f880-e51e-b05982ca72e6,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:46:45.774624Z,Spearphishing with Government-Themed Decoy Document,,,2.1,,,attack-pattern,
2026-01-19T21:46:45.774712Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Attackers use an ISO file named to resemble an official Afghan government document as the initial container for malicious files. The ISO contains a decoy PDF, a shortcut (LNK) file, and the final payload disguised as an image file. By leveraging the ISO format, the attackers evade common email and endpoint security controls, as Windows mounts ISO files as virtual drives, which often prevents embedded files from inheriting Mark-of-the-Web restrictions. This increases the chance that the malicious content will execute without triggering security warnings or sandboxing.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1204/002/"", ""external_id"": ""T1204.002""}]",,attack-pattern--263ad44e-f792-e4c1-48f7-22e854ade5fd,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:46:45.774712Z,Malicious ISO File for Payload Delivery and Mark-of-the-Web Evasion,,,2.1,,,attack-pattern,
2026-01-19T21:46:45.774806Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The campaign uses a specially crafted LNK shortcut file named 'Doc.pdf.lnk' that, when executed, opens the decoy PDF to distract the victim while simultaneously copying the payload (FALSECUB) to the C:\ProgramData directory. The LNK file then creates a hardlink in the Startup folder under the name 'searchmgr.exe' using the mklink command, ensuring the malware is executed upon system boot for persistence. Finally, it launches the payload using the start command. This multi-step process allows for stealthy execution and persistence while maintaining the appearance of legitimacy.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1218/007/"", ""external_id"": ""T1218.007""}]",,attack-pattern--ef21ccbe-3bdc-72fd-14d2-1492aca8aa1d,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-19T21:46:45.774806Z,"Malicious LNK File for Decoy Display, Payload Execution, and Persistence",,,2.1,,,attack-pattern,
2026-01-19T21:46:45.774868Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The final payload, FALSECUB, is disguised with a .jpg extension (img.jpg) to appear as a harmless image file. This naming convention is intended to deceive both users and automated security controls, making it less likely for the executable to be flagged as suspicious. The masquerading technique is used throughout the infection chain, from initial delivery in the ISO file to execution, increasing the stealth of the operation and reducing the risk of detection during manual inspection or automated scanning.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1036/008/"", ""external_id"": ""T1036.008""}]",,attack-pattern--a46b9ecc-e2b1-f551-c919-32f200f83765,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:46:45.774868Z,Payload Masquerading as Image File,,,2.1,,,attack-pattern,
2026-01-19T21:46:45.774976Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"After copying the payload to the ProgramData directory, the LNK file creates a hardlink to the payload in the Windows Startup folder using the mklink command. The hardlink is named 'searchmgr.exe', mimicking a legitimate system process. This ensures that the malware is executed every time the system boots, providing persistence across reboots. The use of a hardlink rather than a simple shortcut or registry modification is a less common method, potentially bypassing some security controls that monitor traditional persistence mechanisms.",,,attack-pattern--0712f37a-86a9-9e1e-fbbd-f1c9435d4747,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-19T21:46:45.774976Z,Persistence via Hardlink in Startup Folder,,,2.1,,,attack-pattern,
2026-01-19T21:46:45.775028Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"The FALSECUB malware incorporates multiple anti-analysis techniques to evade detection and hinder reverse engineering. It uses APIs such as GetTickCount64 to detect if it is running in a debugger, GlobalMemoryStatusEx to check for low physical memory typical of analysis environments, and IsDebuggerPresent to directly determine if a debugger is attached. If any of these checks indicate an analysis environment, the malware employs Sleep APIs to delay execution or halt, making dynamic analysis more difficult and reducing the likelihood of successful sandboxing or automated detection.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1497/001/"", ""external_id"": ""T1497.001""}]",,attack-pattern--76a1ccfa-0ced-79ea-a2fb-719aa5191bcb,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-19T21:46:45.775028Z,Anti-Analysis Checks Using System APIs,,,2.1,,,attack-pattern,
2026-01-19T21:46:45.775077Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Once the anti-analysis checks are passed, the FALSECUB implant connects to a command-and-control (C2) server using an embedded address in its code. This allows the threat actor to remotely control the infected machine, exfiltrate data, and potentially deliver additional payloads. The connection is established immediately after persistence is achieved, enabling ongoing communication and control over compromised systems within targeted Afghan government networks.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1071/001/"", ""external_id"": ""T1071.001""}]",,attack-pattern--29113d9e-299e-9ce4-57be-6469be16c59b,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""command-and-control""}]",,2026-01-19T21:46:45.775077Z,Command and Control via Embedded C2 Address,,,2.1,,,attack-pattern,
2026-01-19T21:46:49.705126Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"FALSECUB is a C++ executable payload delivered via a malicious ISO and LNK file, disguised as an image file. It is used to establish persistence, evade analysis, and connect to a command-and-control server for remote access and further malicious activities.",,,malware--835973ab-0257-9260-7968-93f90b13e03d,,True,,"[""backdoor"", ""trojan""]",2026-01-19T21:46:49.705126Z,FALSECUB,,,2.1,,,malware,"[""persistence"", ""anti-analysis"", ""command-and-control"", ""remote-access""]"
