aliases,created,created_by_ref,description,external_references,goals,id,identity_class,indicator_types,is_family,kill_chain_phases,malware_types,modified,name,pattern,pattern_type,pattern_version,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,valid_from,x_capabilities,summary
,2026-01-20T20:16:26.551682Z,,Seqrite Labs is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,organization,,,,,2026-01-20T20:16:26.551682Z,Seqrite Labs,,,,,,2.1,,,identity,,,"The object contains a threat intelligence report published by Seqrite Labs. The publisher is STIXed by TI Mindmap HUB, indicating that the report has been standardized using a specific framework. Unfortunately, no further information about the report's content or purpose can be extracted from the provided data, as several fields are marked as null (nan), which suggests they may not contain relevant details."
,2026-01-20T20:16:26.551682Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,,2026-01-20T20:16:26.551682Z,TI Mindmap HUB,,,,,,2.1,,,identity,,,"The object contains information about a threat intelligence platform called TI Mindmap HUB. This AI-powered platform generates STIX bundles from open-source intelligence (OSINT) sources, indicating its purpose is to analyze and provide insights on potential threats. The description provided by the platform details its functionality and capabilities in generating threat intelligence.

Unfortunately, some specific details are missing or not available about this platform, including aliases, external references, goals, indicator types, is_family, kill chain phases, malware types, pattern, pattern type, pattern version, primary motivation, sophistication, threat actor types, tool types, valid from, and x_capabilities. These fields suggest that further information could be provided to better understand the capabilities and scope of TI Mindmap HUB.

Despite these limitations, the available details indicate that TI Mindmap HUB is an organization-based identity type, as specified by its identity_class field."
,2026-01-20T20:16:28.203043Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: ipv4 - 181.231.253.69
Confidence: high
Notes: Default fallback Command-and-Control server used by the Rust-based RAT for persistent remote access and modular post-exploitation commands.",,,indicator--43f5a90b-819d-4698-af82-b6bad8727666,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.203043Z,IPV4: 181.231.253.69,[ipv4-addr:value = '181.231.253.69'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.203043Z,,"The object contains a specific indicator of compromise, identified by the IP address 181.231.253.69. This indicator is associated with a malicious activity type, indicating that it has been used or seen in relation to some form of harmful behavior. The confidence level for this indicator is high, suggesting that it is considered to be a reliable source of information.

The indicator is described as being used by a Rust-based Remote Access Trojan (RAT) for persistent remote access and modular post-exploitation commands. It serves as a default fallback Command-and-Control server. No external references are available for this indicator, and its goals, family classification, kill chain phases, malware types, sophistication level, primary motivation, and tool types have not been specified.

The object also contains some pattern-based metadata, such as the pattern ""[ipv4-addr:value = '181.231.253.69']"" in STIX format version 2.1 with a pattern type of ""stix"". However, no further information is available regarding this pattern or its usage."
,2026-01-20T20:16:28.203412Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - dc802b8c117a48520a01c98c6c9587b5
Confidence: high
Notes: MD5 hash of the weaponized Windows shortcut (.LNK) file used to initiate the infection chain and execute the BAT loader script via PowerShell.",,,indicator--c0306935-c395-45d2-b67f-32f3321fdeaa,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.203412Z,MD5: dc802b8c117a48520a01c98c6c9587b5,[file:hashes.'MD5' = 'dc802b8c117a48520a01c98c6c9587b5'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.203412Z,,"The object contains information about an Indicator of Compromise, specifically a MD5 hash of a weaponized Windows shortcut (.LNK) file used to initiate the infection chain and execute a BAT loader script via PowerShell. The confidence level in this indicator is high. The notes accompanying this indicator provide context on how it was identified and highlight its significance in the infection process.

The malware associated with this indicator is categorized as malicious activity, and there are no family relationships mentioned. There is no indication of specific kill chain phases or malware types linked to this indicator.

This object also includes a pattern definition for the MD5 hash 'dc802b8c117a48520a01c98c6c9587b5', which can be used to identify similar threats. The pattern type and version are specified as STIX, with a version number of 2.1.

No primary motivation or sophistication level is provided for this indicator. Similarly, there is no information available on the threat actors associated with this object, nor are any tools or techniques mentioned."
,2026-01-20T20:16:28.205205Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 45f2a677b3bf994a8f771e611bb29f4f
Confidence: high
Notes: MD5 hash of the ZIP archive delivered via spear-phishing email, containing the LNK file, BAT loader, and judicial-themed PDF decoy.",,,indicator--09e6fd72-b453-4498-97f1-b2049b5a2834,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.205205Z,MD5: 45f2a677b3bf994a8f771e611bb29f4f,[file:hashes.'MD5' = '45f2a677b3bf994a8f771e611bb29f4f'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.205205Z,,"The object contains a detailed description of an Indicator of Compromise, which is identified by its MD5 hash value of 45f2a677b3bf994a8f771e611bb29f4f. The confidence level associated with this indicator is high, indicating that it is considered to be a significant threat. 

A spear-phishing email delivered a ZIP archive containing an LNK file, a BAT loader, and a judicial-themed PDF decoy as part of the malicious activity. This decoy was used to mislead the recipient. The MD5 hash of this ZIP archive serves as a fingerprint for the indicator.

This indicator falls under two categories: malicious-activity and is classified as an indicator type within these parameters. It does not appear to be related to any known family or group, nor is it associated with specific kill chain phases, malware types, primary motivations, sophistication levels, or tool types.

A pattern has been identified for this indicator, which involves a file hash matching the specified MD5 value. This pattern is based on the STIX framework and has been standardized across different versions at 2.1 specifications."
,2026-01-20T20:16:28.205505Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 02f85c386f67fac09629ebe5684f7fa0
Confidence: high
Notes: MD5 hash of the BAT file responsible for downloading and executing the second-stage RAT payload from a remote source.",,,indicator--ecc88de6-a540-4eb8-a7d5-69f342daf62a,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.205505Z,MD5: 02f85c386f67fac09629ebe5684f7fa0,[file:hashes.'MD5' = '02f85c386f67fac09629ebe5684f7fa0'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.205505Z,,"The object contains a wealth of information about an indicator of compromise, specifically related to malware. The description provides context on the malicious activity, detailing that it is an MD5 hash representing the BAT file responsible for downloading and executing a second-stage RAT payload from a remote source. Additionally, the confidence level is indicated as high.

The external references field is empty in this instance, while notes offer further insight into the hash being MD5 of the mentioned BAT file. However, these details do not provide explicit evidence or explanations regarding the malicious activity's nature.

The pattern for identifying this indicator includes a specific file hash that is used to match against hashes from known sources. This process helps identify potential malware by comparing hashes from known sources with those reported as malicious.

Furthermore, the type of the object is classified as an 'indicator' and falls under the category of 'malicious-activity'. Unfortunately, there is no explicit information on how this malware affects the system or the specific threat actor types associated with it."
,2026-01-20T20:16:28.205883Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 976b6fce10456f0be6409ff724d7933b
Confidence: high
Notes: MD5 hash of msedge_proxy.exe, the Rust-based Remote Access Trojan deployed for persistent access, anti-analysis, and C2 communication.",,,indicator--a743ecc9-8fd4-4f8c-968a-3cf7143af9ea,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.205883Z,MD5: 976b6fce10456f0be6409ff724d7933b,[file:hashes.'MD5' = '976b6fce10456f0be6409ff724d7933b'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.205883Z,,"The object contains information about a specific type of malicious activity, specifically an indicator of compromise related to malware. The MD5 hash value, which is 976b6fce10456f0be6409ff724d7933b, was identified as the md5 hash of msedge_proxy.exe, a Rust-based Remote Access Trojan designed for persistent access, anti-analysis, and C2 communication.

This indicator has been classified as malicious-activity, indicating that it is related to a specific type of cyber threat. The confidence level associated with this indicator is high, suggesting that it is considered a credible threat.

The purpose of the pattern defined in this indicator is to identify the MD5 hash value of msedge_proxy.exe and verify if it matches the provided hash. This can be useful for detecting malware related to this specific type of Trojan horse attack.

Overall, this object provides information about a malicious activity that has been identified as a potential threat, along with details about its characteristics and behavior."
,2026-01-20T20:16:28.206278Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: md5 - 233a9dbcfe4ae348c0c7f4c2defd1ea5
Confidence: high
Notes: MD5 hash of the PDF decoy document used for social engineering and to disguise the malicious payload delivery.",,,indicator--1eb51310-fd63-41ce-9837-453025b2c24e,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.206278Z,MD5: 233a9dbcfe4ae348c0c7f4c2defd1ea5,[file:hashes.'MD5' = '233a9dbcfe4ae348c0c7f4c2defd1ea5'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.206278Z,,"The object contains information about an Indicator of Compromise (IoC), which is a malicious activity related to malware delivery. The IoC has a high confidence level, indicating that it is likely to be associated with malicious behavior. The indicator is identified by its MD5 hash, 233a9dbcfe4ae348c0c7f4c2defd1ea5, and is classified as ""malicious-activity"". This indicates that the IoC is related to a specific type of malicious activity.

The IoC is associated with a PDF decoy document that was used for social engineering purposes. The notes provided indicate that the purpose of using this PDF decoy was to disguise the delivery of the malicious payload. This suggests that the attacker attempted to make it difficult for the victim to detect the malicious activity.

No external references or family information are available, and there is no additional context about the specific goals, sophistication, or threat actors involved in this IoC. However, the IoC has a clear pattern associated with it, which includes a file hash pattern that matches the MD5 hash of 233a9dbcfe4ae348c0c7f4c2defd1ea5.

Overall, the object provides valuable information about an Indicator of Compromise related to malware delivery and social engineering."
,2026-01-20T20:16:28.210866Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKCU\Software\Microsoft\Windows\CurrentVersion\Run
Confidence: medium
Notes: Registry key abused by the RAT for persistence via Run key values with randomized legitimate-looking names.",,,indicator--0e1a0bc3-acd9-4478-a67e-decdbcb45207,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.210866Z,WINDOWS-REGISTRY-KEY: HKCU\Software\Microsoft\Windows\CurrentVersion\Run,[windows-registry-key:key = 'HKCU\\Software\\Microsoft\\Windows\\CurrentVersion\\Run'],stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.210866Z,,"The object contains information about a specific type of indicator, specifically a Windows registry key, which is described as an Indicator of Compromise. The registry key in question is located at HKCU\Software\Microsoft\Windows\CurrentVersion\Run and has been identified by the system as having malicious activity associated with it.

According to the description provided, this registry key has been used by a Rootkit (RAT) for persistence on the system via Run key values. The names of these values are randomized and appear legitimate, but they serve a malicious purpose. This behavior indicates that the system has detected suspicious activity related to the registry key.

The indicator type associated with this object is classified as ""malicious-activity"". The pattern of the registry key matches the STIX pattern format and version 2.1. 

Overall, the object provides details about a Windows registry key that appears to be a potential source of malicious activity on the system."
,2026-01-20T20:16:28.212022Z,identity--5df7e8d9-d5c2-392a-f67d-511811817c4a,"Indicator of Compromise: windows-registry-key - HKLM\SOFTWARE\VMware, Inc.\VMware Tools
Confidence: medium
Notes: Registry key checked by the RAT to detect VMware virtual environments and evade analysis.",,,indicator--b7d90829-e1d3-415a-9bbb-01c386c127b9,,"[""malicious-activity""]",,,,2026-01-20T20:16:28.212022Z,"WINDOWS-REGISTRY-KEY: HKLM\SOFTWARE\VMware, Inc.\VMware Tools","[windows-registry-key:key = 'HKLM\\SOFTWARE\\VMware, Inc.\\VMware Tools']",stix,2.1,,,2.1,,,indicator,2026-01-20T20:16:28.212022Z,,"The object contains information about a malware indicator, specifically a Windows registry key check by a Remote Access Trojan (RAT) to detect VMware virtual environments and evade analysis. The indicator is categorized under the ""malicious-activity"" type, which suggests that it is related to malicious behavior. A description of the indicator notes that it checks for a specific registry key in the HKLM\SOFTWARE\VMware, Inc.\VMware Tools location.

The confidence level associated with this indicator is medium, indicating that while there is some evidence supporting its presence, further analysis may be necessary to confirm its validity. Notes on the indicator highlight its purpose as evasive measure by the RAT, allowing it to detect and analyze VMware virtual environments without being detected itself.

Unfortunately, no external references or additional information about the indicator's goals, family, kill chain phases, malware types, primary motivation, sophistication, threat actors, tool types, or spec version are available. However, the pattern of this indicator is described using STIX format, with a specific key-value pair pattern indicating the presence of a Windows registry key at HKLM\SOFTWARE\VMware, Inc.\VMware Tools."
