created,created_by_ref,description,external_references,id,identity_class,kill_chain_phases,modified,name,spec_version,tool_types,type,summary
2026-01-18T18:51:00.049154Z,,heilancoos.github.io is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,organization,,2026-01-18T18:51:00.049154Z,heilancoos.github.io,2.1,,identity,"The object contains information about a threat intelligence report published by heilancoos.github.io. The publisher of this report is STIXed by TI Mindmap HUB, indicating that the report has been curated and standardized according to the STIX (Standardized Threat Intelligence eXchange) framework.

The report pertains to an organization, as classified under the identity_class field, which further specifies its type as a threat intelligence object."
2026-01-18T18:51:00.049154Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,2026-01-18T18:51:00.049154Z,TI Mindmap HUB,2.1,,identity,The object contains information about a threat intelligence platform named TI Mindmap HUB. This AI-powered platform is capable of generating STIX bundles from Open-Source Intelligence (OSINT) sources. The primary purpose of this platform appears to be the analysis and processing of threat-related data in order to identify potential security risks.
2026-01-18T18:51:18.510436Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers target Kubernetes clusters by accessing the Kubernetes API server without valid authentication credentials. In this campaign, adversaries exploit misconfigurations or default settings that leave the API server exposed to the network, allowing them to send unauthenticated requests. This can result in full control over cluster resources, including the ability to create, modify, or delete pods, services, and other objects. The technique is particularly dangerous because the API server is the central management point for the cluster, and unauthenticated access can bypass all intended security controls. Attackers may use tools like kubectl or custom scripts to interact with the API endpoint directly, leveraging the lack of authentication to enumerate resources and launch further attacks.",,attack-pattern--6ef42d9f-f8cf-3145-8411-f3442ed4de00,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",2026-01-18T18:51:18.510436Z,Unauthenticated API Access,2.1,,attack-pattern,"The object contains information about an attack pattern known as ""Unauthenticated API Access"". Attackers target Kubernetes clusters by accessing the Kubernetes API server without valid authentication credentials, exploiting misconfigurations or default settings that leave the API server exposed to the network. This allows them to send unauthenticated requests, resulting in full control over cluster resources, including the ability to create, modify, or delete pods, services, and other objects.

The technique is particularly dangerous because the API server is the central management point for the cluster, and unauthenticated access can bypass all intended security controls. Attackers may use tools like kubectl or custom scripts to interact with the API endpoint directly, leveraging the lack of authentication to enumerate resources and launch further attacks."
2026-01-18T18:51:18.510523Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Adversaries abuse misconfigured Role-based Access Control (RBAC) policies within Kubernetes clusters. In this threat scenario, attackers either obtain credentials for a legitimate user or exploit service accounts with excessive permissions. The RBAC misconfiguration allows them to escalate privileges, access sensitive resources, or perform administrative actions. For example, an attacker who compromises a low-privileged account may find that RBAC rules grant it cluster-admin privileges or access to all namespaces. This enables lateral movement, resource manipulation, and persistence. The technique is commonly used in Kubernetes attacks due to the complexity of RBAC configuration and the prevalence of overly broad roles in production environments.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1078/004/"", ""external_id"": ""T1078.004""}]",attack-pattern--68059210-09f0-e5e3-ac4f-02e3b99654be,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",2026-01-18T18:51:18.510523Z,Overly Permissive Role-based Access Control,2.1,,attack-pattern,"The object contains information about a threat scenario related to Kubernetes clusters, specifically focusing on the exploitation of misconfigured Role-based Access Control (RBAC) policies. In this scenario, attackers take advantage of legitimate users' credentials or service accounts with excessive permissions to escalate privileges and access sensitive resources within the cluster. By doing so, they can perform administrative actions, execute lateral movement, manipulate resources, and establish persistence.

The attack pattern is often used in Kubernetes attacks due to the complexity of RBAC configuration and the prevalence of overly broad roles in production environments. This technique allows attackers to take advantage of poorly designed security policies, which can have significant consequences for the security and integrity of the cluster.

A notable aspect of this threat scenario is its connection to the MITRE ATT&CK framework, with a reference to attack pattern T1078.004, indicating that this technique is documented within the framework as a common approach used by attackers in various contexts."
2026-01-18T18:51:18.510689Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers exploit Kubernetes service account tokens to gain unauthorized access to cluster resources. In this campaign, adversaries obtain service account tokens either by accessing them directly from mounted volumes within pods or by compromising a pod that has a token assigned. These tokens are then used to authenticate API requests, allowing attackers to interact with the API server under the identity of the compromised service account. If the service account has broad permissions, the attacker can enumerate resources, modify configurations, or escalate privileges. The abuse of service account tokens is a common technique due to their widespread use and frequent over-permissioning in Kubernetes environments.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1528/"", ""external_id"": ""T1528""}]",attack-pattern--730b5c47-6351-74d5-48b6-80f4de5f79b0,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",2026-01-18T18:51:18.510689Z,Service Account Token Abuse,2.1,,attack-pattern,"The object contains details about a specific attack pattern identified as ""Service Account Token Abuse"". This type of attack involves attackers exploiting Kubernetes service account tokens to gain unauthorized access to cluster resources. The attackers typically obtain the service account tokens either by accessing them directly from mounted volumes within pods or by compromising a pod that has a token assigned.

Once in possession of the token, the attacker can use it to authenticate API requests under the identity of the compromised service account. If the service account has broad permissions, the attacker gains significant privileges and can enumerate resources, modify configurations, or escalate privileges. This abuse of service account tokens is a common technique due to their widespread use and frequent over-permissioning in Kubernetes environments.

The attack pattern is further validated by its inclusion in the Mitre Attack framework, which assigns it a technique ID of T1528. This association with a recognized threat intelligence framework adds credibility to the assessment and highlights the severity of the vulnerability being exploited."
2026-01-18T18:51:18.510788Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Adversaries deploy or modify Kubernetes admission controllers to inject malicious logic into the cluster's resource creation process. Admission controllers are components that intercept API requests before they are persisted, allowing for validation or mutation of resources. In this threat scenario, attackers compromise or create a custom admission controller that automatically modifies incoming resource definitions to include backdoors, privilege escalation mechanisms, or persistence techniques. This enables attackers to maintain control over the cluster and evade detection, as every new resource can be automatically altered to suit their objectives.",,attack-pattern--e0c29c46-1636-ef8a-0795-357c457cf160,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",2026-01-18T18:51:18.510788Z,Malicious Admission Controllers,2.1,,attack-pattern,"The object contains information about a security threat pattern related to malicious admission controllers in Kubernetes clusters. Attackers deploy or modify admission controllers to inject malicious logic into the cluster's resource creation process, allowing them to compromise the system and evade detection. Admission controllers are components that intercept API requests before they are persisted, enabling validation or mutation of resources.

In this threat scenario, attackers create a custom admission controller that automatically modifies incoming resource definitions to include backdoors, privilege escalation mechanisms, or persistence techniques. This enables attackers to maintain control over the cluster and alter every new resource to suit their objectives, making it difficult to detect and respond to the attack.

The malicious activity is categorized under the Mitre-Attack framework's ""defense-evasion"" phase, indicating that the primary goal of the attack is to evade detection and security measures. The threat pattern is described in detail, providing insights into the tactics, techniques, and procedures (TTPs) used by attackers to compromise Kubernetes clusters using malicious admission controllers."
2026-01-18T18:51:18.510872Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers manipulate the CoreDNS configuration or data within a Kubernetes cluster to redirect or intercept network traffic. CoreDNS is responsible for internal DNS resolution, and poisoning its records allows adversaries to reroute service requests to malicious endpoints, facilitate man-in-the-middle attacks, or disrupt cluster operations. In this campaign, attackers gain access to the CoreDNS ConfigMap or directly modify DNS records, impacting service discovery and communication between pods. This can lead to data exfiltration, credential theft, or further compromise of cluster resources.",,attack-pattern--e6d0dca1-7a51-ed8d-3f27-0b1a8726023a,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""impact""}]",2026-01-18T18:51:18.510872Z,CoreDNS Poisoning,2.1,,attack-pattern,"The object contains information about an attack pattern known as ""CoreDNS Poisoning."" This attack involves attackers manipulating the CoreDNS configuration or data within a Kubernetes cluster to redirect or intercept network traffic. CoreDNS is responsible for internal DNS resolution, and poisoning its records allows adversaries to reroute service requests to malicious endpoints, facilitate man-in-the-middle attacks, or disrupt cluster operations.

By gaining access to the CoreDNS ConfigMap or directly modifying DNS records, attackers can impact service discovery and communication between pods, leading to potential consequences such as data exfiltration, credential theft, or further compromise of cluster resources."
2026-01-18T18:51:18.510988Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Adversaries exploit writable volume mounts in Kubernetes pods to gain persistence or access sensitive data. In this scenario, attackers target pods with volumes mounted in write mode, allowing them to store malicious payloads, modify application files, or harvest credentials and secrets. Writable mounts can also be used to escape container isolation by writing to host-mounted volumes or other shared resources. This technique is particularly effective in environments where volume permissions are not tightly controlled, enabling attackers to maintain a foothold or facilitate lateral movement within the cluster.",,attack-pattern--ca68d844-4556-44cd-eb4b-f308b07d985e,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",2026-01-18T18:51:18.510988Z,Writable Volume Mounts Abuse,2.1,,attack-pattern,"The object contains information about a security threat pattern related to the exploitation of writable volume mounts in Kubernetes pods. This technique allows adversaries to gain persistence or access sensitive data by targeting pods with volumes mounted in write mode, enabling them to store malicious payloads, modify application files, or harvest credentials and secrets. Writable mounts can also be used to escape container isolation by writing to host-mounted volumes or other shared resources.

In environments where volume permissions are not tightly controlled, this technique is particularly effective, as it enables attackers to maintain a foothold or facilitate lateral movement within the cluster. This threat pattern falls under the category of attack patterns that target specific vulnerabilities in Kubernetes clusters."
2026-01-18T18:51:18.511078Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers create or steal Kubernetes credentials (such as KubeConfig files or client certificates) that grant unrestricted access to the cluster, similar to the 'Golden Ticket' concept in Active Directory attacks. In this campaign, adversaries obtain or forge credentials that allow them to impersonate cluster administrators, bypassing all RBAC and authentication controls. With these credentials, attackers can perform any action within the cluster, including creating privileged pods, accessing secrets, and modifying critical configurations. The technique relies on either credential theft from compromised endpoints or the generation of fraudulent certificates using access to the certificate authority.",,attack-pattern--3f713cb4-7ebc-1e58-324a-5a20bca405c0,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""privilege-escalation""}]",2026-01-18T18:51:18.511078Z,Kubernetes Golden Ticket,2.1,,attack-pattern,"The object contains information about the ""Kubernetes Golden Ticket"" attack pattern, a sophisticated technique used by attackers to gain unrestricted access to a Kubernetes cluster. This campaign involves obtaining or forging credentials that allow attackers to impersonate cluster administrators, thereby bypassing all Role-Based Access Control (RBAC) and authentication controls.

With these stolen or forged credentials, attackers can perform any action within the cluster, including creating privileged pods, accessing secrets, and modifying critical configurations. The technique relies on either stealing credentials from compromised endpoints or generating fraudulent certificates using access to the certificate authority.

This attack pattern is categorized under the ""Mitre-Attack"" kill chain phase, specifically in the ""Privilege-Escalation"" phase. It highlights the potential threat of attackers exploiting Kubernetes credentials to gain excessive control over cluster resources and operations."
2026-01-18T18:51:31.117099Z,identity--40e30188-5929-89cc-8dba-dcd0fce6a28a,"Attackers can abuse kubectl to interact with the Kubernetes API server, modify cluster configurations, enumerate resources, and execute commands within containers after gaining access to a cluster or credentials.",,tool--0f12ee5c-9f1d-d901-5858-0f1c292b0d37,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",2026-01-18T18:51:31.117099Z,kubectl,2.1,"[""remote-access"", ""information-gathering"", ""exploitation""]",tool,"The object contains information about a tool called ""kubectl"" which can be used by attackers to abuse the Kubernetes API server, allowing them to modify cluster configurations, enumerate resources, and execute commands within containers. Kubectl provides remote access, allows for information gathering, and enables exploitation of vulnerabilities in clusters or credentials.

It is a multi-phase attack tool that falls under the ""mitre-attack"" kill chain phase named ""execution"". This suggests that kubectl can be used to perform execution-based attacks, such as executing malicious commands within containers."
