description,id,key,type,values,summary
,registry-key--f8b15e16-ec8f-488f-9828-cf107056abdd,HKCU\Software\Microsoft\Office\Outlook\LoadMacroProviderOnBoot,registry-key,"[{""name"": ""LoadMacroProviderOnBoot"", ""data"": ""0x00000001""}]","The object contains a registry key named 'HKCU\Software\Microsoft\Office\Outlook\LoadMacroProviderOnBoot' which is of type 'registry-key'. The value associated with this key is a macro provider that is loaded on boot. Specifically, the data for this key is set to 0x00000001."
,registry-key--b204b5d5-da32-4dc3-a7bb-214548fc4987,HKCU\Software\Microsoft\Office\Outlook\Security\Level,registry-key,"[{""name"": ""Level"", ""data"": ""0x00000001""}]","The object contains a registry key named 'HKCU\Software\Microsoft\Office\Outlook\Security\Level' with the following attributes. It is of type 'registry-key'. The associated value is defined by a single entry named 'Level', which has a data value of 0x00000001, indicating a specific security level within the Outlook application."
,registry-key--dfa558c0-a2bc-46be-b329-6e992c4dbae9,HKCU\Software\Microsoft\Office\Outlook\Options\General\PONT_STRING,registry-key,"[{""name"": ""PONT_STRING"", ""data"": ""32""}]","The object contains a registry key named 'HKCU\Software\Microsoft\Office\Outlook\Options\General\PONT_STRING'. This registry key is associated with the Microsoft Office Outlook application. The value stored under this key is a data type of 32, which likely represents an integer or some other numeric data type."
Autorun registry entry created for persistence.,registry-key--5aeebb3f-d443-41bd-8851-43d9e305a8b9,HKCU\Software\Microsoft\Windows\CurrentVersion\Run\PDF Editor,registry-key,,"The object contains a registry entry created for persistence. This entry is located under the 'HKCU\Software\Microsoft\Windows\CurrentVersion\Run' key, which suggests that it is related to the startup behavior of the system. The specific key value associated with this entry is 'PDF Editor', indicating that it is likely a program or application responsible for editing PDF files.

The registry key itself appears to be an autorun entry, meaning it is designed to launch automatically when the system starts up. This can be both beneficial and malicious, depending on the context in which it is used. In this case, however, there is no additional information provided about what the 'PDF Editor' program does or how it was installed.

Overall, the presence of this registry entry suggests that the system has been configured to launch a PDF editing application automatically at startup, potentially as part of an installation or configuration process."
,registry-key--f1cb9c5f-668c-483d-9f36-183d6ab158c8,HKCU\Software\Microsoft\Windows\CurrentVersion\Run,registry-key,,"The object contains a registry key with the identifier 'HKCU\Software\Microsoft\Windows\CurrentVersion\Run'. This key is used to store run-time entries for Windows applications. It is located within the current user's settings and is typically used to launch programs automatically when the system starts or when a specific event occurs, such as when a program is installed or updated. The value of this key can be either a string that represents the name of an executable file, or a string that contains a command and parameters for the executable file."
,registry-key--3057514a-55c7-4552-bc56-144ce5ae3fa9,HKEY_CURRENT_USER\Software\DingTalk,registry-key,,The object contains a registry key named 'HKEY_CURRENT_USER\Software\DingTalk'. The registry key has the description field set to an undefined value. It does not contain any values within its 'values' field.
,registry-key--c212183d-d6e6-4727-8aef-49665f5a8c4a,HKEY_CURRENT_USER\Software\Tencent\WeChat,registry-key,,"The object contains a registry key with the following characteristics:

It is identified by a unique identifier 'registry-key--c212183d-d6e6-4727-8aef-49665f5a8c4a'.
The registry key belongs to the 'HKEY_CURRENT_USER' branch, specifying it as part of the current user's software settings.
The key's name is 'Tencent\\WeChat', suggesting a connection to Tencent's popular messaging application WeChat.
No values are present in this registry key, indicating that it may be an empty or newly created entry."
,registry-key--850a1d2f-c52b-4df5-b541-2e515daaac99,HKEY_CURRENT_USER\Software\Classes\mscfile,registry-key,,"The object contains a registry key named mscfile located at HKEY_CURRENT_USER\Software\Classes. This key is associated with the file type of the same name. However, no further details are available regarding its description or values, as they are represented by null (nan) values in the provided data."
,registry-key--d605eb25-19ef-4269-bb56-af9142124559,HKEY_CURRENT_USER\Software\Classes\.pwn,registry-key,,"The object contains a registry key with the following characteristics:

- It is located under the Software Classes directory.
- The type of this entry is specified as a registry key.
- Unfortunately, there is not enough information available to describe any specific values associated with this key."
,registry-key--ff81111d-84ca-4940-8dbc-52df5b455c17,HKEY_CURRENT_USER\Software\Classes\ms-settings\CurVer,registry-key,,The object contains a registry key with the specified path: HKEY_CURRENT_USER\Software\Classes\ms-settings\CurVer.
,registry-key--dffd9b99-9a93-4755-a4e7-8a13e9307eeb,HKEY_CURRENT_USER\Software\Classes\.pwn\Shell\Open\Command,registry-key,,The object contains a registry key entry named 'HKEY_CURRENT_USER\Software\Classes\.pwn\Shell\Open\Command'. This key is associated with the .pwn file type.
,registry-key--24b15826-0ede-4774-b19e-1dc016d6a556,HKEY_CURRENT_USER\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,registry-key,"[{""name"": ""GFIRestart32.exe"", ""data"": ""<malware path>""}]","The object contains a registry key named 'HKEY_CURRENT_USER\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\Run', which is used to run applications on startup.

This key has one value associated with it, 'GFIRestart32.exe'. The data for this value points to a file located at '<malware path>', indicating that the program 'GFIRestart32.exe' will be launched automatically whenever the system starts."
,registry-key--233556bc-832d-42bd-acde-62bd352f821c,HKEY_CURRENT_USER\Software\Console\IpDate,registry-key,,"The object contains a registry key with the path HKEY_CURRENT_USER\Software\Console\IpDate. This key is of type registry-key. Unfortunately, there are no values associated with this key."
,registry-key--bbcbe514-5c1f-4172-8002-404c95a51099,HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest,registry-key,"[{""name"": ""UseLogonCredential"", ""data"": ""1"", ""data_type"": ""REG_DWORD""}]","The object contains a registry key named 'HKLM\SYSTEM\CurrentControlSet\Control\SecurityProviders\WDigest'. This key is of type 'registry-key' and has one value associated with it. The value is named 'UseLogonCredential', which is a DWORD data type, and its value is 1."
,registry-key--515a1e45-2372-4341-8cac-ae8bff9f8ac4,HKLM\SYSTEM\CurrentControlSet\Control\Terminal Server,registry-key,"[{""name"": ""fDenyTSConnections"", ""data"": ""0"", ""data_type"": ""REG_DWORD""}]","The object contains a registry key named 'HKLM\\SYSTEM\\CurrentControlSet\\Control\\Terminal Server' with type 'registry-key'. This key has one value associated with it, specifically the name 'fDenyTSConnections', which is set to 0. The data type of this value is REG_DWORD."
,registry-key--46f44520-65a7-459b-98d5-e37d07239eb1,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,registry-key,,"The object contains a registry key entry with the following details:

- It is located at HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run.
- The type of this entry is 'registry-key'.
- It does not have any description associated with it."
,registry-key--8f5e63d0-59d0-42eb-9fa3-f38757e66ba9,HKEY_CURRENT_USER\Control Panel\Desktop\Wallpaper,registry-key,"[{""name"": """", ""data"": ""C:\\%TEMP%ElSDJGep.jpg""}]","The object contains a registry key named HKEY_CURRENT_USER\Control Panel\Desktop\Wallpaper. This key is of type 'registry-key'. The value associated with this key is a single entry which contains the data C:\%\TEMP%ElSDJGep.jpg, under the name attribute with an empty string."
