created,created_by_ref,description,external_references,goals,id,identity_class,is_family,kill_chain_phases,malware_types,modified,name,primary_motivation,sophistication,spec_version,threat_actor_types,tool_types,type,x_capabilities,summary
2026-01-19T21:49:10.265047Z,,cybersecuritynews.com is the publisher of this threat intelligence report. STIXed by TI Mindmap HUB.,,,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,organization,,,,2026-01-19T21:49:10.265047Z,cybersecuritynews.com,,,2.1,,,identity,,"The object contains information about a threat intelligence report created by cybersecuritynews.com. The organization responsible for creating this report is identified as an entity of type 'organization'. The primary description of the report states that it is published by cybersecuritynews.com and has been standardized using STIXed by TI Mindmap HUB.

Unfortunately, some key details about the content of the report are not available, as they include fields such as external references, goals, kill chain phases, malware types, modification history, primary motivation, sophistication level, threat actor types, tool types, and capabilities. These details are either missing or not specified in the provided data.

However, some essential information is present, including the type of report ('identity'), its standardization version (2.1), and a brief overview stating that the report has been STIXed by TI Mindmap HUB for easier reference and sharing among threat intelligence professionals."
2026-01-19T21:49:10.265047Z,,TI Mindmap HUB is an AI-powered threat intelligence platform that generates STIX bundles from OSINT sources.,,,identity--fbd192cb-0ab2-33e3-92cc-c2456bf8d439,organization,,,,2026-01-19T21:49:10.265047Z,TI Mindmap HUB,,,2.1,,,identity,,"The object contains information about a threat intelligence platform called TI Mindmap HUB. The platform is described as an AI-powered system that generates STIX bundles from Open-Source Intelligence (OSINT) sources. It appears to be designed for identifying and mitigating threats.

Additionally, the platform is classified under the organization identity class, suggesting it may be used within a larger organizational structure. Unfortunately, specific details regarding its primary motivation or goals are not provided."
2026-01-19T21:49:29.632583Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"In the Evelyn Stealer campaign, threat actors create and distribute a trojanized Visual Studio Code extension that masquerades as a legitimate or useful tool. The extension is uploaded to the Visual Studio Code marketplace, leveraging developer trust in the ecosystem. When a developer installs the extension, it covertly delivers the first stage of the malware, embedding a fake Lightshot.dll component. This approach targets developers specifically, aiming to compromise workstations that often hold sensitive credentials, source code, and cloud access tokens. The use of a familiar extension as the initial infection vector enables the attackers to bypass traditional security controls and blend into normal developer activities.",,,attack-pattern--a96427dc-744f-2a4b-3acd-c8fad15c07be,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:49:29.632583Z,Malicious Visual Studio Code Extension for Initial Access,,,2.1,,,attack-pattern,,"The object contains information about a malicious attack pattern known as the ""Malicious Visual Studio Code Extension for Initial Access"". This attack involves threat actors creating and distributing a trojanized Visual Studio Code extension that is uploaded to the Visual Studio Code marketplace, where it masquerades as a legitimate tool. The intention behind this approach is to leverage developer trust in the ecosystem.

When a developer installs the malicious extension, it covertly delivers the first stage of malware, embedding a fake Lightshot.dll component. This method specifically targets developers who often hold sensitive credentials, source code, and cloud access tokens on their workstations. By using a familiar extension as the initial infection vector, attackers can bypass traditional security controls and blend into normal developer activities.

The attack pattern belongs to the MITRE-Attack framework, with the specific phase being ""initial-access"". This indicates that the primary goal of this attack is to gain initial access into a system or network."
2026-01-19T21:49:29.632673Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"The attackers exploit the Lightshot screenshot tool by dropping a malicious Lightshot.dll into the system. When the legitimate Lightshot.exe is executed—typically during routine screenshot operations—it loads the malicious DLL instead of the genuine one. This side-loading technique allows the malware to execute under the guise of a trusted application, evading detection and blending with normal user behavior. The malicious DLL acts as a loader for subsequent stages of the attack, initiating the download and execution of further payloads while maintaining stealth.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1574/002/"", ""external_id"": ""T1574.002""}]",,attack-pattern--7fb1596b-5cc3-1c99-ea3d-94473a2b8935,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-19T21:49:29.632673Z,DLL Side-Loading via Legitimate Lightshot.exe,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern known as ""DLL Side-Loading via Legitimate Lightshot.exe"". This attack pattern involves exploiting the Lightshot screenshot tool by dropping a malicious Lightshot.dll into the system. When the legitimate Lightshot.exe is executed, typically during routine screenshot operations, it loads the malicious DLL instead of the genuine one.

This side-loading technique allows the malware to execute under the guise of a trusted application, evading detection and blending with normal user behavior. The malicious DLL acts as a loader for subsequent stages of the attack, initiating the download and execution of further payloads while maintaining stealth.

The attack pattern is linked to an external reference from MITRE-Attack, specifically technique T1574.002, which provides additional information about the vulnerability being exploited."
2026-01-19T21:49:29.632730Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"After the malicious DLL is loaded, the attack chain continues with the execution of hidden PowerShell commands. These commands are used to download a second-stage payload named iknowyou.model from a remote domain, save it as runtime.exe, and execute it. This technique enables the attackers to dynamically fetch updated or additional malware components, increasing flexibility and adaptability. The use of PowerShell for downloading and running executables is stealthy and leverages native system capabilities, making detection more challenging.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1059/001/"", ""external_id"": ""T1059.001""}]",,attack-pattern--b1397215-1f4e-29f7-4790-bac6266668b8,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-19T21:49:29.632730Z,Staged Payload Download and Execution via PowerShell,,,2.1,,,attack-pattern,,"The object contains a description of an attack pattern known as ""Staged Payload Download and Execution via PowerShell"". After the malicious DLL is loaded, the attack chain continues with the execution of hidden PowerShell commands. These commands are used to download a second-stage payload named iknowyou.model from a remote domain. The downloaded payload is then saved as runtime.exe and executed. This technique enables attackers to dynamically fetch updated or additional malware components, increasing flexibility and adaptability.

The use of PowerShell for downloading and running executables is stealthy and leverages native system capabilities, making detection more challenging. This attack pattern was referenced in the MITRE-Attack framework, specifically technique T1059.001, which provides a standardized way to describe and analyze security threats."
2026-01-19T21:49:29.632818Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"The Evelyn Stealer payload injects a malicious DLL (abe_decrypt.dll) into browser processes such as Microsoft Edge and Google Chrome. This injection allows the malware to access and extract sensitive information directly from the browsers, including passwords, cookies, and session data. By operating within the context of trusted browser processes, the attackers can bypass some security controls and harvest credentials used for cloud services, messaging platforms, and cryptocurrency wallets.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1055/002/"", ""external_id"": ""T1055.002""}]",,attack-pattern--4fc114e8-ab56-3836-e2e4-3352a6931d4f,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-19T21:49:29.632818Z,Browser Process Injection for Credential Theft,,,2.1,,,attack-pattern,,"The object contains information about a malicious attack pattern known as the ""Browser Process Injection for Credential Theft"" attack. This type of attack involves injecting a malicious DLL into browser processes such as Microsoft Edge and Google Chrome to gain unauthorized access to sensitive information, including passwords, cookies, and session data. By operating within the context of trusted browser processes, attackers can bypass some security controls and harvest credentials used for cloud services, messaging platforms, and cryptocurrency wallets.

The attack relies on exploiting vulnerabilities in browser processes to inject a malicious DLL called ""abe_decrypt.dll"". This injection allows the malware to extract sensitive information directly from the browsers, giving the attacker access to valuable data. The attack pattern is documented by MITRE-ATTACK and is categorized under T1055/002.

The primary objective of this attack pattern is to steal sensitive credentials used for various online services. However, its sophistication level and motivations are not well-defined in the provided metadata. The object does not provide any specific tools or techniques used in this attack pattern, but it is classified as an attack-pattern under the specified spec version."
2026-01-19T21:49:29.632873Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"Once deployed, Evelyn Stealer systematically collects a wide range of sensitive data from the compromised developer workstation. This includes browser passwords, cookies, cryptocurrency wallets, messaging sessions, VPN profiles, Wi-Fi keys, and files containing source code or credentials. The malware also captures screenshots and gathers detailed system information. All collected data is compressed into a single archive, preparing it for exfiltration. The breadth of data targeted reflects the attackers' focus on developer environments, aiming to maximize the impact and potential for lateral movement within organizations.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1119/"", ""external_id"": ""T1119""}]",,attack-pattern--bd02238d-4bb5-c587-432f-46ba6d9c1862,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""collection""}]",,2026-01-19T21:49:29.632873Z,Harvesting and Collection of Sensitive Data,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern classified as 'Harvesting and Collection of Sensitive Data'. This attack pattern involves the systematic collection of sensitive data from compromised developer workstations, including browser passwords, cookies, cryptocurrency wallets, messaging sessions, VPN profiles, Wi-Fi keys, and files containing source code or credentials. The malware also captures screenshots and gathers detailed system information.

The breadth of data targeted by this attack reflects the attackers' focus on developer environments, aiming to maximize the impact and potential for lateral movement within organizations. The collected data is compressed into a single archive, preparing it for exfiltration.

This attack pattern is associated with the Mitre-Attack technique T1119 and is categorized as part of the kill chain phase called 'collection'."
2026-01-19T21:49:29.632922Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"After aggregating the stolen data into a compressed archive, the Evelyn Stealer malware uploads the package to an attacker-controlled FTP server. This exfiltration method uses standard FTP protocols to transfer the data, which may evade some network monitoring solutions if FTP traffic is allowed or not closely scrutinized. The use of FTP for data exfiltration is straightforward but effective, enabling the attackers to quickly and reliably retrieve large volumes of sensitive information from compromised developer machines.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1048/003/"", ""external_id"": ""T1048.003""}]",,attack-pattern--e39e9973-6798-e86a-2641-cef8e644fee8,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""exfiltration""}]",,2026-01-19T21:49:29.632922Z,Data Exfiltration via FTP Upload,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern known as Data Exfiltration via FTP Upload. This type of attack involves the use of standard FTP protocols to transfer sensitive data from compromised machines to an attacker-controlled FTP server. The attackers can take advantage of the fact that some network monitoring solutions may not closely scrutinize FTP traffic, which can make it a challenging method to detect and mitigate.

The attackers can quickly and reliably retrieve large volumes of sensitive information using this exfiltration method, making it a straightforward yet effective way to transfer stolen data. However, the use of FTP for data exfiltration may be considered less sophisticated compared to other methods.

This attack pattern is associated with the Mitre ATT&CK technique T1048/003 and is linked to the Evelyn Stealer malware. The primary goal of this attack is to allow attackers to quickly and reliably retrieve sensitive information from compromised machines, indicating that the sophistication level of this attack pattern may be relatively low compared to others.

The object provides additional details about the attack pattern, including its type, which is classified as an attack pattern, and its external references, which include a link to Mitre ATT&CK."
2026-01-19T21:49:29.633000Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"A custom technique in this campaign involves weaponizing the inherent trust developers place in their toolchain and the Visual Studio Code marketplace. By carefully crafting extensions that appear legitimate and useful, attackers exploit the tendency of developers to install and use marketplace tools without rigorous scrutiny. This social engineering approach is tailored to the developer environment, increasing the likelihood of successful compromise and subsequent access to high-value assets such as source code and cloud credentials.",,,attack-pattern--25efca50-adfc-f98d-07fa-9b76de9b8503,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""initial-access""}]",,2026-01-19T21:49:29.633000Z,Abuse of Developer Toolchain Trust,,,2.1,,,attack-pattern,,"The object contains a detailed description of an attack pattern targeting the trust developers place in their toolchain and the Visual Studio Code marketplace. The attackers aim to exploit this inherent trust by creating custom techniques that appear legitimate and useful, thereby encouraging developers to install and use these tools without rigorous scrutiny.

This social engineering approach is specifically tailored for the developer environment, which increases the likelihood of successful compromise and subsequent access to high-value assets such as source code and cloud credentials. The primary goal of this attack pattern is to gain unauthorized access to sensitive information, making it a significant threat to individuals and organizations that rely on their toolchain trust.

The tactics employed in this attack pattern are aligned with the MITRE Attack framework's initial-access phase, indicating that the primary objective is to establish an initial point of entry into the targeted system."
2026-01-19T21:49:29.633047Z,identity--43a7f118-16e6-b827-ed3f-da45cb8be877,"The Evelyn Stealer payload establishes persistence by creating a dedicated folder within the AppData directory named 'Evelyn.' This folder is used to store malicious components and facilitate ongoing operations, such as browser injection and data collection. By leveraging the AppData location, the malware avoids detection by users and some security tools, ensuring it remains active across system reboots and user sessions.","[{""source_name"": ""mitre-attack"", ""url"": ""https://attack.mitre.org/techniques/T1547/001/"", ""external_id"": ""T1547.001""}]",,attack-pattern--a36513ba-257a-952b-c829-8254864edc98,,,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""persistence""}]",,2026-01-19T21:49:29.633047Z,Persistence via AppData Folder Creation,,,2.1,,,attack-pattern,,"The object contains information about an attack pattern called ""Persistence via AppData Folder Creation."" This attack pattern establishes persistence by creating a dedicated folder within the AppData directory named 'Evelyn.' The malicious components are stored in this folder, which facilitates ongoing operations such as browser injection and data collection.

By leveraging the AppData location, the malware avoids detection by users and some security tools, ensuring it remains active across system reboots and user sessions. This technique is associated with a threat actor type that falls under a specific category of attack patterns."
