created,created_by_ref,description,external_references,id,indicator_types,labels,modified,name,pattern,pattern_type,pattern_version,spec_version,type,valid_from,summary
,,MD5 hash of the primary malicious file rasmanesc.exe used in the Webrat campaign.,,indicator--a0df8c01-a5c7-4642-9140-cb4bb193a683,,"[""malicious-file"", ""md5""]",,Malicious MD5 hash: 61b1fc6ab327e6d3ff5fd3e82b430315,[file:hashes.MD5 = '61b1fc6ab327e6d3ff5fd3e82b430315'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a malicious MD5 hash that was used in the Webrat campaign. Specifically, it refers to the primary malicious file rasmanesc.exe. The description of this indicator is that it is the MD5 hash of the mentioned malicious file. Additionally, it has been labeled as both 'malicious-file' and 'md5'."
,,MD5 hash associated with Webrat campaign.,,indicator--89f8c3c2-f163-41ae-9319-aa0730f097fe,,"[""malicious-file"", ""md5""]",,Malicious MD5 hash: 28a741e9fcd57bd607255d3a4690c82f,[file:hashes.MD5 = '28a741e9fcd57bd607255d3a4690c82f'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a threat intelligence indicator related to a malicious MD5 hash. The indicator is identified by the ID 'indicator--89f8c3c2-f163-41ae-9319-aa0730f097fe'. 

This MD5 hash, denoted as '28a741e9fcd57bd607255d3a4690c82f', has been associated with a Webrat campaign. The indicator's labels include ""malicious-file"" and ""md5"", suggesting that it is related to a file with an MD5 hash value.

The indicator's pattern, as described by the 'pattern' field, is represented in the format ""[file:hashes.MD5 = '28a741e9fcd57bd607255d3a4690c82f']"". This suggests that the indicator is used to detect files with an MD5 hash value matching this specific pattern.

However, some metadata information about the indicator is missing or not applicable. For instance, there are no timestamps provided for 'created', 'modified', or any other relevant fields."
,,MD5 hash associated with Webrat campaign.,,indicator--3d3e2e3a-4281-4223-acce-52a20ce550bb,,"[""malicious-file"", ""md5""]",,Malicious MD5 hash: a13c3d863e8e2bd7596bac5d41581f6a,[file:hashes.MD5 = 'a13c3d863e8e2bd7596bac5d41581f6a'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a detailed profile of an MD5 hash indicator. Here's a summary of the key information:

The indicator is associated with Webrat campaign and has a unique identifier of 'indicator--3d3e2e3a-4281-4223-acce-52a20ce550bb'. It belongs to two labels: ""malicious-file"" and ""md5"", which suggest that it is related to a malicious file with an MD5 hash.

The indicator has a pattern of ""[file:hashes.MD5 = 'a13c3d863e8e2bd7596bac5d41581f6a']"". This suggests that the indicator is looking for files with this specific MD5 hash value.

There are no timestamps or version numbers available for this indicator, which might indicate that it has not been updated recently. The 'spec_version' field is also missing, making it unclear if there have been any updates to the specification of this indicator.

Overall, the object contains a detailed profile of an MD5 hash indicator, but some fields are missing or undefined, potentially indicating that the information is incomplete or outdated."
,,Command and control server used by Webrat malware.,,indicator--ebfb1097-dc93-41b9-975f-a3b52b3c45b0,,"[""c2"", ""malicious-url""]",,Webrat C2: ezc5510min.temp.swtest.ru,[url:value = 'http://ezc5510min.temp.swtest.ru'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a threat indicator related to malware. Specifically, it describes a command and control server used by Webrat malware. The details of the server include its name, which is 'Webrat C2: ezc5510min.temp.swtest.ru'. 

It is categorized as a malicious URL due to being labeled with ['c2', 'malicious-url'] and matches a specific pattern indicated by '[url:value = 'http://ezc5510min.temp.swtest.ru']'. This information suggests that the server is used for malicious activities associated with Webrat malware."
,,Command and control server used by Webrat malware.,,indicator--ef58ec62-6f3b-40ca-842e-098d9b57f500,,"[""c2"", ""malicious-url""]",,Webrat C2: shopsleta.ru,[url:value = 'http://shopsleta.ru'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a cybersecurity threat indicator. Specifically, it describes a Command and Control (C2) server used by the Webrat malware.

The C2 server is associated with the URL 'shopsleta.ru' and is categorized as malicious. The pattern that identifies this URL is [url:value = 'http://shopsleta.ru'], which suggests that this URL is likely to be used for communication between the malware and its command and control center.

The indicator type is not specified, but it has been labeled as a c2 (command and control) and malicious-url. This labeling indicates that the threat actor intends to use this server to execute malicious activities, such as data exfiltration or lateral movement within a network.

Overall, the object provides critical information about a known C2 server used by malware, which can be useful for cybersecurity professionals in identifying and mitigating threats associated with the Webrat malware."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--924bbaf2-01c6-4e24-b122-5fee73f5293f,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: RedFoxNxploits/CVE-2025-10294-Poc,[url:value = 'https://github.com/RedFoxNxploits/CVE-2025-10294-Poc'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a detailed record of a malicious GitHub repository. The repository is identified by the name ""Malicious GitHub repository: RedFoxNxploits/CVE-2025-10294-Poc"" and is linked to Webrat malware that masquerades as an exploit.

The repository was created using GitHub, with no information available on who created it or when it was created. The description provided suggests that the repository is being used to distribute malicious code disguised as a security vulnerability (CVE-2025-10294).

The object includes information on a pattern associated with this malware, which is a URL pointing to the specific GitHub repository. This pattern is of type ""indicator"" and has a unique identifier.

There is no available information on when the pattern was created or updated. However, it is worth noting that the object also contains metadata fields related to the pattern's versioning and specification."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--b119f050-cce6-4a18-8ef1-bbcfbfd47dd2,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: FixingPhantom/CVE-2025-10294,[url:value = 'https://github.com/FixingPhantom/CVE-2025-10294'],,,,indicator,2025-09-01T00:00:00Z,"The object contains metadata from a GitHub repository used to distribute malware disguised as an exploit. The repository is identified by the name 'FixingPhantom/CVE-2025-10294' and is associated with a specific URL pattern that matches a malicious link.

This pattern, indicated by '[url:value = ""https://github.com/FixingPhantom/CVE-2025-10294""]', suggests that the repository contains compromised content designed to deceive users into downloading malware. The repository's labels indicate its classification as both 'malicious-repository' and 'github'."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--1b32fd00-fce4-404f-9739-88001dda0de0,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: h4xnz/CVE-2025-10294-POC,[url:value = 'https://github.com/h4xnz/CVE-2025-10294-POC'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a specific GitHub repository that was identified as malicious. Here's a detailed summary of the data:

The object is an indicator related to a malware distribution method, where Webrat malware was disguised as an exploit. The repository in question, 'h4xnz/CVE-2025-10294-POC', is hosted on GitHub and was found to be malicious.

The pattern associated with this repository indicates that it follows the format [url:value = 'https://github.com/h4xnz/CVE-2025-10294-POC']. This suggests that the URL points to a specific repository, which is being used to distribute malware.

The label assigned to this indicator includes two categories: ""malicious-repository"" and ""github"". These labels help identify the type of threat associated with the repository."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--08786ab3-1387-438c-8715-97b350963548,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: usjnx72726w/CVE-2025-59295/tree/main,[url:value = 'https://github.com/usjnx72726w/CVE-2025-59295/tree/main'],,,,indicator,2025-09-01T00:00:00Z,"The object contains information about a GitHub repository that was used to distribute malware disguised as an exploit. The repository is identified by the name 'usjnx72726w/CVE-2025-59295/tree/main' and is described as malicious. It is reported to be associated with a specific URL pattern, which is [url:value = 'https://github.com/usjnx72726w/CVE-2025-59295/tree/main'].

This repository is classified under the category of 'indicator', which suggests that it may have been used or mentioned in some way related to cybersecurity incidents or threat intelligence. However, further information about its usage or context is not provided in this data snippet."
,,GitHub repository used to distribute Webrat malware disguised as exploit.,,indicator--2384b097-db6d-48e0-91b6-5acb6c083929,,"[""malicious-repository"", ""github""]",,Malicious GitHub repository: stalker110119/CVE-2025-59230/tree/main,[url:value = 'https://github.com/stalker110119/CVE-2025-59230/tree/main'],,,,indicator,2025-09-01T00:00:00Z,"The object contains a detailed description of a malicious GitHub repository. The repository, identified by the name 'Malicious GitHub repository: stalker110119/CVE-2025-59230/tree/main', is associated with malware disguised as an exploit for Webrat. It was created to distribute this malware, which is linked to a specific CVE (Common Vulnerabilities and Exposures) identifier. 

The key characteristics of the repository include its description, labels (indicating it is both malicious and related to GitHub), and pattern type. However, crucial details such as when it was created or modified are not available due to missing information in the data set provided."
