aliases,created,created_by_ref,description,external_references,id,kill_chain_phases,labels,modified,name,sample_refs,spec_version,tool_types,type,summary
,2026-01-16T09:32:13.521300Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The malicious extensions abuse the legitimate Chrome Extension API, specifically the chrome.cookies module, to programmatically access, extract, and inject authentication cookies for enterprise HR and ERP platforms, enabling session hijacking and credential theft.",,tool--fcbcabb8-a0bf-b367-b2cb-e40dc2c4355b,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""credential-access""}]",,2026-01-16T09:32:13.521300Z,Chrome Extension API (chrome.cookies),,2.1,"[""credential-exploitation"", ""information-gathering""]",tool,"The object contains information about a malicious tool that exploits the Chrome Extension API. The tool specifically targets the chrome.cookies module to gain unauthorized access to authentication cookies for enterprise HR and ERP platforms. This allows for session hijacking and credential theft.

The malicious extensions abuse the legitimate Chrome Extension API, using it to extract and inject authentication cookies. This vulnerability enables the attackers to bypass security measures and gain access to sensitive information.

The tool is categorized as a ""credential-exploitation"" and ""information-gathering"" threat, indicating that its primary goal is to steal credentials and gather sensitive information."
,2026-01-16T09:32:13.521561Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The extensions use the chrome.cookies.set() function to inject stolen authentication cookies into the browser, allowing attackers to hijack sessions by impersonating legitimate users on targeted platforms.",,tool--a13e2556-405b-6abb-3f6d-2dd2edf6ed56,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""lateral-movement""}]",,2026-01-16T09:32:13.521561Z,Chrome Extension API (chrome.cookies.set),,2.1,"[""credential-exploitation""]",tool,"The object contains a description of the Chrome Extension API (chrome.cookies.set) tool. This tool is used to inject stolen authentication cookies into a browser, allowing attackers to hijack sessions by impersonating legitimate users on targeted platforms. The tool utilizes the chrome.cookies.set() function for this purpose.

It appears that the tool falls under the category of credential exploitation and is used in lateral movement attacks within the context of the MITRE attack framework."
,2026-01-16T09:32:13.524604Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The extensions leverage chrome.cookies.getAll to enumerate and extract all cookies for specified domains, filtering for authentication tokens to exfiltrate to attacker-controlled infrastructure.",,tool--6b9ab10b-a0d6-c163-5e7c-cf86e6265bff,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""collection""}]",,2026-01-16T09:32:13.524604Z,Chrome Extension API (chrome.cookies.getAll),,2.1,"[""credential-exploitation"", ""information-gathering""]",tool,"The object contains a detailed description of a Chrome Extension API tool. This tool leverages the chrome.cookies.getAll function to extract all cookies for specified domains, specifically filtering for authentication tokens that can be exfiltrated to attacker-controlled infrastructure. The primary purpose of this extension is to facilitate credential exploitation and information gathering."
,2026-01-16T09:32:13.524991Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The extensions request and abuse standard Chrome extension permissions such as scripting, management, declarativeNetRequest, and storage to manipulate web pages, block access to security administration interfaces, and maintain persistence.",,tool--ec28c7f9-820c-3114-53db-b73751c830b9,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:32:13.524991Z,"Chrome Extension API (chrome.scripting, chrome.management, chrome.declarativeNetRequest, chrome.storage)",,2.1,"[""defense-evasion"", ""information-gathering""]",tool,"The object contains a Chrome Extension API (also referred to as chrome.scripting, chrome.management, chrome.declarativeNetRequest, and chrome.storage) tool. This tool was created on January 16th, 2026, by an entity identified by the reference 'identity--61f25293-60ae-c54f-5dc9-804b842cf3fa'. 

The Chrome Extension API is used to request and abuse certain permissions, such as scripting, management, declarativeNetRequest, and storage, which allow it to manipulate web pages. It also has the ability to block access to security administration interfaces and maintain persistence.

This tool falls under two categories: information-gathering and defense-evasion. Its primary function is to gather information about a system or network, but it can also be used as part of a defense strategy by evading detection mechanisms.

The tool's external references are not available, nor are its labels or sample references."
,2026-01-16T09:32:13.525255Z,identity--61f25293-60ae-c54f-5dc9-804b842cf3fa,"The DisableDevtool library is used to prevent users and security analysts from inspecting or debugging the extension code via browser developer tools, hindering incident response and analysis.",,tool--7c621e82-f5ee-60be-6bd1-c6715414cfb0,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""defense-evasion""}]",,2026-01-16T09:32:13.525255Z,DisableDevtool Library,,2.1,"[""defense-evasion""]",tool,"The object contains information about the DisableDevtool library, which is used to prevent users and security analysts from inspecting or debugging extension code via browser developer tools. This hindrance hinders incident response and analysis.

The library is part of a tool that falls under the category of defense-evasion tactics. The tool's purpose is to make it difficult for attackers to be detected by security measures, making it harder for defenders to detect and respond to potential threats.

In terms of its functionality, the DisableDevtool library serves as a security measure to prevent unwanted access to extension code. It achieves this by making the extension code inaccessible through browser developer tools, thereby limiting the ability of users and security analysts to inspect or debug the code.

The tool's metadata suggests that it has undergone updates on January 16, 2026, with no changes made to its labels, sample references, or external references."
,2026-01-14T10:11:50.770408Z,identity--a52a53ac-f21e-d92a-dbc5-d60d84b9edee,"Attackers abuse the legitimate kube-proxy component to manipulate Kubernetes service networking, specifically by creating malicious service objects that hijack traffic intended for external websites and redirect it to attacker-controlled pods.",,tool--ea11065c-99d9-485f-c7fe-03aa1b668c20,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-14T10:11:50.770408Z,kube-proxy,,2.1,"[""exploitation"", ""network-capture""]",tool,"The object contains a detailed description of a threat actor known as ""kube-proxy"". This entity is associated with exploiting the Kubernetes service networking component to carry out malicious activities. The primary method of attack involves creating fake service objects that redirect intended traffic from external websites to attacker-controlled pods.

Kubernetes, being an essential tool for container orchestration and deployment in modern cloud environments, becomes vulnerable when misused by attackers. In this case, the kube-proxy component is exploited by malicious actors to manipulate service networking. The attacks can have significant implications on organizations relying on Kubernetes-based infrastructure.

The attack involves creating malicious service objects that hijack traffic intended for legitimate websites. These fake service objects are then used to redirect the traffic to attacker-controlled pods, allowing the attackers to intercept and manipulate sensitive data. This type of attack highlights the importance of implementing robust security measures in Kubernetes environments to prevent similar exploitation attempts.

Overall, the kube-proxy component's misuse by attackers serves as a reminder of the need for ongoing vigilance and proactive security measures to protect against evolving cyber threats."
,2026-01-14T10:11:50.770501Z,identity--a52a53ac-f21e-d92a-dbc5-d60d84b9edee,"The attack leverages iptables, a standard Linux firewall utility, to create and modify NAT rules that redirect network traffic from specified external IPs to attacker-controlled destinations within the cluster.",,tool--83090a9f-3b90-125d-95e9-2dec20df9817,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-14T10:11:50.770501Z,iptables,,2.1,"[""exploitation"", ""network-capture""]",tool,"The object contains a detailed description of a cyber threat tool known as 'iptables'. The attack leverages iptables, a standard Linux firewall utility, to create and modify NAT rules that redirect network traffic from specified external IPs to attacker-controlled destinations within the cluster. This exploitation technique is utilized in an execution phase as per the MITRE ATT&CK framework. 

The tool falls under two categories: 'exploitation' and 'network-capture', indicating its ability to manipulate network traffic for malicious purposes. The threat actor utilizes iptables to establish this control, allowing them to intercept and redirect targeted network communications."
,2026-01-14T10:11:50.770560Z,identity--a52a53ac-f21e-d92a-dbc5-d60d84b9edee,"IPVS, an alternative to iptables for load balancing in Kubernetes, can also be abused by attackers to reroute traffic via manipulated service objects, enabling traffic hijacking within the cluster.",,tool--3e6b2dcd-ce5b-5be4-8733-effafd15d328,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-14T10:11:50.770560Z,IPVS,,2.1,"[""exploitation"", ""network-capture""]",tool,"The object contains information about IPVS, an alternative to iptables for load balancing in Kubernetes. It is a tool used for network-capture exploitation purposes. The main purpose of IPVS is load balancing within the cluster; however, it can also be exploited by attackers for malicious activities such as traffic hijacking.

According to the data, IPVS can be manipulated by attackers to reroute traffic via service objects, posing security risks within the cluster."
,2026-01-14T10:11:50.770616Z,identity--a52a53ac-f21e-d92a-dbc5-d60d84b9edee,"Attackers may exploit nftables, a modern replacement for iptables, to set up malicious network rules that redirect traffic to pods they control, facilitating network interception and manipulation.",,tool--b63757ae-d2c3-7e6c-5ac5-39e2b69142b7,"[{""kill_chain_name"": ""mitre-attack"", ""phase_name"": ""execution""}]",,2026-01-14T10:11:50.770616Z,nftables,,2.1,"[""exploitation"", ""network-capture""]",tool,"The object contains information about a security tool called nftables. It is classified as an exploitation and network capture tool. 

nftables is a modern replacement for iptables and can be exploited by attackers to set up malicious network rules that allow them to redirect traffic to pods they control, thereby facilitating network interception and manipulation.

This vulnerability can be linked to the Mitre Attack kill chain phase named ""execution""."
,,,"curl is a command-line tool used to transfer data to or from a server. In this campaign, it was renamed to 'cual' for evasion.",,tool--4491bc12-2aa2-4395-a265-cc91505d179b,,"[""data-transfer"", ""evasion"", ""tool-rename""]",,curl,,,,tool,"The object contains a detailed description of the 'curl' tool. It is a command-line tool used to transfer data between a server. Notably, it underwent a name change in this specific campaign, being renamed to 'cual' for evasion purposes.

The primary function of curl remains unchanged, focusing on data transfer to or from a server. Its renaming to 'cual' indicates its utilization in covert operations.

Key characteristics of the tool include labels such as ""data-transfer"", ""evasion"", and ""tool-rename""."
